Planet,Transition_Type,Transition_Value,Sign_ID,Solar_House,Natal_House,Title,Text_Description,Sort_Order
SUN,SIGN_INGRESS,ARIES,ARIES,,,牡羊座への移動,太陽の自己表現に始動と自己主張が加わる。,1
SUN,SIGN_INGRESS,TAURUS,TAURUS,,,牡牛座への移動,太陽の自己表現に安定と所有が加わる。,2
SUN,SIGN_INGRESS,GEMINI,GEMINI,,,双子座への移動,太陽の自己表現に学習と交流が加わる。,3
SUN,SIGN_INGRESS,CANCER,CANCER,,,蟹座への移動,太陽の自己表現に安心と居場所が加わる。,4
SUN,SIGN_INGRESS,LEO,LEO,,,獅子座への移動,太陽の自己表現に創造と表現が加わる。,5
SUN,SIGN_INGRESS,VIRGO,VIRGO,,,乙女座への移動,太陽の自己表現に整理と実務が加わる。,6
SUN,SIGN_INGRESS,LIBRA,LIBRA,,,天秤座への移動,太陽の自己表現に調和と対話が加わる。,7
SUN,SIGN_INGRESS,SCORPIO,SCORPIO,,,蠍座への移動,太陽の自己表現に集中と変容が加わる。,8
SUN,SIGN_INGRESS,SAGITTARIUS,SAGITTARIUS,,,射手座への移動,太陽の自己表現に探求と拡大が加わる。,9
SUN,SIGN_INGRESS,CAPRICORN,CAPRICORN,,,山羊座への移動,太陽の自己表現に責任と達成が加わる。,10
SUN,SIGN_INGRESS,AQUARIUS,AQUARIUS,,,水瓶座への移動,太陽の自己表現に革新と仲間が加わる。,11
SUN,SIGN_INGRESS,PISCES,PISCES,,,魚座への移動,太陽の自己表現に共感と手放しが加わる。,12
SUN,SOLAR_HOUSE_INGRESS,1,,1,,ソーラー1ハウスへの移動,太陽の自己表現が自分自身と始まりへ向く。,13
SUN,SOLAR_HOUSE_INGRESS,2,,2,,ソーラー2ハウスへの移動,太陽の自己表現が収入と価値観へ向く。,14
SUN,SOLAR_HOUSE_INGRESS,3,,3,,ソーラー3ハウスへの移動,太陽の自己表現が学習と連絡へ向く。,15
SUN,SOLAR_HOUSE_INGRESS,4,,4,,ソーラー4ハウスへの移動,太陽の自己表現が家庭と基盤へ向く。,16
SUN,SOLAR_HOUSE_INGRESS,5,,5,,ソーラー5ハウスへの移動,太陽の自己表現が創造と恋愛へ向く。,17
SUN,SOLAR_HOUSE_INGRESS,6,,6,,ソーラー6ハウスへの移動,太陽の自己表現が仕事と習慣へ向く。,18
SUN,SOLAR_HOUSE_INGRESS,7,,7,,ソーラー7ハウスへの移動,太陽の自己表現が対人関係と契約へ向く。,19
SUN,SOLAR_HOUSE_INGRESS,8,,8,,ソーラー8ハウスへの移動,太陽の自己表現が共有と深い結びつきへ向く。,20
SUN,SOLAR_HOUSE_INGRESS,9,,9,,ソーラー9ハウスへの移動,太陽の自己表現が探求と遠方へ向く。,21
SUN,SOLAR_HOUSE_INGRESS,10,,10,,ソーラー10ハウスへの移動,太陽の自己表現が仕事と社会的立場へ向く。,22
SUN,SOLAR_HOUSE_INGRESS,11,,11,,ソーラー11ハウスへの移動,太陽の自己表現が仲間と未来へ向く。,23
SUN,SOLAR_HOUSE_INGRESS,12,,12,,ソーラー12ハウスへの移動,太陽の自己表現が休息と無意識へ向く。,24
SUN,NATAL_HOUSE_INGRESS,1,,,1,ネイタル1ハウスへの移動,太陽の自己表現が自分自身と始まりを動かす。,25
SUN,NATAL_HOUSE_INGRESS,2,,,2,ネイタル2ハウスへの移動,太陽の自己表現が収入と価値観を動かす。,26
SUN,NATAL_HOUSE_INGRESS,3,,,3,ネイタル3ハウスへの移動,太陽の自己表現が学習と連絡を動かす。,27
SUN,NATAL_HOUSE_INGRESS,4,,,4,ネイタル4ハウスへの移動,太陽の自己表現が家庭と基盤を動かす。,28
SUN,NATAL_HOUSE_INGRESS,5,,,5,ネイタル5ハウスへの移動,太陽の自己表現が創造と恋愛を動かす。,29
SUN,NATAL_HOUSE_INGRESS,6,,,6,ネイタル6ハウスへの移動,太陽の自己表現が仕事と習慣を動かす。,30
SUN,NATAL_HOUSE_INGRESS,7,,,7,ネイタル7ハウスへの移動,太陽の自己表現が対人関係と契約を動かす。,31
SUN,NATAL_HOUSE_INGRESS,8,,,8,ネイタル8ハウスへの移動,太陽の自己表現が共有と深い結びつきを動かす。,32
SUN,NATAL_HOUSE_INGRESS,9,,,9,ネイタル9ハウスへの移動,太陽の自己表現が探求と遠方を動かす。,33
SUN,NATAL_HOUSE_INGRESS,10,,,10,ネイタル10ハウスへの移動,太陽の自己表現が仕事と社会的立場を動かす。,34
SUN,NATAL_HOUSE_INGRESS,11,,,11,ネイタル11ハウスへの移動,太陽の自己表現が仲間と未来を動かす。,35
SUN,NATAL_HOUSE_INGRESS,12,,,12,ネイタル12ハウスへの移動,太陽の自己表現が休息と無意識を動かす。,36
MERCURY,SIGN_INGRESS,ARIES,ARIES,,,牡羊座への移動,水星の思考と伝達に始動と自己主張が加わる。,37
MERCURY,SIGN_INGRESS,TAURUS,TAURUS,,,牡牛座への移動,水星の思考と伝達に安定と所有が加わる。,38
MERCURY,SIGN_INGRESS,GEMINI,GEMINI,,,双子座への移動,水星の思考と伝達に学習と交流が加わる。,39
MERCURY,SIGN_INGRESS,CANCER,CANCER,,,蟹座への移動,水星の思考と伝達に安心と居場所が加わる。,40
MERCURY,SIGN_INGRESS,LEO,LEO,,,獅子座への移動,水星の思考と伝達に創造と表現が加わる。,41
MERCURY,SIGN_INGRESS,VIRGO,VIRGO,,,乙女座への移動,水星の思考と伝達に整理と実務が加わる。,42
MERCURY,SIGN_INGRESS,LIBRA,LIBRA,,,天秤座への移動,水星の思考と伝達に調和と対話が加わる。,43
