sign,house,count_min,theme_id,label,summary,main_text,work_text,relationship_text,caution_text,tags
Aries,1,3,aries_1h_stellium_initiative,自己始動と突破の集中,自分で動き道を切り開く力が人生全体で強く前面に出やすい集中配置です。,考えるより先に動くことで流れを作り出し人生を前進させやすい配置です。,仕事では新規立ち上げ先行突破即断即決が強みになりやすいでしょう。,対人面では率直さと勢いが魅力になりますが強引さに見えやすい面もあります。,急ぎすぎると周囲との摩擦や判断ミスが増えやすくなります。,stellium;Aries;1house;initiative;action;self
Taurus,1,3,taurus_1h_stellium_presence,安定感と存在感の集中,落ち着きと安定感を土台に自分の存在を確立していく集中配置です。,急がずぶれず自分のペースを守ることで人生を安定させやすい配置です。,仕事では継続力現実感覚品質維持で信頼を積み上げやすいでしょう。,対人面では安心感を与える存在になりやすい一方で頑固さが出やすい傾向があります。,変化を拒みすぎると成長機会を逃しやすくなります。,stellium;Taurus;1house;stability;presence;self
Gemini,1,3,gemini_1h_stellium_expression,知性と発信の集中,言葉や情報を通して自分を表現していく力が強く出やすい集中配置です。,学びながら話し動きながら考えることが人生の自然なリズムになりやすいです。,仕事では情報整理説明発信企画連携で力を発揮しやすいでしょう。,対人面では話しやすさと軽やかさが魅力になります。,考えが拡散しすぎると軸の弱さや落ち着きのなさにつながります。,stellium;Gemini;1house;communication;expression;self
Cancer,4,3,cancer_4h_stellium_nurture,安心基盤と養育の集中,心の安心や居場所づくりが人生全体で大きなテーマになりやすい集中配置です。,人を守ることと安心できる基盤を育てることが人生の中心になりやすいです。,仕事では支援育成福祉接客管理など人を支える分野で力を発揮しやすいでしょう。,対人面では深い愛着と面倒見の良さが強く出やすいです。,身内意識が強くなりすぎると閉鎖性や感情過多につながりやすくなります。,stellium;Cancer;4house;home;nurture;security
Leo,5,3,leo_5h_stellium_creativity,自己表現と創造性の集中,自分らしさを表現し創造的に生きることが人生全体の中心テーマになりやすい集中配置です。,楽しむこと見せること創ることが人生のエネルギー源になりやすいです。,仕事では企画表現演出教育発信リーダー役で存在感を発揮しやすいでしょう。,対人面では華やかさと温かさが魅力になります。,注目や評価への欲求が強まりすぎると不安定になりやすくなります。,stellium;Leo;5house;creativity;expression;joy
Virgo,6,3,virgo_6h_stellium_work_service,実務改善と奉仕の集中,実務改善奉仕を通じて自分の価値を形にしていく集中配置です。,細部を整え役に立つ形へ仕上げていくことが人生の中心テーマになりやすいです。,仕事では改善分析調整品質管理実務最適化で大きな力を発揮しやすいでしょう。,対人面では言葉より行動や配慮で愛情を示しやすい傾向があります。,完璧さを求めすぎると休息不足や自己批判が強まりやすくなります。,stellium;Virgo;6house;work;service;improvement
Libra,7,3,libra_7h_stellium_relationship,協調と対人調整の集中,人との関係性を通して自分の役割や価値を育てていく集中配置です。,対話調整協力を通じて人生が大きく展開しやすい配置です。,仕事では交渉仲介接客連携デザイン調整役で力を発揮しやすいでしょう。,対人面ではバランス感覚と気配りが大きな魅力になります。,相手に合わせすぎると自分の本音や主体性を見失いやすくなります。,stellium;Libra;7house;relationship;balance;cooperation
Scorpio,8,3,scorpio_8h_stellium_transformation,深い共有と変容の集中,深い関係性や共有領域を通じて人生が大きく変容していきやすい集中配置です。,表面的では済まないテーマに向き合い極端な体験を通して生まれ変わることが中心テーマになりやすいです。,仕事では研究心理金融危機管理調査再建など深く掘る分野で集中力を発揮しやすいでしょう。,対人面では親密さが深まるほど信頼と恐れの両方が強く出やすい傾向があります。,疑い執着支配欲が強まると関係も心も硬直しやすくなります。,stellium;Scorpio;8house;transformation;depth;shared_resources
Sagittarius,9,3,sagittarius_9h_stellium_exploration,探求と拡大の集中,学び探求思想の拡大を通して人生を広げていく集中配置です。,より広い視野と高い意味を求めて人生が展開しやすい配置です。,仕事では教育研究出版海外分野企画戦略など視野の広さを活かしやすいでしょう。,対人面では率直さと自由さが魅力になります。,理想や可能性が大きくなりすぎると現実の詰めが甘くなりやすいです。,stellium;Sagittarius;9house;exploration;learning;expansion
Capricorn,10,3,capricorn_10h_stellium_social_building,社会構築と達成の集中,責任達成社会的構築を通じて存在感を高めていく集中配置です。,時間をかけて実績を積み上げ社会の中で信頼される形を築くことが大きなテーマです。,仕事では管理組織運営制度設計長期プロジェクトで力を発揮しやすいでしょう。,対人面では役割意識が強く自然と責任を引き受けやすい傾向があります。,成果責任評価に偏りすぎると柔らかい感情表現が後回しになりやすくなります。,stellium;Capricorn;10house;career;authority;structure
Aquarius,11,3,aquarius_11h_stellium_network,未来志向とネットワークの集中,理想共有仲間との連携を通して未来志向の価値を形にしていく集中配置です。,個人だけで完結するよりも人や仕組みをつないで人生が展開しやすい配置です。,仕事では企画開発コミュニティ運営IT革新制度改善で力を発揮しやすいでしょう。,対人面ではフラットさと独自性が魅力になります。,距離を取りすぎると冷たさや孤立感につながりやすくなります。,stellium;Aquarius;11house;network;innovation;future
Pisces,12,3,pisces_12h_stellium_spiritual,感受性と内面世界の集中,感受性直感内面世界の深さが人生全体で強く前面に出やすい集中配置です。,見えない流れや心の奥にあるものを感じ取りながら人生が進みやすい配置です。,仕事では癒し支援芸術福祉研究裏方業務など繊細さを活かす分野で力を発揮しやすいでしょう。,対人面では共感力と受容性が強く出やすいです。,境界が曖昧になると他者の感情を抱え込みやすくなります。,stellium;Pisces;12house;sensitivity;inner;spiritual
Aries,10,3,aries_10h_stellium_leadership,社会的先導と突破の集中,社会の中で先頭に立ち自ら道を切り開く役割が強く出やすい集中配置です。,結果を待つより自分から仕掛けることで人生が大きく動きやすいです。,仕事では起業新規事業営業開拓プロジェクト推進で力を発揮しやすいでしょう。,対人面では頼もしさと勢いが魅力になります。,急ぎすぎると周囲を置き去りにしやすく対立が増えやすいです。,stellium;Aries;10house;leadership;career;initiative
Taurus,2,3,taurus_2h_stellium_value,価値構築と安定の集中,自分の価値資源生活基盤を着実に築くことが人生の中心テーマになりやすい集中配置です。,無理なく続けられる形で価値を積み上げていくことが重要になります。,仕事では資産管理品質維持実務継続制作など安定性を要する分野で力を発揮しやすいでしょう。,対人面では安心感と誠実さが魅力になります。,安心を求めすぎると保守的になり変化への対応が遅れやすくなります。,stellium;Taurus;2house;value;stability;resources
Gemini,3,3,gemini_3h_stellium_information,情報循環と学習の集中,情報知識コミュニケーションを循環させることが人生全体の中心テーマになりやすい集中配置です。,学び続け伝え続けることが人生を活性化させやすい配置です。,仕事では文章編集営業教育広報企画連携など情報を扱う分野で力を発揮しやすいでしょう。,対人面では話しやすさと機転が魅力になります。,関心が分散しすぎると深さや継続力が弱まりやすくなります。,stellium;Gemini;3house;information;learning;communication
Cancer,7,3,cancer_7h_stellium_bonding,情緒的結びつきの集中,人との情緒的なつながりを通して人生が展開しやすい集中配置です。,関係性の中で安心を育てながら自分の居場所を作ることが重要になります。,仕事では対人支援顧客対応育成ケア役で力を発揮しやすいでしょう。,対人面では深い愛着と守ろうとする姿勢が魅力になります。,相手への依存や身内意識が強すぎると関係が重くなりやすいです。,stellium;Cancer;7house;bonding;relationship;care
Leo,10,3,leo_10h_stellium_visibility,社会的存在感と表現の集中,社会の中で自分らしい存在感を発揮し認められることが大きなテーマになりやすい集中配置です。,表に立つこと見せること創ることが人生の推進力になりやすいです。,仕事では表現発信企画教育広報マネジメントで力を発揮しやすいでしょう。,対人面では明るさと誇り高さが魅力になります。,承認欲求が強まりすぎると評価に振り回されやすくなります。,stellium;Leo;10house;visibility;career;expression
Virgo,2,3,virgo_2h_stellium_practical_value,実務力を価値化する集中,役に立つ力や整える力を自分の価値として育てていく集中配置です。,日常の実務や改善力を現実的な価値へ変えていくことが大きなテーマになります。,仕事では事務管理分析編集品質改善で安定した成果を出しやすいでしょう。,対人面では細やかな気配りが信頼につながりやすいです。,不足や欠点ばかりに目が向くと自己価値が不安定になりやすいです。,stellium;Virgo;2house;practical;value;improvement
Libra,10,3,libra_10h_stellium_social_balance,社会調整と洗練の集中,社会の中で人や価値観を調整し美しく整えることが大きなテーマになりやすい集中配置です。,協調と判断のバランスを取りながら役割を果たすことで人生が展開しやすいです。,仕事では交渉広報人事接客デザイン調整役で力を発揮しやすいでしょう。,対人面では上品さと調和感覚が魅力になります。,周囲の評価や空気を優先しすぎると自分の基準が曖昧になりやすいです。,stellium;Libra;10house;social;balance;refinement
Scorpio,2,3,scorpio_2h_stellium_intense_value,深い価値形成の集中,お金能力自己価値に対して深く強いこだわりが生まれやすい集中配置です。,軽く扱えないテーマを通して価値観が鍛えられやすい配置です。,仕事では専門性研究分析投資危機管理など深く扱う分野で力を発揮しやすいでしょう。,対人面では信頼を得るまで慎重になりやすいです。,失う恐れや執着が強まると安心しにくくなります。,stellium;Scorpio;2house;value;intensity;resources
Sagittarius,1,3,sagittarius_1h_stellium_expansion,自由拡大と探求の集中,自由に広がりながら探求していく力が人格全体で強く前面に出やすい集中配置です。,狭い枠に収まるより可能性を広げることで人生が展開しやすいです。,仕事では教育企画海外発信研究営業など広げる役割で力を発揮しやすいでしょう。,対人面では明るさ率直さ開放感が魅力になります。,大きく考えすぎると詰めの甘さや継続不足につながりやすくなります。,stellium;Sagittarius;1house;expansion;freedom;self
Capricorn,6,3,capricorn_6h_stellium_discipline,規律と遂行力の集中,責任感と規律をもって現実を回し続ける力が日常領域で強く出やすい集中配置です。,役割を果たし仕組みを守りながら改善することが人生の重要テーマになります。,仕事では管理運用実務統制品質維持長期遂行で力を発揮しやすいでしょう。,対人面では頼られやすく責任ある立場を担いやすいです。,義務感が強まりすぎると休めず心が硬くなりやすいです。,stellium;Capricorn;6house;discipline;work;responsibility
