planet1,planet2,aspect,Aspect_Angle,Summary
SUN,MOON,conjunction,0,新月生まれの配置です。目指すべき人生の方向性（太陽）と内面的な感情や本音（月）が一体化しており、裏表がなく純粋で強い自己推進力を持ちます。主観的になりやすい面もありますが、自分の信念に素直に従って道を切り開く力に長けています。
SUN,MOON,sextile,60,意志と感情が穏やかに調和し、素直でバランスの取れた人柄を備えています。公の場での振る舞いとプライベートの欲求が無理なく噛み合うため、精神的な安定感があり、周囲との良好な人間関係や協力を自然と引き寄せることができます。
SUN,MOON,square,90,上弦または下弦の月生まれの配置です。社会的な目標（太陽）と個人的な安心感や感情（月）の間で葛藤を抱えやすい傾向があります。内なる矛盾を克服しようとする強い動機が、粘り強い努力や自己成長を促し、独自の人生を力強く切り開く原動力となります。
SUN,MOON,trine,120,内面の欲求と社会的な自己実現が心地よく調和する恵まれた配置です。自己肯定感が高く、精神的に安定しており、無理のない自然体で周囲からの信頼や援助を得られます。穏やかな幸福感と豊かな家庭・人間関係を育む資質を持ちます。
SUN,MOON,quincunx,150,本質的な自己像と内面的な気分のリズムが噛み合いにくく、自己調整にエネルギーを要する傾向があります。周囲への過剰な気遣いから疲れやすい面もありますが、試行錯誤を通じて繊細な適応力と柔軟な人間性を獲得していきます。
SUN,MOON,opposition,180,満月生まれの配置です。人生の目的（太陽）と感情（月）が対向し、他者との関わりを通じて自己を深く理解していく傾向があります。公私のバランスを取ることに常に意識が向きますが、客観性と広い視野を持ち、豊かな表現力を発揮します。
SUN,MERCURY,conjunction,0,知性と自己表現力が直結しており、明晰な思考力と高いコミュニケーション能力を持ちます。自分の考えを言葉にするのが得意で、好奇心旺盛に知識を吸収します。主観的になりやすい点に気をつければ、優れた発信者や企画者として活躍できます。
SUN,MERCURY,sextile,60,機転が利き、知的好奇心と表現力に恵まれています。柔軟な思考で人の意見を受け入れつつ、自分の考えを分かりやすく伝えることができます。情報収集や学習、人との対話を通じて人生のチャンスを軽やかに広げていけます。
SUN,MERCURY,square,90,鋭い批判精神と思考への強いこだわりを持つ傾向があります。自分の意見を急いで主張しすぎて議論になったり、神経質になりやすい面もありますが、その鋭い知性と問題意識を建設的な研究や改善活動に活かすことで高い専門性を発揮します。
SUN,MERCURY,trine,120,明晰な頭脳とスムーズな伝達力を生まれ持ち、知的な活動全般に優れた適性を持ちます。理解力と文章力が高く、自分のアイデアを周囲に自然と浸透させることができます。学習や語学、実務処理においてストレスなく成果を上げられます。
SUN,MERCURY,quincunx,150,自己表現の意図と思考・伝達のスタイルの間にズレを感じやすく、言葉の選び方に慎重になる傾向があります。コミュニケーションにおける細かな自己調整を重ねることで、多角的な視点と洗練された表現技術を身につけていきます。
SUN,MERCURY,opposition,180,他者との対話や議論を通じて自己の思考を鍛え上げていく性質を持ちます。他者の意見に敏感で客観的な視点を持てる反面、議論好きになりやすい傾向もあります。バランスの取れたファシリテーターや交渉役として才能を発揮します。
SUN,VENUS,conjunction,0,生まれながらの魅力、社交性、美意識に恵まれた愛されキャラの配置です。人当たりが柔らかく、親しみやすい雰囲気で周囲を和ませます。芸術やファッションへの関心が高く、美や調和を大切にする人生観を持ちます。
SUN,VENUS,sextile,60,温厚で親しみやすい人柄と、優れた美的センスを備えています。人間関係の調和を自然に保つことができ、周囲からの好意や協力を得やすい徳があります。趣味や社交を楽しみながら心豊かな人生を築きます。
SUN,VENUS,square,90,強い自己愛や贅沢・楽しみへの強い憧れを持つ傾向があります。甘えや浪費、対人関係での依存に注意が必要ですが、人を喜ばせたいという強い情熱が魅力的な自己表現やエンターテインメントの才能へと昇華されます。
SUN,VENUS,trine,120,優雅な気品と豊かな芸術的感性、恵まれた社交運を生まれ持っています。人に対する思いやりと寛容さがあり、穏やかで幸福な人間関係を自然に築けます。美や文化、接客やデザインの分野で優れた才能を発揮します。
SUN,VENUS,quincunx,150,自己の目指す生き方と、他者に好かれたい欲求との間で葛藤を抱えやすい配置です。相手に合わせすぎて疲れやすい面がありますが、試行錯誤を通じて自分らしさと他者への配慮の絶妙なバランスを体得していきます。
SUN,VENUS,opposition,180,他者からの愛情や評価を強く求め、人間関係に深い関心を注ぐ性質を持ちます。見栄や過度な自己演出に気をつければ、人々を引きつける華やかなカリスマ性と優れた対人折衝能力を発揮できます。
