Template_ID,Cluster_ID,Month_ID,Event_Type,Valid_From,Peak_At,Valid_To,Carryover_Flag,Participating_Planets,Sign_Signature,Aspect_Signature,Max_Orb,Min_Planet_Count,Moon_Eligibility,Anchor_Planet,Anchor_Solar_House,Anchor_Natal_House,Personalization_Mode,House_Token_Planets,Date_Source,Date_Key,Date_Precision,Selection_Group,Supersedes_Cluster_IDs,Section_Order,Priority,Title,Paragraph_Template,Tags,Active_Flag
2026_08_SUN_JUPITER_CARRYOVER_S01_N01,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,1,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,自信の余韻を新しい自己像へ育てる時,{event_date}から続く太陽と木星の重なりの余韻が、自分を肯定し、新しい姿を見せたい気持ちを月初へ残します。可能性を大きく感じるほど、準備が整う前に役割や目標を広げやすいでしょう。周囲の期待ではなく自分が本当に続けたいことを一つ選び、小さな行動で新しい自己像を確かめてください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N02,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,2,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,自分の価値を現実的な選択へ結ぶ時,{event_date}から続く前向きな感覚が、自分の技能や持ち物の価値を認め、収入や支出の選択を見直す力として月初に残ります。期待する将来の価値まで現在の予算へ含めると、生活を支える金額を見失いやすいでしょう。使える資源を確認し、自信を育てる学びや道具を一つ選んでください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N03,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,3,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,前向きな言葉で新しい流れを作る時,{event_date}から続く自信の余韻が、会話、文章、身近な学びへ明るさを与え、自分の考えを伝える力として月初に残ります。言葉に勢いがつくほど、まだ試していないことまで確かな方針として語りやすいでしょう。今の実感と将来の希望を分け、最も伝えたい要点から話してください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N04,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,4,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,自分らしい暮らしの土台を整える時,{event_date}から続く拡大感が、住まいや家族の中で自分らしく過ごしたい気持ちを強め、暮らしを整える意欲として月初に残ります。理想の環境を一度に作ろうとすると、費用や家族のペースを置き去りにしやすいでしょう。自分が安心できる条件を言葉にし、今の家で試せる変更から始めてください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N05,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,5,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,喜びと創造性を堂々と表現する時,{event_date}から続く明るい余韻が、創作、恋愛、遊びへの意欲を高め、自分の喜びを堂々と表現する力として月初に残ります。反応を期待して作品や約束を大きくすると、本当に楽しみたいことより見せ方が先に立ちやすいでしょう。心から面白いと思うことを一つ選び、まず小さく形にしてください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N06,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,6,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,意欲を毎日の仕事と習慣へ定着させる時,{event_date}から続く前向きな感覚が、仕事や生活習慣を改善し、自分に合う日課を作る意欲として月初に残ります。勢いのまま予定や役割を増やすと、体力と休息の条件を見落としやすいでしょう。続けたい変化を一つに絞り、作業量と休む時間を先に決めてから試してください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N07,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,7,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,自信を対等な関係づくりへ生かす時,{event_date}から続く自信の余韻が、パートナーや協力相手へ自分の希望を率直に示す力として月初に残ります。理解された安心から将来の約束まで一度に広げると、相手との温度差や条件の違いを見落としやすいでしょう。自分の希望と相手の希望を並べ、今合意できることだけを選んでください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N08,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,8,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,深い変化を自分の力として受け取る時,{event_date}から続く拡大感が、親密な関係や共有してきた経験から得た変化を、自分の力として受け取る感覚を月初へ残します。信頼が深まった勢いで秘密や責任まで広く共有すると、境界が曖昧になりやすいでしょう。感情の結びつきと実務の条件を分け、自分が選べる範囲を確かめてください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N09,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,9,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,広がった視野を自分の進路へつなげる時,{event_date}から続く前向きな余韻が、学び、旅、異文化から得た視点を自分の進路へ取り入れる意欲として月初に残ります。刺激的な考えをすぐ人生の答えとすると、準備期間や現在の事情を見落としやすいでしょう。関心が続くテーマを一つ選び、調べることと実際に試すことを決めてください。,carryover;conjunction;sun;jupiter;leo,1
2026_08_SUN_JUPITER_CARRYOVER_S01_N10,2026_08_SUN_JUPITER_CARRYOVER,2026-08,conjunction_carryover,2026-08-01T00:00:00+09:00,2026-07-29T21:18:00+09:00,2026-08-05T23:59:59+09:00,1,SUN|JUPITER,SUN:LEO|JUPITER:LEO,SUN-JUPITER:0,5,2,not_applicable,JUPITER,1,10,anchor_house,SUN|JUPITER,swiss_ephemeris,SUN:JUPITER:0:2026-07-29,around_day,LEO_GROWTH,,20,80,新しい役割を社会へ自然に示す時,{event_date}から続く自信が、仕事や社会的な場で新しい役割を担い、自分の方針を示す力として月初に残ります。評価への期待から将来の成果まで約束すると、責任だけが先に大きくなりやすいでしょう。現在の実績、伸ばしたい力、必要な支援を分け、段階的な目標として伝えてください。,carryover;conjunction;sun;jupiter;leo,1
