Planet,Planet_Label,Event_Type,Event_Date,Event_DateTime_JST,Ecliptic_Longitude,Sign_ID,Sign_Label,Degree_In_Sign,Degree_Display,Display_Label,Source_Note
MERCURY,水星,RETROGRADE_START,2026-06-30,2026-06-30 02:35:59,116.257353,CANCER,蟹座,26.257353,蟹座26°15′,水星逆行開始: 2026年6月30日 蟹座26°15′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,RETROGRADE_START,2026-07-07,2026-07-07 19:54:38,4.417966,ARIES,牡羊座,4.417966,牡羊座4°25′,海王星逆行開始: 2026年7月7日 牡羊座4°25′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2026-07-24,2026-07-24 07:57:55,106.316535,CANCER,蟹座,16.316535,蟹座16°19′,水星順行開始: 2026年7月24日 蟹座16°19′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,RETROGRADE_START,2026-07-27,2026-07-27 04:56:47,14.749954,ARIES,牡羊座,14.749954,牡羊座14°45′,土星逆行開始: 2026年7月27日 牡羊座14°45′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,RETROGRADE_START,2026-09-11,2026-09-11 03:27:20,65.697005,GEMINI,双子座,5.697005,双子座5°42′,天王星逆行開始: 2026年9月11日 双子座5°42′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
VENUS,金星,RETROGRADE_START,2026-10-03,2026-10-03 16:15:50,218.491133,SCORPIO,蠍座,8.491133,蠍座8°29′,金星逆行開始: 2026年10月3日 蠍座8°29′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,DIRECT_START,2026-10-16,2026-10-16 11:40:16,303.068488,AQUARIUS,水瓶座,3.068488,水瓶座3°04′,冥王星順行開始: 2026年10月16日 水瓶座3°04′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2026-10-24,2026-10-24 16:12:47,230.978994,SCORPIO,蠍座,20.978994,蠍座20°59′,水星逆行開始: 2026年10月24日 蠍座20°59′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2026-11-14,2026-11-14 00:53:56,215.033493,SCORPIO,蠍座,5.033493,蠍座5°02′,水星順行開始: 2026年11月14日 蠍座5°02′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
VENUS,金星,DIRECT_START,2026-11-14,2026-11-14 09:27:30,202.863666,LIBRA,天秤座,22.863666,天秤座22°52′,金星順行開始: 2026年11月14日 天秤座22°52′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,DIRECT_START,2026-12-11,2026-12-11 08:31:02,7.931023,ARIES,牡羊座,7.931023,牡羊座7°56′,土星順行開始: 2026年12月11日 牡羊座7°56′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,DIRECT_START,2026-12-13,2026-12-13 07:17:21,1.612811,ARIES,牡羊座,1.612811,牡羊座1°37′,海王星順行開始: 2026年12月13日 牡羊座1°37′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,RETROGRADE_START,2026-12-13,2026-12-13 09:56:36,147.024652,LEO,獅子座,27.024652,獅子座27°01′,木星逆行開始: 2026年12月13日 獅子座27°01′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MARS,火星,RETROGRADE_START,2027-01-10,2027-01-10 21:59:27,160.429016,VIRGO,乙女座,10.429016,乙女座10°26′,火星逆行開始: 2027年1月10日 乙女座10°26′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,DIRECT_START,2027-02-08,2027-02-08 21:29:28,61.682626,GEMINI,双子座,1.682626,双子座1°41′,天王星順行開始: 2027年2月8日 双子座1°41′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2027-02-10,2027-02-10 02:36:09,335.981273,PISCES,魚座,5.981273,魚座5°59′,水星逆行開始: 2027年2月10日 魚座5°59′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2027-03-03,2027-03-03 21:32:05,320.923154,AQUARIUS,水瓶座,20.923154,水瓶座20°55′,水星順行開始: 2027年3月3日 水瓶座20°55′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MARS,火星,DIRECT_START,2027-04-01,2027-04-01 23:08:18,140.926597,LEO,獅子座,20.926597,獅子座20°56′,火星順行開始: 2027年4月1日 獅子座20°56′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,DIRECT_START,2027-04-13,2027-04-13 11:11:15,136.995481,LEO,獅子座,16.995481,獅子座17°00′,木星順行開始: 2027年4月13日 獅子座17°00′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,RETROGRADE_START,2027-05-08,2027-05-08 21:54:10,307.177954,AQUARIUS,水瓶座,7.177954,水瓶座7°11′,冥王星逆行開始: 2027年5月8日 水瓶座7°11′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2027-06-11,2027-06-11 03:15:19,96.36115,CANCER,蟹座,6.36115,蟹座6°22′,水星逆行開始: 2027年6月11日 蟹座6°22′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2027-07-05,2027-07-05 04:39:27,87.469208,GEMINI,双子座,27.469208,双子座27°28′,水星順行開始: 2027年7月5日 双子座27°28′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,RETROGRADE_START,2027-07-10,2027-07-10 07:41:01,6.659441,ARIES,牡羊座,6.659441,牡羊座6°40′,海王星逆行開始: 2027年7月10日 牡羊座6°40′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,RETROGRADE_START,2027-08-10,2027-08-10 03:05:55,27.880399,ARIES,牡羊座,27.880399,牡羊座27°53′,土星逆行開始: 2027年8月10日 牡羊座27°53′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,RETROGRADE_START,2027-09-15,2027-09-15 18:09:32,69.95571,GEMINI,双子座,9.95571,双子座9°57′,天王星逆行開始: 2027年9月15日 双子座9°57′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2027-10-07,2027-10-07 23:37:08,214.927815,SCORPIO,蠍座,4.927815,蠍座4°56′,水星逆行開始: 2027年10月7日 蠍座4°56′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,DIRECT_START,2027-10-18,2027-10-18 12:52:25,304.748152,AQUARIUS,水瓶座,4.748152,水瓶座4°45′,冥王星順行開始: 2027年10月18日 水瓶座4°45′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2027-10-28,2027-10-28 23:10:43,199.312072,LIBRA,天秤座,19.312072,天秤座19°19′,水星順行開始: 2027年10月28日 天秤座19°19′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,DIRECT_START,2027-12-15,2027-12-15 18:06:20,3.852504,ARIES,牡羊座,3.852504,牡羊座3°51′,海王星順行開始: 2027年12月15日 牡羊座3°51′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,DIRECT_START,2027-12-24,2027-12-24 11:47:22,21.020576,ARIES,牡羊座,21.020576,牡羊座21°01′,土星順行開始: 2027年12月24日 牡羊座21°01′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,RETROGRADE_START,2028-01-12,2028-01-12 17:53:48,177.512154,VIRGO,乙女座,27.512154,乙女座27°31′,木星逆行開始: 2028年1月12日 乙女座27°31′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2028-01-24,2028-01-24 20:02:30,319.698456,AQUARIUS,水瓶座,19.698456,水瓶座19°42′,水星逆行開始: 2028年1月24日 水瓶座19°42′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,DIRECT_START,2028-02-13,2028-02-13 08:49:50,65.931144,GEMINI,双子座,5.931144,双子座5°56′,天王星順行開始: 2028年2月13日 双子座5°56′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2028-02-14,2028-02-14 21:37:51,303.98541,AQUARIUS,水瓶座,3.98541,水瓶座3°59′,水星順行開始: 2028年2月14日 水瓶座3°59′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,RETROGRADE_START,2028-05-09,2028-05-09 18:29:48,308.825321,AQUARIUS,水瓶座,8.825321,水瓶座8°50′,冥王星逆行開始: 2028年5月9日 水瓶座8°50′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
VENUS,金星,RETROGRADE_START,2028-05-11,2028-05-11 08:02:41,79.686717,GEMINI,双子座,19.686717,双子座19°41′,金星逆行開始: 2028年5月11日 双子座19°41′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,DIRECT_START,2028-05-14,2028-05-14 05:00:23,167.540319,VIRGO,乙女座,17.540319,乙女座17°32′,木星順行開始: 2028年5月14日 乙女座17°32′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2028-05-21,2028-05-21 17:43:05,76.31458,GEMINI,双子座,16.31458,双子座16°19′,水星逆行開始: 2028年5月21日 双子座16°19′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2028-06-14,2028-06-14 15:06:04,67.756811,GEMINI,双子座,7.756811,双子座7°45′,水星順行開始: 2028年6月14日 双子座7°45′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
VENUS,金星,DIRECT_START,2028-06-23,2028-06-23 07:12:38,63.179706,GEMINI,双子座,3.179706,双子座3°11′,金星順行開始: 2028年6月23日 双子座3°11′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,RETROGRADE_START,2028-07-11,2028-07-11 22:04:05,8.900228,ARIES,牡羊座,8.900228,牡羊座8°54′,海王星逆行開始: 2028年7月11日 牡羊座8°54′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,RETROGRADE_START,2028-08-23,2028-08-23 07:16:38,41.313587,TAURUS,牡牛座,11.313587,牡牛座11°19′,土星逆行開始: 2028年8月23日 牡牛座11°19′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,RETROGRADE_START,2028-09-19,2028-09-19 09:01:14,74.24098,GEMINI,双子座,14.24098,双子座14°14′,天王星逆行開始: 2028年9月19日 双子座14°14′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2028-09-20,2028-09-20 01:33:52,198.594075,LIBRA,天秤座,18.594075,天秤座18°36′,水星逆行開始: 2028年9月20日 天秤座18°36′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2028-10-11,2028-10-11 19:27:35,183.480564,LIBRA,天秤座,3.480564,天秤座3°29′,水星順行開始: 2028年10月11日 天秤座3°29′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
