Planet_ID,Sign_ID,House_ID,Text_General,Text_Love,Text_Work,Text_Human,Text_Health,Energy_Score,Priority,Essential_Dignity_Score
SUN,ARIES,1,自発的な意志と強い行動力で人生を切り拓く性質です。自己表現の場で主体性を発揮することが生きる目的となります,自分から積極的にアプローチする情熱的な恋愛スタイルです。一目惚れしやすく展開の早さを好みます,リーダーシップを発揮し新規開拓や独立独歩の環境で力を出します。即断即決が強みです,正直で裏表がなくエネルギッシュな印象を与えます。リーダーとして周囲を引っ張る存在です,頭部の怪我や眼精疲労に注意が必要です。エネルギーの消耗が激しいため意識的な休息が不可欠です,95,10,10
SUN,ARIES,2,自分の力で価値を創り出し経済的な自立を目指す性質です。所有を通じて自己の存在価値を確認しようとします,安定よりも刺激的な関係を好みますが愛する対象には手厚いサポートを提供します,自分のスキルを直接利益に変える仕事に向いています。実力主義の現場で高い収益を狙います,信頼できる人物とだけ深く関わろうとします。価値観を共有できる相手には非常に寛大です,喉の炎症や首の凝りに注意が必要です。物質的な満足感が活力に直結するため良質な食事を心がけてください,80,10,10
SUN,ARIES,3,好奇心に突き動かされ迅速に情報を収集し発信する性質です。学びを通じて自己のアイデンティティを確立します,会話を通じた知的刺激を恋愛に求めます。軽やかで変化のあるコミュニケーションを楽しみます,営業や広報などスピードと伝達力が求められる現場で活躍します。マルチタスクをこなす能力が高いです,誰とでも物怖じせず対等に話すことができます。情報のハブとなり周囲を活気づける役割です,神経系の高ぶりや呼吸器の疾患に注意してください。情報過多による脳疲労を防ぐ工夫が大切です,85,10,10
SUN,ARIES,4,家庭やルーツにおいて主導権を握り安心できる居場所を守る性質です。身内に対する保護本能が非常に強いです,家族のような安心感と情熱を両立させる関係を望みます。家の中でもリーダーシップを発揮します,在宅ビジネスや不動産関連など基盤を自分でコントロールできる仕事に向きます。内面の充実が成果に繋がります,身内意識が強く信頼した相手には全力で味方します。排他的になりやすいためオープンな心も意識して,胃腸の不調や胸部の疾患に注意が必要です。住環境を清潔に保つことが精神的な活力の源となります,75,10,10
SUN,ARIES,5,自己表現や創造的な活動を通じて人生の喜びを見出す性質です。何事も楽しむ天才であり華やかなオーラを持ちます,ドラマチックで燃え上がるような恋を好みます。自己アピールが上手く恋愛そのものをイベントとして楽しみます,企画やエンターテインメントなど個人の個性が光る職種で大成します。独創的なアイデアで周囲を魅了します,明るく社交的でパーティーや集まりの中心的存在になります。子供のような純粋さが魅力として映ります,心臓や背中のトラブルに注意してください。適度な運動で血流を良くすることが健康維持の鍵です,90,10,10
SUN,ARIES,6,実務能力の高さと迅速な処理で周囲に貢献する性質です。役割を完璧に遂行することに誇りを感じます,献身的ですが相手にも同等の誠実さを求めます。共に高め合える知的なパートナーシップを好みます,事務や技術職など精度とスピードが要求される現場で無類の強さを発揮します。改善提案が得意です,礼儀正しく役に立とうとする姿勢が信頼を集めます。責任感が強くチームの屋台骨として重宝されます,過労やストレスによる自律神経の乱れに注意です。規則正しいルーチンがバイオリズムを安定させます,70,10,10
SUN,ARIES,7,対人関係を通じて自分を知り成長していく性質です。他者との関わりの中でリーダーシップを磨きます,対等で刺激的なパートナーシップを熱望します。共に競い合い高め合えるライバルのような関係に惹かれます,交渉や営業など相手のニーズを即座に汲み取り提案する仕事で成功します。パートナーとの協業も吉です,率直な意見交換を好み隠し事を嫌います。社交の場で存在感を発揮し多くの契約を勝ち取ります,腰痛や腎機能の低下に注意してください。人間関係のストレスを溜め込まない発散方法を見つけてください,80,10,10
SUN,ARIES,8,物事の深部を見通し極限状態からの再生を経験する性質です。深い絆や継承を通じて自己を変容させます,濃密で一途な愛を捧げます。魂レベルでの融合を求め相手のすべてを把握したいという欲求を持ちます,財務管理や調査、再生ビジネスなど裏方で大きな影響力を振るう仕事に向きます。不屈の精神があります,ミステリアスな印象を与えますが一度心を開くと命懸けで守ります。極端な信頼関係を築く傾向です,生殖器系や排泄器官のトラブルに注意してください。古い感情をデトックスすることが再生のエネルギーになります,85,10,10
SUN,ARIES,9,高い理想を掲げ精神的物理的な冒険を続ける性質です。未知の領域を探索し知恵を広げることに情熱を燃やします,精神的な成長を促してくれる相手を好みます。共に海外へ行ったり高度な学びを共有したりすることを望みます,教育や出版、海外ビジネスなど視野の広さが必要な分野で活躍します。思想家や開拓者としての素質があります,楽観的で大らかな印象を与えます。高い視点からアドバイスを送り周囲に希望を与える存在です,大腿部や肝臓のトラブル、異郷の地での感染症に注意してください。自然の中で体を動かし哲学的な思考に耽ることが心身の浄化に繋がります,90,10,10
SUN,ARIES,10,社会的な成功とキャリアの頂点を目指す性質です。野心的で責任ある立場に立つことで自己を実現しようとします,公私の区別をはっきりさせますがパートナーの社会的成功も強く応援します。誇り高い関係を好みます,経営や管理職、政治など権限を持つ場所で無類の強さを発揮します。結果を出すことに執念を燃やします,権威を感じさせる堂々とした振る舞いです。目上の人からの引き立てを受けやすく若くして成功する運を持ちます,膝や関節の疾患、骨のトラブルに注意してください。重圧を分散させるリラックス法を取り入れてください,95,10,10
