Trigger_ID,Target_Category,Display_Title,Recommended_T_Planet,Recommended_Angles,Recommended_Aspect_Category,Assignment_Policy
LUCKY_LOVE_VENUS,Love,最高の恋愛運モード突入まで,TRANSIT_VENUS,0|60|120,Love,金星が月金星太陽ASCに吉角を作る恋愛ピーク候補に付与
ROMANTIC_CHANCE_MOON,Love,感性が高まるロマンス期まで,TRANSIT_MOON,0|60|120,Love,月が金星海王星月に柔らかく触れる感受性上昇タイミングに付与
RELATIONSHIP_GLORY,Love,パートナーシップの黄金期まで,TRANSIT_JUPITER,0|60|120,Love,木星が金星太陽DESCへ吉角を作る対人拡大局面に付与
DEEP_BOND_SCORPIO,Love,魂が触れ合う濃密な時間まで,TRANSIT_PLUTO,0|120|180,Love,冥王星が月金星蠍座テーマへ深い結び付きを起こす行に付与
SOCIAL_NETWORK_EXP,Love,新しい出会いのチャンス到来まで,TRANSIT_URANUS,60|120,Love,天王星が金星水星11ハウス系へ刺激を与える出会い拡張行に付与
PASSIONATE_ENCOUNTER,Love,情熱的な恋の火が灯るまで,TRANSIT_MARS,0|60|120,Love,火星が金星月ASCに勢いを加える情熱的な接近期に付与
STABLE_LOVE_FOUND,Love,信頼で結ばれる安定期まで,TRANSIT_SATURN,60|120,Love,土星が金星月DESCへ安定と約束をもたらす吉角行に付与
WORK_SUCCESS_JUPITER,Work,仕事のビッグチャンス到来まで,TRANSIT_JUPITER,0|60|120,Work,木星が太陽MC木星へ吉角を作る昇進成功拡大行に付与
CAREER_PEAK_MC,Work,キャリアのピークタイム到達まで,TRANSIT_JUPITER,0|60|120,Work,MCや10ハウスを強く刺激する到達系アスペクトに優先付与
CREATIVE_FLOW_SUN,Work,創造力が爆発する全集中期まで,TRANSIT_SUN,0|60|120,Work,太陽が太陽水星5ハウスへ光を当てる創造性上昇行に付与
DECISION_SPEED_UP,Work,的確な判断ができる決断期まで,TRANSIT_MERCURY,0|60|120,Work,水星が太陽水星火星へ明晰さを与える判断加速行に付与
NEGOTIATION_POWER,Work,交渉を有利に進める対話期まで,TRANSIT_MERCURY,60|120,Work,水星が天秤座双子座7ハウス系へ好影響を与える交渉行に付与
BUSINESS_EXPANSION,Work,事業拡大の追い風が吹くまで,TRANSIT_JUPITER,60|120,Work,木星がMC太陽2ハウス11ハウスへ拡張をもたらす成長行に付与
PROJECT_COMPLETION,Work,長期プロジェクトの達成日まで,TRANSIT_SATURN,0|60|120,Work,土星がMC水星6ハウス10ハウスへ完遂力を与える行に付与
MONEY_LUCK_TAURUS,Money,金運の波が最高潮に達するまで,TRANSIT_VENUS,0|60|120,Money,金星が2ハウス牡牛座金星木星へ吉角を作る金運上昇行に付与
SAVINGS_GROWTH,Money,財政基盤が安定する蓄財期まで,TRANSIT_SATURN,60|120,Money,土星が2ハウス土星金星へ安定化を与える蓄財行に付与
SELF_REFORM_URANUS,General,人生を刷新する覚醒の日まで,TRANSIT_URANUS,0|60|120,General,天王星が太陽ASCMCへ刷新の追い風を与える変化行に付与
SPIRITUAL_HEALING,Health,魂のデトックスが完了するまで,TRANSIT_NEPTUNE,60|120,Health,海王星が月12ハウス魚座テーマへ癒やしを与える行に付与
FATED_TURNING_POINT,General,宿命的な転換点が訪れるまで,TRANSIT_PLUTO,0|90|180,General,冥王星やドラゴンヘッド絡みの大きな転換アスペクトに付与
INNER_PEACE_MOON,Health,内面の静寂を取り戻す日まで,TRANSIT_MOON,0|60|120,Health,月が月金星海王星へ安心感を戻す短期回復行に付与
VICTORY_MARS,General,宿敵に打ち勝ち勝利を掴むまで,TRANSIT_MARS,0|60|120,General,火星が太陽木星MCへ突破力を与える勝負運上昇行に付与
STUDY_EFFICIENCY_MAX,Work,知性が研ぎ澄まされる学習期まで,TRANSIT_MERCURY,0|60|120,Work,水星が水星木星3ハウス9ハウスへ学習効率を与える行に付与
PUBLIC_RECOGNITION,Work,公的な場での脚光を浴びるまで,TRANSIT_SUN,0|60|120,Work,太陽木星がMC太陽10ハウスへ注目を集める行に付与
FAMILY_HAPPINESS,General,家庭に平穏と喜びが戻る日まで,TRANSIT_MOON,0|60|120,General,月や金星がIC月4ハウスへ安心感をもたらす家庭行に付与
TALENT_DISCOVERY,General,眠れる才能が目覚める日まで,TRANSIT_SUN,60|120,General,太陽天王星木星が太陽5ハウスMCへ才能開花を起こす行に付与
HOUSE_BRIGHTENING,General,住環境が劇的に好転する日まで,TRANSIT_VENUS,60|120,General,金星木星月がIC4ハウス金星へ快適さを与える住環境行に付与
GLOBAL_CONNECTION,General,広い世界との繋がりができるまで,TRANSIT_JUPITER,60|120,General,木星天王星が9ハウス11ハウス水星へ外の世界を開く行に付与
LEADERSHIP_AWAKENING,Work,統率力が真価を発揮する日まで,TRANSIT_SUN,0|60|120,Work,太陽火星木星が太陽MC火星へ統率力を与える行に付与
MIND_BODY_BALANCE,Health,心と体の調和が完璧に整うまで,TRANSIT_VENUS,60|120,Health,金星月が6ハウス月金星へ穏やかな回復を与える行に付与
SOCIAL_CONTRIBUTION,General,あなたの活動が社会に届くまで,TRANSIT_JUPITER,60|120,General,木星太陽がMC11ハウス水瓶座テーマへ社会性を拡張する行に付与
DESTINY_MEETING,Love,運命を感じる人物と出会うまで,TRANSIT_VENUS,0|60|120,Love,金星木星月がDESC金星月へ縁を運ぶ出会い行に付与
