Rule_ID,Category,Factor_Type,Peak_Type,Transit_Planet,Natal_Target,Target_Role,House_System,Target_House,Aspect_Angle,Aspect_Class,Transit_State,Orb_Max,Duration_Days_Before,Duration_Days_After,Activation_Weight,Caution_Weight,Intensity_Hint,Tone,Monthly_Title,Monthly_Summary,Monthly_Description,Monthly_Caution,Yearly_Summary,Priority,Tags,Active_Flag,Narrative_Key,Narrative_Priority
GENERAL_SUN_NATAL_1H_VITALITY,general_health,natal_house,vitality,SUN,ANY,self_body,natal,1,ANY,none,ingress,3,0,5,4,0,high,active,体力が前に出る時期,行動力と自己管理が動きやすい流れです,体調や生活の主導権を取り戻しやすく予定を前に進めやすい月です,勢いだけで予定を詰めすぎないこと,自分の調子を整えながら前に出る流れ,1,house_ingress;vitality;1h,1,self_pace,3
GENERAL_SUN_SOLAR_1H_VITALITY,general_health,solar_house,vitality,SUN,ANY,self_body,solar,1,ANY,none,ingress,3,0,5,4,0,high,active,月の始動感が強まる,今月の生活リズムを作り直しやすい時期です,気持ちと行動がそろいやすく新しい習慣を始めるきっかけになります,最初から完璧に固めすぎないこと,月単位で自分を立て直す節目,2,solar_house;vitality;1h,1,self_pace,3
GENERAL_MARS_NATAL_1H_BODY_ACTION,general_health,natal_house,body_condition,MARS,ANY,action_drive,natal,1,ANY,none,ingress,3,0,5,4,2,high,mixed,体の動きが強まる,活動量が増えやすく負荷管理が大切です,やる気と瞬発力が出やすい一方で疲れや焦りも出やすい月です,睡眠と休憩を削らないこと,行動量が増えるほど体の扱いが重要になる流れ,3,house_ingress;body_condition;1h;load,1,self_pace,3
GENERAL_MARS_SOLAR_6H_ROUTINE_LOAD,general_health,solar_house,life_rhythm,MARS,ANY,daily_load,solar,6,ANY,none,ingress,3,0,5,3,2,medium,mixed,日課の負荷が上がる,作業や用事が増えて体調管理が必要です,細かな予定や実務が増えやすく生活ペースの調整が効きやすい時期です,無理な短期集中を続けないこと,日常の負荷と体力配分を見直す流れ,4,solar_house;6h;routine;load,1,routine,3
GENERAL_SATURN_NATAL_1H_PRESSURE,general_health,natal_house,pressure,SATURN,ANY,responsibility,natal,1,ANY,none,ingress,2.5,3,10,2,3,caution_only,heavy,体調管理を厳しめに見る時期,疲れや責任感が表に出やすい流れです,無理を重ねた部分が見えやすく生活や体の使い方を現実的に整える月です,我慢で押し切らず休息を予定に入れること,自己管理と負荷の見直しが大きなテーマになる流れ,5,house_ingress;saturn;1h;caution,1,pressure,3
GENERAL_SATURN_NATAL_6H_ROUTINE_PRESSURE,general_health,natal_house,life_rhythm,SATURN,ANY,responsibility,natal,6,ANY,none,ingress,2.5,3,10,2,3,caution_only,heavy,日課の重さを見直す時期,仕事量や習慣の負担が見えやすい流れです,毎日のルーティンや健康管理の弱点が浮かびやすく調整が必要になります,責任感だけで不調を隠さないこと,日々の負荷を現実的に整える年回り,6,house_ingress;saturn;6h;caution,1,routine,3
GENERAL_SATURN_NATAL_12H_REST_PRESSURE,general_health,natal_house,rest,SATURN,ANY,recovery,natal,12,ANY,none,ingress,2.5,3,10,1,3,caution_only,heavy,休息の不足が見えやすい,隠れた疲れを整える必要が出やすい時期です,気づかない疲労や気力の低下に目を向けて休む仕組みを作りたい月です,孤立して抱え込まないこと,休息と回復の設計が重要になる流れ,7,house_ingress;saturn;12h;rest,1,recovery,3
GENERAL_NEPTUNE_NATAL_6H_CARE,general_health,natal_house,body_condition,NEPTUNE,ANY,sensitivity,natal,6,ANY,none,ingress,1.5,5,10,1,3,caution_only,caution,体調の曖昧さに注意する時期,疲れや不調の輪郭がぼやけやすい流れです,生活リズムや体調の判断が曖昧になりやすく記録と確認が助けになります,自己判断だけで放置しないこと,曖昧な不調を丁寧に扱う長期背景,8,house_ingress;neptune;6h;caution_only,1,self_pace,3
GENERAL_NEPTUNE_NATAL_12H_REST_BACKGROUND,general_health,natal_house,rest,NEPTUNE,ANY,recovery,natal,12,ANY,none,ingress,1.5,5,10,1,2,background_only,review,休息の質を見直す背景,無意識の疲れや睡眠リズムに意識が向きます,はっきりしたピークというより休み方や回復の質を整える背景です,現実逃避だけで済ませないこと,休息や内面のケアが長期テーマになります,9,house_ingress;neptune;12h;background,1,recovery,3
GENERAL_MERCURY_NATAL_3H_MENTAL_FOCUS,general_health,natal_house,mental_focus,MERCURY,ANY,communication,natal,3,ANY,none,ingress,3,0,5,3,1,medium,active,頭の回転が忙しくなる,連絡や移動が増えて集中の配分が鍵です,考えることや細かな連絡が増えやすく情報整理が体調管理にもつながります,神経を休める時間を確保すること,思考と生活リズムを整える流れ,10,house_ingress;mercury;3h;focus,1,cognitive_load,2
