planet,sign,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ
Sun,Aries,自我と行動力,主体的に行動し人生を切り開こうとする自己表現,行動力が強い リーダーシップ 開拓精神,衝動的 自己中心的になりやすい,率先して物事を進める主導型,起業 新規プロジェクトで力を発揮,行動前に目的を整理する
Sun,Taurus,安定と感覚,安定した価値や物質的基盤を重視する自己表現,忍耐力 継続力 現実感覚,変化を避けすぎる 頑固,安心感を与える安定型,資産 物質価値を扱う仕事で強い,柔軟性を意識する
Sun,Gemini,知性と交流,情報交換や学びを通して自己を表現する,知的好奇心 コミュ力 柔軟性,集中力が散漫 表面的,軽快に人とつながる,情報 文章 営業で活躍,一つのテーマを深める
Sun,Cancer,感情と保護,身近な人や安心できる環境を守る自己意識,共感力 保護力 家族愛,感情的 内向的になりすぎる,身内を守る世話役,福祉 教育 ケア分野で力を発揮,自立した境界を持つ
Sun,Leo,創造と誇り,自分の個性や創造性を堂々と表現する,カリスマ 創造力 表現力,プライド過剰 承認欲求,中心人物として場を明るくする,表現 芸術 リーダー職,評価より自己表現を重視
Sun,Virgo,分析と改善,役に立つことや改善を通して自己価値を示す,分析力 実務力 誠実,完璧主義 批判的,細やかにサポートする,品質管理 医療 研究で活躍,完璧より進行を優先
Sun,Libra,調和と関係,人との関係性やバランスの中で自己を表現,社交性 バランス感覚 美意識,優柔不断 他者依存,調整役として信頼される,交渉 デザイン 人事で活躍,自分の意思を明確にする
Sun,Scorpio,深層と変容,深い感情や本質的変化を通して自己を確立,洞察力 集中力 強い意志,執着 支配的,深い信頼関係を築く,研究 心理 投資で力を発揮,執着を手放す
Sun,Sagittarius,探求と自由,理想や真理を追求することで人生を広げる,楽観性 探求心 行動力,無計画 極端,自由な関係性を好む,教育 旅行 出版で活躍,理想を具体化する
Sun,Capricorn,責任と達成,社会的成果や責任を通して自己を確立,責任感 計画性 忍耐,悲観的 仕事中心,信頼される実務型,経営 管理 職人分野で成功,長期視点を保つ
Sun,Aquarius,革新と独立,独自の視点で社会や未来に貢献する,独創性 客観性 改革力,孤立 反骨的,フラットな関係を好む,IT 研究 社会改革分野,現実との接点を持つ
Sun,Pisces,共感と想像,共感力や精神性を通して自己を表現,共感力 芸術性 想像力,境界が曖昧 逃避,包み込むような関係性,芸術 癒し 分野で活躍,現実的な基盤を持つ
Moon,Aries,衝動的感情,感情が瞬発的に動きやすい,行動的 情熱的,短気 衝動的,率直な感情表現,スピード感ある環境で力を出す,感情を一度整理する
Moon,Taurus,安定した感情,安心できる環境を求める感情,安定 忍耐 心地よさ,変化に弱い,安心感を与える,安定環境で能力発揮,柔軟性を持つ
Moon,Gemini,知的感情,情報や会話で感情が動く,適応力 会話力,落ち着きがない,軽快な交流,情報系仕事で活躍,感情を深く理解
Moon,Cancer,家庭的感情,家族や身近な人に感情が強く向く,共感力 保護力,過敏 依存,家族的関係を築く,ケア職で力を発揮,感情の境界を作る
Moon,Leo,表現的感情,感情をドラマティックに表現する,表現力 温かさ,承認欲求,明るいムードメーカー,表現仕事で活躍,内面的満足を重視
Moon,Virgo,整理する感情,感情を整理し実務的に対応する,分析力 誠実,心配性 批判的,サポート型,実務能力が高い,自己肯定感を育てる
Moon,Libra,調和的感情,人間関係のバランスで感情が安定,社交性 協調性,優柔不断,調停役,チーム仕事で活躍,自分の本音を知る
Moon,Scorpio,深い感情,感情が深く強く動く,洞察 忠誠心,執着 極端,深い絆を求める,研究心理で力を発揮,感情を客観視
Moon,Sagittarius,自由な感情,広い世界への関心が感情を刺激,楽観性 冒険心,飽きやすい,自由な関係,教育旅行分野で活躍,継続力を養う
Moon,Capricorn,抑制的感情,感情を抑え責任を優先する,責任感 忍耐,感情抑圧,信頼される存在,管理仕事で安定,感情を表現する
Moon,Aquarius,理性的感情,感情より理性や友情を重視,客観性 独立,距離感が冷たい,友情型関係,革新仕事に向く,感情理解を深める
Moon,Pisces,共感的感情,他人の感情に共鳴しやすい,共感力 想像力,境界が曖昧,癒し型関係,芸術福祉分野で活躍,境界線を作る
Mercury,Aries,直感と思考の速さ,思考や発言が速く直接的で決断力のある知性,判断が速い 行動的 発言が明確,短絡的 衝動発言,率直でストレートな会話,営業 起業 企画で強い,話す前に整理する
Mercury,Taurus,安定した思考,実用的で現実的な思考を重視する知性,継続力 現実性 信頼性,柔軟性不足 頑固,落ち着いた会話,経理 企画 実務管理で活躍,新しい視点を取り入れる
Mercury,Gemini,情報と会話,情報収集や会話能力に優れた知性,情報処理力 会話力 学習力,集中力不足 表面的,軽快なコミュニケーション,営業 メディア 教育で活躍,専門性を深める
Mercury,Cancer,感情的思考,感情や記憶を重視した思考スタイル,記憶力 共感力,主観的 感情的判断,思いやりのある会話,教育 カウンセリングで活躍,感情と事実を分ける
Mercury,Leo,表現的知性,自己表現を重視した思考と発言,表現力 説得力 カリスマ,自己主張過多,ドラマティックな話し方,プレゼン 教育 表現分野,他者の意見を尊重
Mercury,Virgo,分析的知性,分析力と論理性を重視した思考,分析力 正確性 実務能力,批判的 完璧主義,細かく丁寧な説明,研究 医療 ITで活躍,全体視点を持つ
Mercury,Libra,調整思考,バランスや関係性を重視する思考,交渉力 客観性 社交性,優柔不断,調整役として会話,交渉 法律 人事で活躍,自分の意見を持つ
Mercury,Scorpio,洞察思考,深い洞察力を持つ集中型思考,洞察力 集中力,疑念 深読み,核心を突く会話,研究 心理 投資分野,柔軟な視点を持つ
Mercury,Sagittarius,哲学的思考,大きな視点で物事を考える思考,理想 vision 発想力,大雑把,自由な議論,教育 出版 研究,具体化する
Mercury,Capricorn,戦略思考,計画的で現実的な思考,計画力 判断力 責任感,悲観的,現実的な助言,経営 管理 戦略分野,柔軟性を持つ
Mercury,Aquarius,革新的思考,独創的で未来志向の思考,独創性 客観性 発想力,反骨的,ユニークな会話,IT 研究 社会改革,実用性を意識
Mercury,Pisces,直感思考,感覚的でイメージ中心の思考,想像力 共感力,曖昧 混乱,感情的な会話,芸術 福祉 カウンセリング,言語化を意識
Venus,Aries,情熱的愛情,恋愛や好みが情熱的で直感的,情熱 行動力,短期的 衝動的恋愛,積極的にアプローチ,営業 表現仕事で魅力,忍耐を学ぶ
Venus,Taurus,安定した愛情,心地よさや物質的豊かさを好む愛情,安定感 感覚的魅力,所有欲,安心感ある関係,美容 芸術 資産分野,変化を受け入れる
