感受点名,星座名,ハウス,要約,解釈文,長所,注意点,成長のコツ,仕事での出方,対人での出方,優先度,タグ
DragonHead,Aries,1,自分自身の意思で人生を切り開く配置,人生では他人に合わせるよりも自分の意思で行動を起こし主体的に道を切り開くことが重要なテーマになりやすいでしょう,行動力と自己主張の強さ,他人の反応を気にして動きが鈍りやすい,自分の衝動を信じて最初の一歩を踏み出すこと,独立性の高い仕事で力を発揮しやすい,率直な自己表現が関係を前進させる,90,人生課題|自立|行動
DragonHead,Aries,2,自分の価値を自分で築く配置,他人の価値観ではなく自分自身の力で資源や価値を築くことが重要なテーマになりやすいでしょう,自力で資産を築く力,他人の価値判断に依存しやすい,自分の能力を信じて実利を積み上げること,自営業や成果主義の仕事で力を発揮しやすい,対等な関係を築くことで安心が育つ,90,人生課題|価値|自立
DragonHead,Aries,3,自分の言葉で発信する配置,周囲の空気に合わせるよりも自分の考えを率直に表現することが人生テーマになりやすいでしょう,率直なコミュニケーション力,遠慮して意見を引っ込めやすい,考えたことをまず言葉にすること,情報発信や営業などで活躍しやすい,率直さが信頼を生む,88,人生課題|発信|行動
DragonHead,Aries,4,自分の基盤を自分で作る配置,家族や環境に依存するより自分自身の居場所や安心を主体的に築くことが重要です,自立した生活力,過去や家族の影響に縛られやすい,自分の価値観で生活基盤を整える,自宅拠点や個人事業で力を発揮しやすい,家族関係で主体性を持つことが鍵,88,人生課題|基盤|自立
DragonHead,Aries,5,自分らしい表現を貫く配置,周囲の期待よりも自分の創造性や喜びを優先することで人生が開けやすいでしょう,創造的エネルギー,他人の評価に左右されやすい,好きなことに全力を注ぐ,クリエイティブ分野で活躍しやすい,率直な感情表現が魅力になる,90,創造|自己表現
DragonHead,Aries,6,自分のやり方で働く配置,職場の慣習に合わせるより主体的に働き方を作ることが成長テーマです,主体的な仕事力,指示待ちになりやすい,自分から改善行動を起こす,プロジェクト推進役で活躍,率直な提案が信頼を生む,88,仕事|主体性
DragonHead,Aries,7,対等な関係を築く配置,依存関係ではなく自分の意思を持った対等な関係を築くことが重要です,率直な対話力,相手に合わせすぎる傾向,自分の意見を伝えること,パートナー型ビジネスで活躍,率直さが関係を健全にする,88,対人|自立
DragonHead,Aries,8,変化に飛び込む配置,恐れずに大きな変化や深い関係に飛び込むことで人生が大きく成長しやすいでしょう,勇気と決断力,リスクを恐れすぎる,変化を受け入れること,金融や研究分野で力を発揮,深い信頼関係を築ける,90,変容|勇気
DragonHead,Aries,9,自分の信念を探求する配置,他人の思想ではなく自分自身の信念を探し行動することが重要です,冒険心と探求力,安全圏に留まりやすい,未知の世界へ挑戦する,海外や教育分野で活躍,率直な信念表明が魅力になる,90,探求|挑戦
DragonHead,Aries,10,自分の力で社会に立つ配置,社会的な成功や役割を自分の力で切り開くことが人生テーマになりやすいでしょう,リーダーシップ,評価を恐れて前に出ない,主体的に責任を引き受ける,経営や管理職で力を発揮,堂々とした姿勢が信頼を生む,92,社会|リーダー
DragonHead,Aries,11,理想を自ら実現する配置,仲間の中でも主体的に理想を行動へ移すことが大切です,行動力のある理想主義,周囲に遠慮して動けない,自分からプロジェクトを始める,コミュニティ運営で活躍,率先行動が信頼を作る,88,理想|行動
DragonHead,Aries,12,内なる衝動を信じる配置,内面の衝動や直感を信じて行動することで人生が大きく動きやすいでしょう,直感的行動力,不安から行動を抑えやすい,直感を信じて動く,創作や研究分野で活躍,精神的な理解を深める関係が鍵,88,直感|精神
DragonHead,Taurus,1,安定した自己像を築く配置,安心感や安定を自分の中に築くことが人生テーマです,落ち着いた存在感,不安から自己価値を疑いやすい,自分のペースを守る,堅実なリーダーシップ,安心感が信頼を生む,90,安定|自尊心
DragonHead,Taurus,2,自分の価値を育てる配置,物質的精神的な価値を時間をかけて育てることが重要です,堅実な資産形成力,短期利益に流されやすい,長期的視点を持つ,金融や管理分野で活躍,安心感を与える関係性,92,資産|安定
DragonHead,Taurus,3,落ち着いた知性を育てる配置,知識や情報を地道に積み重ねることで人生が安定します,忍耐強い学習力,焦って結果を求めやすい,コツコツ学ぶこと,研究教育分野で活躍,穏やかな対話が魅力,88,知性|安定
DragonHead,Taurus,4,安心できる居場所を作る配置,生活基盤や家庭に安定を築くことが人生テーマです,家庭的安定力,変化を恐れすぎる,心地よい環境を整える,不動産や生活産業で活躍,穏やかな関係を築く,90,家庭|安定
DragonHead,Taurus,5,喜びをゆっくり育てる配置,創造や楽しみを急がず育てることで人生が豊かになります,持続的創造力,快楽に流されやすい,価値ある楽しみを選ぶ,芸術文化分野で活躍,穏やかな愛情表現,88,創造|喜び
DragonHead,Taurus,6,安定した働き方を作る配置,地道な努力で日常や仕事を安定させることが重要です,継続力のある仕事力,惰性に流されやすい,習慣を整える,実務分野で活躍,信頼される働き方,90,仕事|安定
DragonHead,Taurus,7,安心できる関係を築く配置,穏やかで安定した関係を育てることが人生テーマです,信頼関係を築く力,執着的になりやすい,安心感を大切にする,長期的パートナー関係で成功,穏やかな愛情関係,90,対人|信頼
DragonHead,Taurus,8,共有の安定を築く配置,他者と資源や感情を共有しながら安心を育てることが大切です,粘り強い信頼形成,不安から所有欲が強くなる,信頼を育てる,金融研究分野で活躍,深い信頼関係,90,共有|信頼
DragonHead,Taurus,9,価値観を育てる配置,自分にとって本当に価値ある信念を時間をかけて育てることが重要です,安定した信念,頑固になりやすい,柔軟に学び続ける,教育研究で活躍,落ち着いた議論が魅力,88,信念|学び
DragonHead,Taurus,10,堅実な成功を築く配置,時間をかけて社会的成功を築くことが人生テーマです,堅実な成功力,焦って結果を求めやすい,長期戦略を持つ,経営管理で活躍,信頼される社会的役割,92,社会|成功
DragonHead,Taurus,11,現実的な理想を育てる配置,理想を現実的な形にして社会へ広げることが重要です,実現力のある理想主義,理想を諦めやすい,小さく実現する,社会活動で活躍,安定した仲間関係,88,理想|社会
DragonHead,Taurus,12,内面の安心を育てる配置,精神的な安心感を育てることで人生が安定します,穏やかな精神力,不安に支配されやすい,安心できる習慣を作る,癒しや芸術分野で活躍,穏やかな共感関係,88,精神|安定
DragonHead,Gemini,1,知性を前面に出す配置,知識や言葉を通して自分自身を表現することが人生テーマです,知的好奇心,優柔不断になりやすい,まず話してみる,教育や情報分野で活躍,会話が魅力になる,88,知性|発信
DragonHead,Gemini,2,知識を価値に変える配置,学びや情報を実際の価値へ変えることが大切です,情報活用力,情報過多で迷いやすい,知識を実践へ活かす,情報産業で活躍,知的刺激のある関係,88,知識|価値
DragonHead,Gemini,3,学び続ける配置,常に新しい知識を学び続けることで人生が広がります,学習能力,飽きやすい,継続して学ぶ,教育研究で活躍,会話が関係を深める,90,学習|発信
DragonHead,Gemini,4,家庭内の対話を育てる配置,家庭や身近な環境でのコミュニケーションが重要です,柔軟な理解力,本音を隠しやすい,言葉にする習慣,教育家庭分野で活躍,会話が安心を作る,88,家庭|対話
DragonHead,Gemini,5,知的な創造を楽しむ配置,言葉や知識を創造的に表現することが人生テーマです,知的創造力,集中力が続かない,好奇心を活かす,執筆や企画で活躍,会話が魅力になる,88,創造|知性
DragonHead,Gemini,6,情報を整理する配置,情報を整理し日常に役立てることが重要です,分析力,細部にこだわりすぎる,優先順位をつける,分析職で活躍,知的協力関係,88,分析|知識
DragonHead,Gemini,7,対話パートナー配置,対話を通して相互理解を深めるパートナー関係が人生テーマです,柔軟な対話力,相手に合わせすぎる,自分の意見も伝える,交渉教育分野活躍,知的刺激のある関係,88,対人|対話
DragonHead,Gemini,8,心理対話配置,深い心理や秘密を言葉にすることで人生が広がります,洞察的対話力,疑念を抱きやすい,信頼関係を育てる,心理研究分野活躍,深い会話関係,88,心理|対話
DragonHead,Gemini,9,知識探求配置,知識や思想を探求し言葉で伝えることがテーマです,知的探究心,表面的理解,深く学ぶ,教育研究分野活躍,知的関係,90,知識|探求
DragonHead,Gemini,10,知識社会配置,知識や情報を社会で広めることが人生テーマです,情報発信力,情報過多,整理意識,メディア教育分野活躍,社会的関係,90,社会|知識
