planet1,planet2,aspect,Aspect_Angle,Summary
SUN,MOON,conjunction,0,新月のタイミングです。目指すべき方向性（太陽）と内面的な感情（月）がぴったり重なり、迷いが晴れて新しい目標へ踏み出しやすい空気が広がります。過去の流れをリセットし、これから始めたいことの種まきや決意表明をするのに最適な時期です。
SUN,MOON,sextile,60,意志と気分が穏やかに調和し、物事がスムーズに運びやすいタイミングです。公の目標と私生活のリズムが自然に噛み合い、周囲との意思疎通や協力関係も円滑になります。気負わずに前向きな一歩を踏み出すのに適した心地よい流れが生まれます。
SUN,MOON,square,90,上弦または下弦の月の配置です。やるべきこと（太陽）と本音や感情（月）の間で摩擦やすれ違いが起こりやすく、焦りや葛藤を感じやすい空気感となります。無理に押し通すよりも、現状の課題を見直して軌道修正を図る調整期間として過ごすのが賢明です。
SUN,MOON,trine,120,意志と感情が心地よく調和する穏やかなタイミングです。肩の力を抜いて素直な気持ちで行動でき、自然体で周囲の共感や協力を得やすくなります。リラックスして過ごしながら、前向きな流れに身を任せるのに適した日です。
SUN,MOON,quincunx,150,目指す目標（太陽）と無意識の気分のムラ（月）が噛み合いにくく、細かな違和感や疲れを感じやすい時期です。自分のペースを崩さず、気分転換を取り入れながら無理のないスケジュール調整を意識することが大切です。
SUN,MOON,opposition,180,満月のタイミングです。これまで取り組んできたことの成果や課題が明確に表面化し、感情が高まりやすくなります。自分の本当の気持ちや人間関係のバランスを客観的に見つめ直し、感謝とともに手放しや完了を行うのに適しています。
SUN,MERCURY,conjunction,0,思考と意志がダイレクトにつながり、知的好奇心や発信力が高まる時期です。アイデアを言葉や文章にまとめたり、重要な連絡や交渉を行ったりするのに最適です。頭の回転が速くなるため、クリアな判断とスピーディな進行が期待できます。
SUN,MERCURY,sextile,60,頭の働きが冴え、コミュニケーションや情報収集が軽やかに進むタイミングです。人との対話から有益なヒントを得やすく、学習や実務処理もスムーズに運びます。フットワーク軽く知的好奇心を満たす行動がツキを呼びます。
SUN,MERCURY,square,90,意見の食い違いや思考の空回りが生じやすい配置です。主観的な思い込みや焦りから言葉がきつくなったり、連絡ミスが起こりやすくなります。一呼吸置いて冷静に事実を確認し、相手の言葉に丁寧に耳を傾ける配慮が求められます。
SUN,MERCURY,trine,120,明晰な思考力とスムーズな伝達力に恵まれる調和的な時期です。企画の立案、文章作成、交渉などが滞りなく進み、自分の意見が周囲にすんなり受け入れられやすくなります。効率的な段取りを組んで作業を進めるのに好機です。
SUN,MERCURY,quincunx,150,考えがまとまりにくかったり、言葉のニュアンスがうまく伝わらないもどかしさを感じやすい時期です。細かい表現や段取りの調整が必要になります。結論を急がず、細部の確認や分かりやすい説明を心がけることで余計な混乱を防げます。
SUN,MERCURY,opposition,180,対話や情報交換が活発になる一方で、意見の衝突や議論が白熱しやすいタイミングです。客観的な視点を取り入れることで思考が深まる好機でもあります。感情的にならず論点を整理し、お互いの立場を尊重した議論を心がけましょう。
SUN,VENUS,conjunction,0,社交性や美意識、愛情運が高まり、楽しいムードに包まれる華やかな時期です。魅力や自己表現がストレートに伝わりやすく、人との交流やデート、創作活動、ショッピングなどに最適です。自分をご機嫌にする過ごし方が幸運を引き寄せます。
SUN,VENUS,sextile,60,親しみやすさと調和的な空気が広がり、対人関係がスムーズに進展しやすいタイミングです。好意や感謝の気持ちが素直に伝わり、新しい出会いや趣味の楽しみに恵まれます。心地よいコミュニケーションを意識すると良い流れに乗れます。
SUN,VENUS,square,90,楽しさや快楽を優先したくなり、自己規律が緩みやすい時期です。衝動買いや甘え、対人関係でのわがままに注意が必要です。相手への配慮を忘れず、節度を持った楽しみ方を心がけることで良好な関係を保てます。
SUN,VENUS,trine,120,魅力や自己表現力が自然に輝き、優雅で穏やかな幸運に恵まれる時期です。恋愛、芸術、社交、レジャーなど全般において喜びに満ちた時間が期待できます。肩の力を抜いて素直な喜びを表現することがさらなる好循環を生みます。
SUN,VENUS,quincunx,150,相手の好みに合わせすぎて疲れてしまったり、自分の楽しみと義務のバランスが崩れやすい時期です。細かな妥協や調整が必要になります。無理に周囲に合わせようとせず、自分にとって本当に心地よい距離感を見極めることが大切です。
SUN,VENUS,opposition,180,人間関係や愛情面での欲求が強く刺激されるタイミングです。他者からの評価や注目を求めすぎるあまり過度な出費や摩擦が生じることもあります。客観的なバランス感覚を意識し、お互いを尊重し合える関係作りを目指しましょう。
SUN,MARS,conjunction,0,情熱と行動力、バイタリティが最大限に高まるエネルギッシュな時期です。目標に向かって一気に勝負を仕掛けたり、停滞していた物事を力強く突破するのに最適です。衝動的な衝突には注意し、建設的な挑戦へエネルギーを注ぎましょう。
SUN,MARS,sextile,60,意欲と実行力が程よく噛み合い、前向きに物事を推進できるタイミングです。勇気を持った決断やスポーツ、新しい作業のスタートがスムーズに運びます。自信を持ってスピーディに行動を起こすことで確かな手応えを得られます。
SUN,MARS,square,90,焦りや攻撃性、衝動的な怒りが高まりやすい摩擦の多い時期です。自己主張が強くなりすぎて周囲と衝突したり、無謀な行動でミスを招く恐れがあります。深呼吸して冷静さを取り戻し、スポーツなどでエネルギーを発散するのが効果的です。
SUN,MARS,trine,120,強い意志と行動力がスムーズに発揮され、大きな成果を上げやすい好調期です。リーダーシップを発揮して周囲を引っ張ったり、困難な課題を克服する推進力に恵まれます。前向きな情熱を行動に変えていくことで道が大きく開けます。
