Template_ID,Year_ID,Section_Order,Planet,Event_Type,Transit_Sign_From,Transit_Sign_To,Solar_House_From,Solar_House_To,Natal_House_From,Natal_House_To,Natal_House_At_Event,Date_Source,Date_Key,Date_Precision,Paragraph_Template,Priority,Active_Flag
2026_ARIES_NEPTUNE_ARIES_N01,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,1,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星があなた自身の星座である牡羊座へ入り、ネイタル第1ハウスを刺激します。これまでの枠組みにとらわれない新しい理想やインスピレーションが心の奥から湧き上がる時期です。周囲の期待に合わせるよりも、自分が本当に大切にしたい感性を信じることで、生き生きとした存在感が立ち上がります。,100,1
2026_ARIES_NEPTUNE_ARIES_N02,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,2,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ移行し、あなたのネイタル第2ハウスのテーマを刺激します。物質的な損得や目先の収入だけでなく、心から誇りを持てる才能や活動へ価値観がシフトしていきます。自らの感性や創造的な資質を信じてじっくりと磨くことが、将来の精神的・経済的な豊かさへと繋がります。,100,1
2026_ARIES_NEPTUNE_ARIES_N03,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,3,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ入り、あなたのネイタル第3ハウスにおける対話や学びに深い感性をもたらします。論理や理屈だけでは届かない、心を通わせる言葉選びや直感的な学びに関心が向かう時期です。身近な人々との対話を丁寧に重ねることで、言葉を超えた温かな信頼関係が育まれます。,100,1
2026_ARIES_NEPTUNE_ARIES_N04,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,4,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ移行し、あなたのネイタル第4ハウスである家庭や心の拠り所を包み込みます。生活環境や身近な人間関係において、無理な緊張を解きほぐし、心から安心できる空間を整える好機です。過去のわだかまりを優しく手放すことで、私生活に穏やかな調和が戻ってきます。,100,1
2026_ARIES_NEPTUNE_ARIES_N05,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,5,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ入り、あなたのネイタル第5ハウスが司る創作意欲や趣味の情熱を大きく解き放ちます。心から純粋に楽しめる活動や独自の自己表現に没頭できる実り豊かな時期です。周囲の評価を気にせず自らの感性を素直に表現することが、毎日の生活に輝きと生きがいをもたらします。,100,1
2026_ARIES_NEPTUNE_ARIES_N06,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,6,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ移行し、あなたのネイタル第6ハウスである日々の実務や健康の領域に変化を促します。過剰な責任感や義務感から来る疲弊を見直し、心と身体の声に耳を傾けるべきタイミングです。身体に負担をかけない優しい生活リズムを整えることで、持続可能な元気が保たれます。,100,1
2026_ARIES_NEPTUNE_ARIES_N07,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,7,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ入り、あなたのネイタル第7ハウスの対人関係に新たな理想をもたらします。表面的な利害関係を超えて、心から共感し合える相手との出会いや絆の深まりが期待できる時期です。相手への過度な幻想を避け、お互いの弱さも優しく認め合うことで、温かい協力関係が育ちます。,100,1
2026_ARIES_NEPTUNE_ARIES_N08,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,8,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ移行し、あなたのネイタル第8ハウスが司る深い絆や共有のテーマに作用します。心理的なこだわりや一人で抱えていたプレッシャーを手放し、他者との間で柔軟な助け合いを生み出す好機です。素直に心を開くことで、深い信頼と精神的な安心感を受け取ることができます。,100,1
2026_ARIES_NEPTUNE_ARIES_N09,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,9,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ入り、あなたのネイタル第9ハウスにおける精神的な探求や人生観を大きく広げます。目先の現実にとらわれず、高い理念や哲学、未知の知見に触れることで、人生の視野が豊かに刷新される時期です。広い世界へ向けて好奇心の翼を広げることが、進むべき道を明るく照らします。,100,1
2026_ARIES_NEPTUNE_ARIES_N10,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,10,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ移行し、あなたのネイタル第10ハウスであるキャリアや社会的な目標に新たな夢とビジョンを吹き込みます。単なる義務や地位のためではなく、本当に人の役に立つ理念ある仕事を目指したくなる時期です。自らの信念に誠実に向き合うことが、長期的な信頼へと繋がります。,100,1
2026_ARIES_NEPTUNE_ARIES_N11,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,11,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ入り、あなたのネイタル第11ハウスである交友関係や未来のビジョンを温かく照らします。同じ理想や夢を分かち合える仲間との自然な結びつきが生まれる実り多き時期です。肩書きにとらわれずフラットに共感し合うことで、未来へ向かう心強い連帯が築かれます。,100,1
2026_ARIES_NEPTUNE_ARIES_N12,2026,10,NEPTUNE,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,12,transit_calendar,NEPTUNE:sign_ingress:ARIES,exact_day,{event_date}頃、海王星が牡羊座へ移行し、あなたのネイタル第12ハウスである内面の世界に深い安らぎと浄化をもたらします。過去の失敗への悔いや目に見えない不安が静かに溶けていき、心の中に澄み切った静けさが戻ってきます。一人の時間を大切にし、内なる直感に耳を傾けることが活力を養います。,100,1
2026_ARIES_SATURN_ARIES_N01,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,1,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ入り、あなたのネイタル第1ハウスで新たな人生サイクルの土台作りが始まります。自分自身の生き方や姿勢に責任を持ち、ブレない軸を確立していく大切な時期です。地道な努力を積み重ねることで、周囲からも一目置かれる確固たる自己信頼が静かに立ち上がります。,100,1
2026_ARIES_SATURN_ARIES_N02,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,2,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ移行し、あなたのネイタル第2ハウスの経済基盤や才能の現実に光を当てます。手元の資産や収支を丁寧に見直し、長期的に役立つ本物のスキルを磨くべき時期です。派手な消費や焦りを控え、身の丈に合った堅実な生活設計を定着させることが将来の大きな安心を生みます。,100,1
2026_ARIES_SATURN_ARIES_N03,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,3,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ入り、あなたのネイタル第3ハウスにおける学びや対話に規律をもたらします。雑多な情報を整理し、本当に身につけるべき専門知識や誠実な言葉遣いを重んじる時期です。身近な人々との対話を丁寧に重ね、事実に基づいたやり取りを心がけることで確かな信頼が育ちます。,100,1
2026_ARIES_SATURN_ARIES_N04,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,4,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ移行し、あなたのネイタル第4ハウスである家庭や住まいの基盤をじっくりと再構築します。生活空間を使いやすく整えたり、家族との役割分担を明確にすることで、生活の地盤が固まります。プライベートの安心感を整えることが、外の世界で挑戦するための何よりの力となります。,100,1
2026_ARIES_SATURN_ARIES_N05,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,5,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ入り、あなたのネイタル第5ハウスが司る創作意欲や自己表現に責任ある形を与えます。一過性の思いつきで終わらせず、手間と時間をかけて作品や趣味を丁寧に作り込む時期です。好きなことに真摯に向き合う姿勢が、周囲からの確固たる評価と実績へと結実していきます。,100,1
2026_ARIES_SATURN_ARIES_N06,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,6,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ移行し、あなたのネイタル第6ハウスである日々の実務や働き方に健全な規律をもたらします。過剰なタスクの抱え込みをやめ、作業手順を効率化して心身のゆとりを確保する好機です。睡眠や食事を大切にし、無理のない生活リズムを確立することが安定した成果を支えます。,100,1
2026_ARIES_SATURN_ARIES_N07,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,7,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ入り、あなたのネイタル第7ハウスの一対一の人間関係やパートナーシップに対等な規律を求めます。相手への過度な依存や遠慮を排し、お互いの境界線を尊重し合える関係を築く時期です。大切な約束事を率直に確認し合うことで、生涯を通じて頼れる強固な絆が確立されます。,100,1
2026_ARIES_SATURN_ARIES_N08,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,8,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ移行し、あなたのネイタル第8ハウスが司る共有資産や深い絆の整理を促します。曖昧になっていた金銭の取り決めや義務感を一つずつ見直し、透明性の高いルールを定めていく時期です。誠実に責任に向き合うことで、精神的にも物質的にも揺るぎない土台が築かれます。,100,1
2026_ARIES_SATURN_ARIES_N09,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,9,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ入り、あなたのネイタル第9ハウスにおける専門的な探求や人生観の体系化を後押しします。興味を広げるだけでなく、一つの専門分野や資格の習得に腰を据えて取り組むべき時期です。高い理念を日々の行動指針として定着させることが、将来の確かな羅針盤となります。,100,1
2026_ARIES_SATURN_ARIES_N10,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,10,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ移行し、あなたのネイタル第10ハウスであるキャリアや社会的立場に確固たる責任と実績を求めます。目先の評価に惑わされず、任された職責に誠実に向き合い続けることで、揺るぎない社会的信用が確立されます。誇りを持って役割を全うすることが飛躍の土台となります。,100,1
2026_ARIES_SATURN_ARIES_N11,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,11,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ入り、あなたのネイタル第11ハウスの交友関係やコミュニティに選別の風を吹き込みます。表面的な付き合いを整理し、同じ志を持つ真の仲間との結びつきを深める時期です。現実的な共通目標に向けて着実に協力し合うことが、未来を支える心強い連帯となります。,100,1
2026_ARIES_SATURN_ARIES_N12,2026,10,SATURN,sign_ingress,PISCES,ARIES,ANY,ANY,ANY,ANY,12,transit_calendar,SATURN:sign_ingress:ARIES,exact_day,{event_date}頃、土星が牡羊座へ移行し、あなたのネイタル第12ハウスである内面の世界に過去の総括と浄化を促します。目に見える成果を急がず、長年抱えてきた心の中の不安や執着を静かに手放す時間です。一人の時間を慈しみ、内面を整えることが、やがて訪れる新たなスタートの確かな準備となります。,100,1
2026_ARIES_URANUS_GEMINI_N01,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,1,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ入り、あなたのネイタル第1ハウスに新鮮な知性と軽やかな変革をもたらします。古い固定観念にとらわれず、新しい発想で自分らしい生き方を表現できる好機です。自らの好奇心と直感を信じて行動することで、新しい時代にふさわしい独自の魅力が輝き出します。,100,1
2026_ARIES_URANUS_GEMINI_N02,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,2,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ移行し、あなたのネイタル第2ハウスの才能や経済基盤にアップデートを促します。最新のツールや新しい知識を取り入れることで、自らのスキルを新たな収入の道へと結びつけやすくなります。柔軟に稼ぎ方の可能性を広げることが、確かな経済的自立へと繋がります。,100,1
2026_ARIES_URANUS_GEMINI_N03,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,3,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ入り、あなたのネイタル第3ハウスにおける学びやコミュニケーションを一気に活性化させます。関心のあるテーマを素早く吸収し、独自の視点を交えて軽やかに発信できる実り豊かな時期です。フットワーク軽く人脈を広げることで、日常の視界が大きく開けていきます。,100,1
2026_ARIES_URANUS_GEMINI_N04,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,4,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ移行し、あなたのネイタル第4ハウスである住まいや私生活に心地よい変化を運びます。従来の暮らし方に縛られず、便利でスマートな工夫を取り入れて住環境を快適に整えられる好期です。私生活の自由度を高めることが、外での挑戦を支える活力の源泉となります。,100,1
2026_ARIES_URANUS_GEMINI_N05,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,5,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ入り、あなたのネイタル第5ハウスが司る創作意欲や趣味の舞台を刺激します。独自のアイデアやユニークな表現を伸び伸びと形にしていける実り豊かな時期です。周囲の目を気にせず心からワクワクする活動に打ち込むことで、日常に大きな喜びと充実感が満ちていきます。,100,1
2026_ARIES_URANUS_GEMINI_N06,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,6,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ移行し、あなたのネイタル第6ハウスである日々の実務や働き方に効率化の機会をもたらします。古い手順や無駄を思い切って手放し、新しいやり方を導入して作業環境をスマートに改善できる好機です。心身にゆとりを持たせる工夫が、持続可能な活力を支えます。,100,1
2026_ARIES_URANUS_GEMINI_N07,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,7,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ入り、あなたのネイタル第7ハウスの対人関係に刺激的な出会いと新鮮な風を呼び込みます。お互いの個性と自立を尊重し合える、風通しの良い人間関係が広がる時期です。異なる分野の人々と積極的に対話を交わすことで、人生の視野が大きく広がっていきます。,100,1
2026_ARIES_URANUS_GEMINI_N08,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,8,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ移行し、あなたのネイタル第8ハウスが司る深い人間関係や共有のテーマに解放感をもたらします。一人で抱え込んでいた心理的な重荷を手放し、他者と柔軟に知恵や資源を分かち合える時期です。素直に心を開くことで、より自由で強固な絆が育まれていきます。,100,1
2026_ARIES_URANUS_GEMINI_N09,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,9,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ入り、あなたのネイタル第9ハウスにおける高度な学びや探求心を力強く後押しします。常識の枠を飛び越え、新しい専門知識や先進的な思想に触れることで人生観が大きく刷新されます。広い視野を持って未来を探求する姿勢が、人生の可能性を豊かに広げます。,100,1
2026_ARIES_URANUS_GEMINI_N10,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,10,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ移行し、あなたのネイタル第10ハウスであるキャリアや社会的立場に革新的な好機を運びます。柔軟な発想で時代の先を見据えた提案を行い、周囲をリードしていける時期です。従来の枠にとらわれない自由な働き方を目指すことが、活躍の場を一段と大きく広げます。,100,1
2026_ARIES_URANUS_GEMINI_N11,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,11,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ入り、あなたのネイタル第11ハウスである交友関係やネットワークを活気づけます。年齢や肩書きを越えて、未来のビジョンを分かち合える仲間との出会いに恵まれる時期です。自由な意見交換を通じてお互いを刺激し合うことで、新しい挑戦の道が拓けます。,100,1
2026_ARIES_URANUS_GEMINI_N12,2026,20,URANUS,sign_ingress,TAURUS,GEMINI,ANY,ANY,ANY,ANY,12,transit_calendar,URANUS:sign_ingress:GEMINI,exact_day,{event_date}頃、天王星が双子座へ移行し、あなたのネイタル第12ハウスである無意識や内面の世界に豊かなインスピレーションを注ぎ込みます。過去のこだわりがすっきりと洗い流され、心の中に澄み切った静けさが戻ってきます。内なる直感を信じて心を整えることが、これからの行動を支えます。,100,1
2026_ARIES_JUPITER_LEO_N01,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,1,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ入り、あなたのネイタル第1ハウスに溢れる自信と発展の光を注ぎ込みます。自らの個性や才能を堂々と発揮し、新しい舞台へ力強く踏み出していける華やかな時期です。情熱を持って前向きに行動することで、周囲からも温かい称賛と応援が集まり、運気が大きく開けます。,100,1
2026_ARIES_JUPITER_LEO_N02,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,2,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ移行し、あなたのネイタル第2ハウスの才能や経済基盤に豊かな実りをもたらします。培ってきた実力が正当に評価され、収入の拡大や安定した基盤作りが進む好機です。手元の資産を賢く活用し、自らの価値に誇りを持つことが、さらなる豊かさとゆとりを引き寄せます。,100,1
2026_ARIES_JUPITER_LEO_N03,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,3,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ入り、あなたのネイタル第3ハウスにおける学びや発信に温かな活気をもたらします。知的好奇心に導かれて学びを深めたり、自らの思いを熱意を込めて発信することで、素晴らしい反響が得られる時期です。身近な人々との対話を重ねることで、豊かな人脈が心地よく広がります。,100,1
2026_ARIES_JUPITER_LEO_N04,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,4,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ移行し、あなたのネイタル第4ハウスである家庭や心の拠り所に温かな安定感をもたらします。住まいを心地よく整えたり、家族や身近な大切な人々と喜びを分かち合える充実した時期です。プライベートの安心感を深めることが、外での挑戦を支える何よりの活力となります。,100,1
2026_ARIES_JUPITER_LEO_N05,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,5,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ入り、あなたのネイタル第5ハウスが司る創作意欲や喜びの舞台を最高の輝きで照らします。心から情熱を注げる趣味や自己表現において、素晴らしい実績や称賛を手にできる絶好の好期です。楽しむ気持ちを大切に自らの魅力を発揮することが、日常を豊かな彩りで満たします。,100,1
2026_ARIES_JUPITER_LEO_N06,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,6,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ移行し、あなたのネイタル第6ハウスである日々の実務や働き方に大きなやりがいをもたらします。職場の環境が改善され、業務の手順を工夫することで安定した成果を上げられる時期です。心身のコンディションを整え、意欲的に仕事に取り組むことが周囲からの信頼を深めます。,100,1
2026_ARIES_JUPITER_LEO_N07,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,7,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ入り、あなたのネイタル第7ハウスの対人関係やパートナーシップに豊かな恩恵を運びます。公私にわたって頼もしい協力者や素晴らしい理解者に恵まれ、関係が温かく発展する時期です。相手の長所を認め誠実に向き合う姿勢が、生涯にわたる深い信頼関係を育みます。,100,1
2026_ARIES_JUPITER_LEO_N08,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,8,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ移行し、あなたのネイタル第8ハウスが司る深い絆や共有財産に実りをもたらします。大切な人から貴重な知恵やサポートを受け取る機会に恵まれ、絆が一層深まる時期です。任された責任に誠実に応え、互いに助け合うことで、精神的にも物質的にも大きな豊かさが築かれます。,100,1
2026_ARIES_JUPITER_LEO_N09,2026,30,JUPITER,sign_ingress,CANCER,LEO,ANY,ANY,ANY,ANY,9,transit_calendar,JUPITER:sign_ingress:LEO,exact_day,{event_date}頃、木星が獅子座へ入り、あなたのネイタル第9ハウスにおける専門的な探求や自己成長の意欲を最高潮へ高めます。高度な学びや資格取得、未知の領域への挑戦において、努力が確かな成果へと結実する時期です。高い志を掲げて前進する姿勢が、人生の視野を大きく広げてくれます。,100,1
