Event_Type,Target_Planet,Condition,General_Instruction,Work_Efficiency_Modifier,Love_Vibe_Modifier,Safety_Level,Icon_Type,Impact_Duration
RETROGRADE,MERCURY,START,通信トラブルや連絡ミスが発生しやすい時期の始まりです。重要な契約や送信前の確認を徹底してください,-20,-5,LOW,WARNING,3weeks
RETROGRADE,MERCURY,END,思考の混乱や情報の滞りが解消へ向かいます。保留にしていた案件を再始動させる好機です,20,5,HIGH,CHECK_CIRCLE,3days
RETROGRADE,VENUS,START,愛情面での誤解や金銭感覚の狂いが生じやすい時期です。大きな買い物や告白は慎重に検討してください,-5,-20,MEDIUM,HEART_OFF,6weeks
RETROGRADE,MARS,START,エネルギーが空回りしやすく怒りっぽくなる傾向があります。無理な進軍は避け現状維持に努めてください,-30,-10,LOW,SWORD_OFF,10weeks
RETROGRADE,JUPITER,START,楽観視しすぎて計画が肥大化しやすい時期です。内省を通じて本質的な成長を促す準備をしてください,-5,-5,HIGH,GROWTH_OFF,4months
RETROGRADE,SATURN,START,社会的な責任や制限が重く感じられる時期です。過去の課題を再構築するための忍耐が求められます,-15,-5,MEDIUM,SHIELD_OFF,5months
VOID_TIME,MOON,START,重要な決断や新しい契約は避けるべき時間帯です。ルーチンワークや休息に充てるのが最も効率的です,-50,0,LOW,CLOCK_OFF,12hours
NEW_MOON,MOON,PHASE,新しい種まきの時期です。理想を掲げ新しい習慣やプロジェクトを開始するのに最適なエネルギーが満ちています,10,10,HIGH,MOON_NEW,1day
FULL_MOON,MOON,PHASE,物事が満了し結果が出る時期です。感情が高ぶりやすいため感謝と共に不要なものを手放す調整を行ってください,0,15,MEDIUM,MOON_FULL,1day
MOON_SIGN,MOON,ARIES,スピード感と直感が冴える日です。考えるよりも先に動くことで新しい突破口が見えてきます,15,5,HIGH,FIRE,2days
MOON_SIGN,MOON,TAURUS,五感が鋭くなり安定を求める日です。地道な作業や美味しい食事を楽しむことで活力が湧いてきます,10,10,HIGH,EARTH,2days
MOON_SIGN,MOON,GEMINI,情報の流通が活発になり好奇心が刺激される日です。軽いフットワークでの情報交換が成功の鍵です,20,5,HIGH,AIR,2days
MOON_SIGN,MOON,CANCER,感受性が豊かになり身近な人との絆を大切にしたくなる日です。家での時間を充実させてください,0,15,MEDIUM,WATER,2days
MOON_SIGN,MOON,LEO,自己表現欲求が高まり華やかな場にツキがある日です。自信を持って自分の意見を打ち出してください,15,15,HIGH,SUN,2days
MOON_SIGN,MOON,VIRGO,分析力と実務能力が極限まで高まる日です。細かい事務作業や整理整頓を完璧にこなせます,25,0,HIGH,LIST,2days
