angle,sign,house,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ,要約,解釈文
ASC,Aries,-,主体性による自己表現,牡羊座の性質で自己表現の入口が形成され主体的な印象を与えやすい,行動力 主体性 率直さ,衝動性 短気 自己中心,率直でエネルギッシュな印象を与える,自ら道を切り開く役割を担いやすい,衝動よりも意図的な行動を意識する,自発性と勢いが前に出やすい第一印象。,自分の意思や行動力が前面に出やすく即断即行型の印象を与えやすい
ASC,Taurus,-,安定による自己表現,牡牛座の性質で自己表現の入口が形成され落ち着いた印象を与えやすい,安定感 忍耐力 信頼感,頑固 固執 変化抵抗,穏やかで安心感のある印象を与える,安定した環境で力を発揮しやすい,柔軟な視点を取り入れる,落ち着きと安定感が伝わりやすい第一印象。,落ち着いた態度と安定感が伝わり安心して任せられる印象を与えやすい
ASC,Gemini,-,知性による自己表現,双子座の性質で自己表現の入口が形成され軽快で知的な印象を与えやすい,知的好奇心 会話力 柔軟性,散漫 軽率 表面的,会話が弾みやすい印象を与える,情報発信や交流で力を発揮しやすい,一つのことを深める意識を持つ,軽快さと反応の速さが目立ちやすい第一印象。,言葉や反応の速さが際立ち会話がしやすい知的な印象を与えやすい
ASC,Cancer,-,共感による自己表現,蟹座の性質で自己表現の入口が形成され親しみやすい印象を与えやすい,共感力 包容力 親しみやすさ,感情過多 防衛的 依存,安心感を与える印象を持たれやすい,人を支える役割で力を発揮しやすい,感情と距離を取る視点を持つ,親しみやすさと受容性がにじみやすい第一印象。,柔らかな受け止め方と共感的な態度で安心感を与える印象になりやすい
ASC,Leo,-,自己表現による自己確立,獅子座の性質で自己表現の入口が形成され存在感のある印象を与えやすい,存在感 表現力 自信,自己顕示 見栄 プライド過多,華やかで印象に残りやすい,人前で表現する場で力を発揮しやすい,周囲への配慮を意識する,華やかさと存在感が自然に出やすい第一印象。,存在感と自己表現の強さが前に出て場の中心に立つ印象を与えやすい
ASC,Virgo,-,分析による自己表現,乙女座の性質で自己表現の入口が形成され誠実で整った印象を与えやすい,分析力 誠実さ 実務力,神経質 批判的 完璧主義,丁寧で落ち着いた印象を与える,実務や調整役で力を発揮しやすい,完璧を求めすぎない,誠実さと丁寧さが伝わりやすい第一印象。,整った所作と細部への配慮が伝わり丁寧で信頼できる印象を与えやすい
ASC,Libra,-,調和による自己表現,天秤座の性質で自己表現の入口が形成されバランスの良い印象を与えやすい,社交性 調整力 美意識,優柔不断 迎合 他者依存,柔らかく上品な印象を与える,対人関係の調整役で力を発揮しやすい,自分の意思を明確にする,柔らかさと調和性が感じられやすい第一印象。,調和的な振る舞いと対人バランスの良さで柔らかく社交的な印象を与えやすい
ASC,Scorpio,-,深さによる自己表現,蠍座の性質で自己表現の入口が形成され神秘的な印象を与えやすい,洞察力 集中力 深さ,執着 警戒心 極端さ,静かだが強い印象を与える,研究や集中を要する分野で力を発揮しやすい,手放す感覚を学ぶ,深さと静かな圧が残りやすい第一印象。,視線や雰囲気に深さがあり簡単に本心を見せない印象を与えやすい
ASC,Sagittarius,-,探求による自己表現,射手座の性質で自己表現の入口が形成され開放的な印象を与えやすい,行動力 探究心 前向きさ,軽率 楽観過多 大雑把,明るく開放的な印象を与える,挑戦や探求の分野で力を発揮しやすい,計画性を意識する,開放感と前向きさが広がりやすい第一印象。,自由さと前向きさが前に出て開放的で行動的な印象を与えやすい
ASC,Capricorn,-,責任による自己表現,山羊座の性質で自己表現の入口が形成され落ち着いた印象を与えやすい,責任感 忍耐力 実行力,硬さ 悲観 慎重過多,信頼感のある印象を与える,社会的役割の中で力を発揮しやすい,柔軟性を持つ,落ち着きと信頼感を持たれやすい第一印象。,落ち着いた態度と責任感が伝わり堅実で信頼できる印象を与えやすい
ASC,Aquarius,-,革新による自己表現,水瓶座の性質で自己表現の入口が形成され独自性のある印象を与えやすい,独創性 客観性 自由さ,反発心 距離感 極端さ,個性的で印象に残りやすい,新しい分野で力を発揮しやすい,協調性を意識する,独自性と距離感が印象に残りやすい第一印象。,独自の視点や距離感が際立ち個性的で型にはまらない印象を与えやすい
ASC,Pisces,-,感受性による自己表現,魚座の性質で自己表現の入口が形成され柔らかな印象を与えやすい,共感力 想像力 包容力,曖昧さ 依存 逃避,優しく受容的な印象を与える,癒しや芸術分野で力を発揮しやすい,境界を意識する,柔らかさと共感性がにじみやすい第一印象。,共感的で境界の柔らかい雰囲気があり優しく包み込む印象を与えやすい
MC,Aries,-,主体性による社会的使命,牡羊座の性質で社会的役割が形成され開拓的な役割を担いやすい,行動力 開拓力 主導力,独断 衝動 強引さ,率直で行動的な印象を与える,新しい分野を切り開く仕事で力を発揮しやすい,衝動よりも戦略を持つ,先頭に立って切り開く領域に向かいやすい社会的方向性。,新規立ち上げや意思決定の現場で主体的に動きながら道を切り開く役割を担いやすい
MC,Taurus,-,安定による社会的使命,牡牛座の性質で社会的役割が形成され安定した成果を築きやすい,安定感 忍耐力 継続力,固執 保守性 変化抵抗,落ち着いた印象を与える,資産や継続性を要する仕事で力を発揮しやすい,変化への柔軟性を持つ,価値を安定して育てる領域に向かいやすい社会的方向性。,継続的な運用や資産形成の領域で安定した成果を積み上げる役割を担いやすい
MC,Gemini,-,知性による社会的使命,双子座の性質で社会的役割が形成され情報発信で力を発揮しやすい,会話力 柔軟性 情報力,散漫 軽率 表面的,知的で軽快な印象を与える,情報や言葉を扱う仕事で力を発揮しやすい,専門性を深める,知識や情報を扱い広げる領域に向かいやすい社会的方向性。,情報発信や編集教育など言葉と知識を扱う領域で機能する役割を担いやすい
MC,Cancer,-,共感による社会的使命,蟹座の性質で社会的役割が形成され人を守る役割を担いやすい,共感力 包容力 守護力,感情過多 防衛的 依存,安心感のある印象を与える,福祉や支援分野で力を発揮しやすい,感情と距離を取る,人を支え守り育てる領域に向かいやすい社会的方向性。,支援福祉教育など人を守り育てる領域で関係性を支える役割を担いやすい
MC,Leo,-,表現による社会的使命,獅子座の性質で社会的役割が形成され中心的存在になりやすい,表現力 カリスマ性 自信,自己顕示 見栄 傲慢,華やかな印象を与える,表現やリーダーの役割で力を発揮しやすい,周囲への配慮を忘れない,表現力や存在感を社会で活かす領域に向かいやすい社会的方向性。,表現企画リーダー業務など人前に立ち影響力を発揮する役割を担いやすい
MC,Virgo,-,実務による社会的使命,乙女座の性質で社会的役割が形成され実務で社会を支えやすい,分析力 実務力 誠実さ,神経質 批判 完璧主義,丁寧で信頼される印象を与える,調整や実務分野で力を発揮しやすい,完璧主義を緩める,実務や改善を通して精度を高める領域に向かいやすい社会的方向性。,業務改善品質管理分析など現場を整え精度を上げる役割を担いやすい
MC,Libra,-,調和による社会的使命,天秤座の性質で社会的役割が形成され人と人を繋ぐ役割を担いやすい,社交性 調整力 美意識,優柔不断 迎合 他者依存,柔らかく社交的な印象を与える,対人関係や交渉分野で力を発揮しやすい,意思決定力を鍛える,関係調整や合意形成を担う領域に向かいやすい社会的方向性。,調整交渉仲介など関係性を整え合意形成を進める役割を担いやすい
MC,Scorpio,-,変容による社会的使命,蠍座の性質で社会的役割が形成され深い変化を扱いやすい,洞察力 集中力 再生力,執着 極端 支配欲,強い存在感を与える,研究や変革分野で力を発揮しやすい,手放す視点を学ぶ,変化や再構築の深い局面を扱う領域に向かいやすい社会的方向性。,金融再生危機対応など深い変化や資源の再配分を扱う役割を担いやすい
MC,Sagittarius,-,探求による社会的使命,射手座の性質で社会的役割が形成され思想や探求を広げやすい,探究心 行動力 視野の広さ,軽率 楽観過多 大雑把,開放的な印象を与える,教育や海外分野で力を発揮しやすい,計画性を持つ,教育・出版・海外・知識探求領域に向かいやすい社会的方向性。,教育出版研修海外領域など知識を体系化し広く伝える役割を担いやすい
MC,Capricorn,-,達成による社会的使命,山羊座の性質で社会的役割が形成され責任ある立場を担いやすい,責任感 忍耐力 実行力,硬直 悲観 過度な責任感,信頼感のある印象を与える,組織や社会的役割で力を発揮しやすい,柔軟な視点を持つ,責任と成果を積み上げる領域に向かいやすい社会的方向性。,組織運営管理責任領域で成果と地位を積み上げる役割を担いやすい
