planet,motion,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ,要約,解釈文
Mercury,順行,思考の外向化,思考や判断や言語化が比較的そのまま外に出やすく、考えを伝えたり処理したりしやすい状態,判断力 伝達力 処理力,考えを急ぎやすい 言いすぎや早合点,考えを率直に伝えやすい,情報処理や連絡調整で力を発揮しやすい,話す前に一度整理する,思考が外に表れやすい状態,順行しているため、思考や判断は比較的そのまま外に出やすく、考えたことを言葉や行動に移しやすい傾向があります。処理力や伝達力として活きやすい反面、急ぎすぎず整理して伝えることが大切です。
Mercury,逆行,思考の内的熟成,思考や判断が内側で熟成されやすく、振り返りや再解釈を通して理解が深まりやすい状態,再考力 洞察力 見直し力,考えすぎる 伝達に時間がかかる 結論が遅れやすい,すぐに断言せず慎重に言葉を選びやすい,見直しや検証や再設計で強みが出やすい,考えを溜め込みすぎず段階的に出す,思考を内側で深めやすい状態,逆行しているため、思考や判断は内側で熟成されやすく、振り返りや再解釈を通して理解を深めながら外に表れるまで少し時間がかかることがあります。見直しや検証には強みがありますが、考えすぎてタイミングを逃さないことが大切です。
Venus,順行,愛情と価値観の外向化,愛情や美意識や価値観が比較的そのまま外に表れやすく、好意や魅力が伝わりやすい状態,魅力 親和力 表現の素直さ,迎合しやすい 好き嫌いが表に出やすい,好意や心地よさをわかりやすく示しやすい,人間関係や美意識を活かす場で力が出やすい,心地よさと境界の両方を意識する,愛情や価値観が外に表れやすい状態,順行しているため、愛情や価値観は比較的そのまま外に表れやすく、好意や魅力が自然に伝わりやすい傾向があります。親和力として活きやすい反面、相手に合わせすぎず自分の感覚も大切にすることが重要です。
Venus,逆行,愛情と価値観の再評価,愛情や美意識や価値観が内側で再評価されやすく、何を心地よいと感じるかを見直しやすい状態,審美眼 内面理解 価値観の精緻化,気持ちを外に出しにくい 迷いやすい,好意を慎重に示し距離感を見極めやすい,対人や創作で自分の美意識を練り直しやすい,本音の好みを言葉にする,愛情や価値観を見直しやすい状態,逆行しているため、愛情や価値観は内側で見直されやすく、自分にとって本当に大切なものを再確認していく傾向があります。審美眼や深い納得感につながる反面、迷いを抱えたままにせず本音を少しずつ外に出すことが大切です。
Mars,順行,行動力の外向化,行動力や闘争心や意思が比較的そのまま外に出やすく、動きながら方向性を作りやすい状態,実行力 反応速度 推進力,衝動性 焦り 攻撃性,率直で行動的な印象を与えやすい,突破力や決断力を発揮しやすい,怒りと意志を切り分ける,行動力が外に表れやすい状態,順行しているため、行動力や意志は比較的そのまま外に出やすく、考えるより先に動くことで流れを作りやすい傾向があります。推進力として活かしやすい反面、衝動や焦りを整えることが重要です。
Mars,逆行,行動力の内面化,行動力や怒りや意思が内側で熟成されやすく、外に出るまでに葛藤や再調整を経やすい状態,忍耐 再調整 深い意志,行動が止まりやすい 怒りを溜め込みやすい,強く見せずとも内面には強い意志を持ちやすい,表に出る前に戦略を練り直しやすい,怒りを抑圧せず建設的に扱う,行動力を内側で練りやすい状態,逆行しているため、行動力や意志は内側で熟成されやすく、動く前に葛藤や再調整を挟みながら深められていく傾向があります。粘り強さにつながる反面、怒りや不満を溜め込みすぎず健全な形で外に流すことが大切です。
Jupiter,順行,成長と拡大の外向化,成長や拡大や信念が比較的そのまま外へ広がりやすく、可能性を伸ばしやすい状態,発展性 包容力 楽観性,拡大しすぎる 見通しが甘くなる,前向きで人を励ましやすい,挑戦や発信や教育で可能性を広げやすい,広げる前に軸を確認する,成長や信念が外に広がりやすい状態,順行しているため、成長や信念のテーマは比較的そのまま外へ広がりやすく、挑戦や発信を通して可能性を伸ばしやすい傾向があります。発展性として活きやすい反面、拡大しすぎて足元を見失わないことが大切です。
Jupiter,逆行,信念と成長観の再構築,成長や信念が内側で再構築されやすく、自分なりの価値観や哲学を深めやすい状態,哲学性 内省 深い納得感,外向きの拡大が遅れる 理想を内側で抱え込みやすい,軽々しく語らず自分の信念を吟味しやすい,外に広げる前に理念や方針を固めやすい,内面の信念を現実の挑戦にもつなげる,信念や成長観を内側で育てやすい状態,逆行しているため、成長や信念のテーマはまず内側で再構築されやすく、自分なりの価値観や哲学を深めながら形づくられていきます。深い納得感につながる反面、内面だけで完結せず現実の挑戦へ結びつけることが大切です。
Saturn,順行,責任と課題の外向化,責任や課題や構造化のテーマが比較的そのまま外に出やすく、現実的に形を作りやすい状態,持続力 責任感 構築力,重くなりすぎる 厳しさが強く出やすい,慎重で信頼感のある印象を与えやすい,管理や継続や制度化で力を発揮しやすい,厳しさの中に柔軟さを持つ,責任や課題が外に表れやすい状態,順行しているため、責任や課題のテーマは比較的そのまま外に出やすく、現実的に形を作ったり継続したりする力として表れやすい傾向があります。構築力につながる反面、自他に厳しくなりすぎないことが重要です。
Saturn,逆行,責任と基準の内面化,責任や課題や基準のテーマが内側で強く意識されやすく、自分なりの基準を厳密に作りやすい状態,自己鍛錬 深い責任感 内的成熟,自己否定 厳しさ 不安の抱え込み,慎重で距離を取りつつ誠実に関わりやすい,外に出る前に基準や責任範囲を固めやすい,内なる厳しさを現実的な自己信頼へ変える,責任や基準を内側で深めやすい状態,逆行しているため、責任や課題のテーマは内側で強く意識されやすく、自分なりの基準や責任感を深く作り上げていく傾向があります。成熟につながる反面、自分を責めすぎず現実的な自己信頼へ変えていくことが大切です。
