Target_Solar_Sign,T_Planet,Transit_House,Text_Theme,Base_Score,Category,Priority,Milestone_Label,Duration_Type,Advised_Task
ARIES,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
ARIES,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
ARIES,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
ARIES,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
ARIES,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
ARIES,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
ARIES,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
ARIES,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
ARIES,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
ARIES,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
ARIES,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
ARIES,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
ARIES,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
ARIES,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
ARIES,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
ARIES,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
ARIES,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
ARIES,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
ARIES,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
ARIES,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
ARIES,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
ARIES,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
ARIES,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
ARIES,SATURN,12,SATURN house 12: Closure and preparation,-10,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
ARIES,URANUS,1,URANUS house 1: Identity reset,16,General,8,Identity reset,LONG,Put your own direction first.
ARIES,URANUS,2,URANUS house 2: Resource building,14,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
ARIES,URANUS,3,URANUS house 3: Learning and communication,10,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
ARIES,URANUS,4,URANUS house 4: Home foundation,12,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
ARIES,URANUS,5,URANUS house 5: Creative opening,16,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
ARIES,URANUS,6,URANUS house 6: Routine refinement,12,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
ARIES,URANUS,7,URANUS house 7: Partnership focus,18,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
ARIES,URANUS,8,URANUS house 8: Deep restructuring,10,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
ARIES,URANUS,9,URANUS house 9: Expansion and study,14,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
ARIES,URANUS,10,URANUS house 10: Career visibility,22,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
ARIES,URANUS,11,URANUS house 11: Community gains,14,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
ARIES,URANUS,12,URANUS house 12: Closure and preparation,-2,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
ARIES,NEPTUNE,1,NEPTUNE house 1: Identity reset,12,General,8,Identity reset,LONG,Put your own direction first.
ARIES,NEPTUNE,2,NEPTUNE house 2: Resource building,10,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
ARIES,NEPTUNE,3,NEPTUNE house 3: Learning and communication,6,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
ARIES,NEPTUNE,4,NEPTUNE house 4: Home foundation,8,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
ARIES,NEPTUNE,5,NEPTUNE house 5: Creative opening,12,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
ARIES,NEPTUNE,6,NEPTUNE house 6: Routine refinement,8,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
ARIES,NEPTUNE,7,NEPTUNE house 7: Partnership focus,14,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
ARIES,NEPTUNE,8,NEPTUNE house 8: Deep restructuring,6,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
ARIES,NEPTUNE,9,NEPTUNE house 9: Expansion and study,10,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
ARIES,NEPTUNE,10,NEPTUNE house 10: Career visibility,18,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
ARIES,NEPTUNE,11,NEPTUNE house 11: Community gains,10,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
ARIES,NEPTUNE,12,NEPTUNE house 12: Closure and preparation,-6,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
ARIES,PLUTO,1,PLUTO house 1: Identity reset,14,General,8,Identity reset,LONG,Put your own direction first.
ARIES,PLUTO,2,PLUTO house 2: Resource building,12,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
ARIES,PLUTO,3,PLUTO house 3: Learning and communication,8,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
ARIES,PLUTO,4,PLUTO house 4: Home foundation,10,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
ARIES,PLUTO,5,PLUTO house 5: Creative opening,14,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
ARIES,PLUTO,6,PLUTO house 6: Routine refinement,10,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
ARIES,PLUTO,7,PLUTO house 7: Partnership focus,16,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
ARIES,PLUTO,8,PLUTO house 8: Deep restructuring,8,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
ARIES,PLUTO,9,PLUTO house 9: Expansion and study,12,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
ARIES,PLUTO,10,PLUTO house 10: Career visibility,20,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
ARIES,PLUTO,11,PLUTO house 11: Community gains,12,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
ARIES,PLUTO,12,PLUTO house 12: Closure and preparation,-4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
TAURUS,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
TAURUS,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
TAURUS,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
TAURUS,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
TAURUS,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
TAURUS,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
TAURUS,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
TAURUS,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
TAURUS,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
TAURUS,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
TAURUS,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
TAURUS,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
TAURUS,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
