Record_ID,Record_Type,Primary_Planet,Secondary_Planet,Match_Type,Target_Sign,Target_Natal_House,Tone,Title,Interpretation,Priority,Active_Flag
BACKGROUND_JUPITER_ARIES_NATAL_1,background,JUPITER,ANY,planet_natal_house,ARIES,1,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_2,background,JUPITER,ANY,planet_natal_house,ARIES,2,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_3,background,JUPITER,ANY,planet_natal_house,ARIES,3,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_4,background,JUPITER,ANY,planet_natal_house,ARIES,4,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_5,background,JUPITER,ANY,planet_natal_house,ARIES,5,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_6,background,JUPITER,ANY,planet_natal_house,ARIES,6,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_7,background,JUPITER,ANY,planet_natal_house,ARIES,7,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_8,background,JUPITER,ANY,planet_natal_house,ARIES,8,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_9,background,JUPITER,ANY,planet_natal_house,ARIES,9,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_10,background,JUPITER,ANY,planet_natal_house,ARIES,10,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_11,background,JUPITER,ANY,planet_natal_house,ARIES,11,activation,,,95,0
BACKGROUND_JUPITER_ARIES_NATAL_12,background,JUPITER,ANY,planet_natal_house,ARIES,12,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_1,background,JUPITER,ANY,planet_natal_house,TAURUS,1,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_2,background,JUPITER,ANY,planet_natal_house,TAURUS,2,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_3,background,JUPITER,ANY,planet_natal_house,TAURUS,3,activation,,,95,0
