天体名,英語名,分類,キーワード1,キーワード2,キーワード3,意味
太陽,Sun,個人天体,自己,人生目的,主体性,その人が人生の中でどう輝こうとするか、どんな方向へ自分を発揮していくかを示す中心テーマ。
月,Moon,個人天体,感情,安心感,無意識,感情の反応パターンや安心できる在り方、無意識に求めるものを示す。
水星,Mercury,個人天体,思考,言語,学習,考え方や理解の仕方、言葉の使い方や学び方の傾向を示す。
金星,Venus,個人天体,愛情,美意識,魅力,好き嫌いや心地よさの感覚、愛し方や魅力の出し方を示す。
火星,Mars,個人天体,行動,闘志,欲求,どう動くか、何に熱を入れるか、怒りや欲求をどう出すかを示す。
木星,Jupiter,社会天体,拡大,成長,発展,可能性を広げる領域や、自然に発展しやすい方向性を示す。
土星,Saturn,社会天体,課題,責任,成熟,時間をかけて鍛えるべきテーマや、責任を通して成熟する領域を示す。
天王星,Uranus,外惑星,改革,自由,刷新,既存の枠を超えて変化を起こす力や、自由を求める方向性を示す。
海王星,Neptune,外惑星,理想,感受性,曖昧さ,理想や憧れ、境界を溶かす感受性、夢や霊感の方向性を示す。
冥王星,Pluto,外惑星,変容,極端さ,再生,根本から作り変える力や、強い執着、破壊と再生のテーマを示す。
