Aspect_Logic_ID,Priority,Duration_Type,Yearly_Weight,Graph_Visibility,Milestone_Eligible
TRANSIT_JUPITER_NATAL_SUN_0_1_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_1_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_1_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_1_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_2_MONEY_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_2_MONEY_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_2_MONEY_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_2_MONEY_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_3_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_3_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_3_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_3_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_4_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_4_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_4_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_4_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_5_LOVE_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_5_LOVE_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_5_LOVE_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_5_LOVE_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_6_WORK_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_6_WORK_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_6_WORK_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_6_WORK_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_7_LOVE_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_7_LOVE_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_7_LOVE_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_7_LOVE_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_8_MONEY_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_8_MONEY_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_8_MONEY_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_8_MONEY_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_9_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_9_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_9_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_9_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_10_WORK_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_10_WORK_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_10_WORK_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_10_WORK_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_11_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_11_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_11_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_11_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_12_HEALTH_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_12_HEALTH_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_12_HEALTH_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_0_12_HEALTH_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_1_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_1_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_1_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_1_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_2_MONEY_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_2_MONEY_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_2_MONEY_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_2_MONEY_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_3_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_3_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_3_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_3_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_4_GENERAL_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_4_GENERAL_0_Separating,9,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_4_GENERAL_1_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_4_GENERAL_1_Separating,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_5_LOVE_0_Applying,10,LONG,1.0,1,1
TRANSIT_JUPITER_NATAL_SUN_60_5_LOVE_0_Separating,9,LONG,1.0,1,1
