transit_planet,natal_house,theme,meaning
Jupiter,1,拡大,自己表現や行動範囲が広がり、自信や前向きさが増しやすい
Jupiter,2,豊かさ,収入や所有、自己価値を広げるチャンスが増えやすい
Jupiter,3,学習,学習、情報収集、会話、人脈が活発になりやすい
Jupiter,4,家庭,家庭環境や居場所が広がり、内面的安心感が増しやすい
Jupiter,5,創造,恋愛、趣味、創造活動、自己表現が発展しやすい
Jupiter,6,仕事,仕事、実務、健康改善の流れが広がり、日常が充実しやすい
Jupiter,7,対人関係,人間関係やパートナーシップに恵まれやすく、協力関係が広がる
Jupiter,8,変容,深い心理的成長や共有資産、親密な関係の発展が起こりやすい
Jupiter,9,探求,学問、哲学、海外、語学、精神的視野が大きく広がりやすい
Jupiter,10,社会的成功,キャリア、評価、社会的立場が拡大し、仕事運が上がりやすい
Jupiter,11,仲間,人脈、コミュニティ、未来志向の活動が発展しやすい
Jupiter,12,精神的成長,内面の癒し、精神的理解、見えない支援に恵まれやすい
Saturn,1,自己確立,自分自身への責任が増し、人生の方向性を固める時期になりやすい
Saturn,2,価値の見直し,収入、支出、自己価値を現実的に見直し、基盤を固める時期
Saturn,3,思考の訓練,学習、言語、考え方に努力や継続が求められやすい
Saturn,4,家庭責任,家庭、居場所、家族関係に責任や整理課題が生じやすい
Saturn,5,自己表現の試練,恋愛、創造、楽しみの分野で現実性や責任感が問われやすい
Saturn,6,仕事と義務,仕事、健康、日常習慣に負荷がかかるが、整える力が育ちやすい
Saturn,7,対人課題,人間関係や契約に責任や見極めが必要になりやすい
Saturn,8,深い変容,共有資産、信頼、心理的課題に向き合い成熟する時期
Saturn,9,信念の現実化,学問、哲学、海外、資格などに本気の取り組みが求められやすい
Saturn,10,社会的責任,仕事や社会的立場で責任が増え、長期的基盤を作る時期
Saturn,11,人脈の選別,仲間やコミュニティが整理され、本当に必要な関係が残りやすい
Saturn,12,内面整理,過去の問題、無意識、不安と向き合い、精神的整理が進みやすい
Uranus,1,自己改革,生き方や見せ方が大きく変わり、独立心が高まりやすい
Uranus,2,価値観革命,お金や所有、働き方への価値観が急激に変わりやすい
Uranus,3,情報変化,学び方、話し方、人間関係、情報環境に変化が起こりやすい
Uranus,4,家庭変革,住環境、家庭、心の居場所に急な変化が起きやすい
Uranus,5,創造の革命,恋愛、創作、遊びのスタイルが大きく変わりやすい
Uranus,6,仕事改革,働き方、職場環境、健康管理方法が刷新されやすい
Uranus,7,関係の変化,人間関係やパートナーシップに突然の出会い・別れ・変化が起きやすい
Uranus,8,深層変化,心理、共有財産、親密さの領域に急な変容が起こりやすい
Uranus,9,思想革命,信念、学問、海外観、人生観が大きく更新されやすい
Uranus,10,キャリア革命,仕事や社会的ポジションが急激に変わりやすい
Uranus,11,未来刷新,人脈、SNS、コミュニティ、理想や目標が刷新されやすい
Uranus,12,無意識の目覚め,無意識の変化、精神的覚醒、隠れた問題の浮上が起こりやすい
Neptune,1,理想自己,自己像が曖昧になりやすい一方、直感や感受性が高まりやすい
Neptune,2,価値の曖昧化,お金や自己価値の境界が曖昧になりやすく、理想も強まりやすい
Neptune,3,想像力,思考や言葉に直感や想像力が入りやすいが、混乱も起こりやすい
Neptune,4,感情の溶解,家庭や心の深い部分で癒しと曖昧さが同時に起きやすい
Neptune,5,夢と芸術,恋愛、創作、趣味に理想や幻想、芸術性が入りやすい
Neptune,6,奉仕と混乱,仕事や健康面で理想が高まる一方、境界の曖昧さが出やすい
Neptune,7,理想化された関係,対人関係や恋愛で理想化や投影が起こりやすい
Neptune,8,神秘的変容,心理、親密さ、見えない力への感受性が高まりやすい
Neptune,9,精神探求,宗教、哲学、海外、精神世界への関心が深まりやすい
Neptune,10,理想の仕事像,社会的役割に理想や曖昧さが入りやすく、方向性を見失いやすいこともある
Neptune,11,理想の仲間,仲間やコミュニティに理想を抱きやすく、共感的つながりが増えやすい
Neptune,12,深い癒し,潜在意識、精神性、癒し、スピリチュアルな感受性が非常に高まりやすい
Pluto,1,自己変容,人格や生き方が根本から変わるような強い変化が起こりやすい
Pluto,2,価値の再構築,お金、所有、自己価値観を根本から見直す変容が起きやすい
Pluto,3,思考の変容,考え方、学び方、伝え方が深いレベルで変わりやすい
Pluto,4,家庭の再編,家庭、ルーツ、心の土台が大きく作り替えられやすい
Pluto,5,創造の再生,恋愛、自己表現、創造活動に極端で深い変化が起こりやすい
Pluto,6,仕事の再構築,働き方、役割、日常習慣、健康意識が根本的に変わりやすい
Pluto,7,関係の変容,人間関係やパートナーシップが深く濃く変化しやすい
Pluto,8,完全変容,心理、執着、共有資源、喪失と再生のテーマが強く出やすい
Pluto,9,信念の刷新,人生哲学、思想、信念、海外観が根本から変わりやすい
Pluto,10,権力と再編,仕事、立場、社会的評価の領域で大きな再編が起きやすい
Pluto,11,集団変容,人脈、組織、未来計画が大きく入れ替わりやすい
Pluto,12,潜在意識の浄化,無意識の深層が動き、隠れていた問題の浄化や再生が起こりやすい
