Template_ID,Cluster_ID,Month_ID,Event_Type,Valid_From,Peak_At,Valid_To,Carryover_Flag,Participating_Planets,Sign_Signature,Aspect_Signature,Max_Orb,Min_Planet_Count,Moon_Eligibility,Anchor_Planet,Anchor_Solar_House,Anchor_Natal_House,Personalization_Mode,House_Token_Planets,Date_Source,Date_Key,Date_Precision,Selection_Group,Supersedes_Cluster_IDs,Section_Order,Priority,Title,Paragraph_Template,Tags,Active_Flag
2026_10_OPENING_TSQUARE_COMPLETION_S01_N01,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,1,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,激しい議論を避けて冷静な姿勢を保つ,{event_date}頃は、月初からの強いプレッシャーがピークに達し、自己主張や発言に衝動的な熱が混ざりやすくなります。相手を言いくるめようとせず、事実の確認と落ち着いた間合いを意識してください。冷静な態度を貫くことが、不要な衝突を防ぎ信頼を守る鍵です。自己のスタンスを崩さず、事実関係と優先順位を確かめることが安心につながります。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N02,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,2,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,損得の焦りを抑えて手元の条件を精査する,{event_date}頃は、急な出費や金銭的な交渉で感情が高ぶり、極端な判断を下したくなる傾向があります。焦って即断せず、契約条件や実際の収支を一つずつ確認しましょう。冷静にリソースの配分を見直すことで、経済的な混乱を未然に防ぐことができます。金銭や共有リソースの取り決めをメモに残し、曖昧さを排除することが安定を生みます。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N03,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,3,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,強い言葉を控え要点を簡潔に伝える,{event_date}頃は、連絡の行き違いや議論の過熱が起こりやすく、厳しい言葉を投げ合ってしまいがちです。反論を急がず、事実と感情を切り離して要点だけを伝えましょう。丁寧で誠実な言葉遣いを心がけることが、身近な人間関係の摩擦を最小限に抑えます。連絡事項や伝達手順を分かりやすく整理し、丁寧な言葉選びで確認し合うことが賢明です。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N04,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,4,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,身内の緊張を和らげ安心できる場を守る,{event_date}頃は、外でのプレッシャーを家庭内に持ち込み、身近な相手と感情的にぶつかりやすくなります。正論で相手を追い詰めず、お互いに落ち着ける静かな時間を作りましょう。生活空間の安心感を最優先に整えることで、心のゆとりを取り戻せます。家庭内や身近な空間での心地よい距離感を保ち、感情的な摩擦を避けることが肝要です。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N05,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,5,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,創作や対人での衝突を冷静にやり過ごす,{event_date}頃は、強い情熱や自己表現の欲求が過剰になり、周囲の反応に対して過敏になりやすいタイミングです。一方的な主張を押し通そうとせず、作品や趣味の細部を静かに磨く作業に集中してください。冷静な情熱が、完成度の高い表現へと結実します。自己表現のこだわりを整理し、相手の感性や意向も柔軟に受け止める姿勢が実を結びます。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N06,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,6,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,実務の混乱を防ぎ無理のない手順を守る,{event_date}頃は、業務の締め切りや過密な作業に追われ、職場での摩擦や体調の乱れが生じやすい時です。すべてを独力で背負い込まず、優先順位を明確にして無理のないペースを守りましょう。冷静に手順を整理することが、効率と健康を維持する最善策です。作業の優先順位を明確にし、無理のないスケジュールで着実に対処することが有効です。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N07,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,7,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,対人関係での駆け引きを止めて本音を整理,{event_date}頃は、パートナーや重要な相手との間で主導権争いや感情の衝突が激化しやすい局面です。相手を無理に変えようとせず、自分が守りたい条件と譲れる点を明確に提示しましょう。対等で落ち着いた対話を心がけることで、関係の悪化を回避できます。一対一の対話において相手の要望を丁寧に聞き、公平な合意点を確かめ合いましょう。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N08,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,8,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,深層の対立を解きほぐし共有条件を明確化,{event_date}頃は、共有資金や利害関係、感情的なしこりを巡って張り詰めた空気が漂いやすくなります。疑心暗鬼に囚われず、ルールや記録を透明にして冷静に話し合ってください。互いの境界線を尊重することが、複雑な問題を安全に解決する道となります。感情的なしこりを残さないよう、事実に基づいた透明な対話を重ねて安心を深めましょう。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N09,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,9,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,極端な議論から離れ広い視野を取り戻す,{event_date}頃は、主義主張や専門的な意見の違いから激しい論争に巻き込まれやすい時期です。持論の正しさに固執せず、異なる視点や客観的なデータにも目を向けましょう。大局的な視野を持つことで、知的な緊張感を建設的な学びに昇華できます。専門的な学びや将来の計画を落ち着いて整理し、多角的な視座から状況を捉え直しましょう。,t_square;mercury;mars;pluto;carryover;completion,1
2026_10_OPENING_TSQUARE_COMPLETION_S01_N10,2026_10_OPENING_TSQUARE_COMPLETION,2026-10,aspect_cluster,2026-10-01T00:00:00+09:00,2026-10-02T18:14:00+09:00,2026-10-04T23:59:59+09:00,1,MERCURY|MARS|PLUTO,MERCURY:SCORPIO|MARS:LEO|PLUTO:AQUARIUS,MERCURY-MARS:90|MERCURY-PLUTO:90|MARS-PLUTO:180,3,3,not_applicable,MERCURY,1,10,anchor_house,MERCURY|MARS|PLUTO,swiss_ephemeris,MERCURY:MARS:90:2026-10-02|MARS:PLUTO:180:2026-10-03,exact_day,OCT_OPENING_PRESSURE,2026_09_MONTH_END_TSQUARE_BUILDING,10,100,公の場での感情論を抑え誠実に対処する,{event_date}頃は、仕事や社会的な責任の重圧から、上層部や関係者と衝突しやすくなります。衝動的な反発を控え、客観的な根拠と丁寧な説明を用意して臨みましょう。責任ある立場として冷静な判断を貫くことが、キャリアの信頼を強固に守る結果につながります。独断を避けて進捗を丁寧に報告し、周囲と足並みを揃えて信頼関係を維持しましょう。,t_square;mercury;mars;pluto;carryover;completion,1
