career_id,mc_sign,mc_ruler,dominant_axis,jupiter_house,main_role_text,strength_text,expansion_text,caution_text,tags
virgo_6h_mercury_9h,Virgo,Mercury,6H,9H,業務改善分析品質管理の領域で現場を整え精度を高めることで安定した成果を再現する機能を担います,細部を整えながら全体最適を実現する力が強い,専門性を深めつつ知識共有や教育に関わることで成長しやすい,完璧主義が強まりすぎると負担を抱え込みやすい,work;service;analysis;improvement
virgo_6h_mercury_11h,Virgo,Mercury,6H,11H,業務改善分析品質管理の領域で現場を整え精度を高めることで安定した成果を再現する機能を担います,課題を構造化し再現性のある仕組みに落とし込む力が高い,チームやコミュニティ単位で改善を広げることで価値が拡張する,細部へのこだわりが強すぎると全体視点を見失いやすい,work;system;analysis;optimization
capricorn_10h_saturn_2h,Capricorn,Saturn,10H,2H,組織運営管理責任の領域で計画と実行を統合し成果と地位を積み上げる構造を確立する機能を担います,長期的視点で組織やプロジェクトを安定運用できる,資産や成果の蓄積を意識すると安定して成功しやすい,責任過多になりすぎると柔軟性を失いやすい,management;authority;structure;career
capricorn_10h_saturn_11h,Capricorn,Saturn,10H,11H,組織運営管理責任の領域で計画と実行を統合し成果と地位を積み上げる構造を確立する機能を担います,ルールや仕組みを作り長期的に機能させる能力が高い,組織全体の最適化や改革に関わると影響力が拡大する,硬直化すると変化への対応が遅れやすい,organization;structure;system;leadership
sagittarius_9h_jupiter_9h,Sagittarius,Jupiter,9H,9H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,概念をわかりやすく伝え広げる力が強い,海外や教育分野に関わることで運が開きやすい,理想先行で現実運用が甘くなりやすい,education;philosophy;expansion;teaching
sagittarius_9h_jupiter_11h,Sagittarius,Jupiter,9H,11H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,思想を共有しネットワークを拡大する力に優れる,人や組織を巻き込んだ活動で大きく成長する,理想が拡散しすぎると軸がぶれやすい,community;expansion;vision;network
libra_7h_venus_10h,Libra,Venus,7H,10H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,利害調整やバランス感覚に優れ対人関係を円滑に進める,社会的ポジションを意識した関係構築で評価が上がる,相手に合わせすぎると主体性が弱くなりやすい,relationship;negotiation;balance;social
scorpio_8h_pluto_2h,Scorpio,Pluto,8H,2H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,本質を見抜き根本的な改善や再構築を行う力が強い,専門分野を極めることで大きな価値を生む,執着やコントロール欲が強くなりすぎると関係が硬直する,analysis;transformation;depth;finance
leo_5h_sun_10h,Leo,Sun,5H,10H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,自分の魅力や個性を活かして影響力を持つ,表現活動やリーダーシップで評価が高まりやすい,承認欲求が強すぎると評価に依存しやすい,expression;leadership;creative;public
aquarius_11h_uranus_10h,Aquarius,Uranus,11H,10H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,既存の枠にとらわれず新しいアイデアを形にできる,改革や新規プロジェクトで力を発揮しやすい,独自性が強すぎると孤立しやすい,innovation;system;technology;future
pisces_12h_neptune_6h,Pisces,Neptune,12H,6H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,人の感情や状況を読み取りサポートする力が高い,医療や福祉など支援分野で適性を発揮しやすい,境界が曖昧になると疲弊しやすい,healing;service;empathy;support
taurus_2h_venus_2h,Taurus,Venus,2H,2H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,継続力と安定性で着実に成果を積み上げる,資産形成や長期運用で成功しやすい,変化を避けすぎると成長機会を逃しやすい,stability;value;finance;resource
aries_1h_mars_10h,Aries,Mars,10H,10H,新規立ち上げや意思決定の場で主体的に行動を起こし停滞した状況を前進させる推進機能を担います,行動力と決断力で物事を前進させる力が強い,新規事業や立ち上げで成功しやすい,衝動的になりすぎると衝突を招きやすい,action;initiative;leadership;startup
gemini_3h_mercury_10h,Gemini,Mercury,3H,10H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,情報整理と伝達能力に優れる,メディアや教育分野で活躍しやすい,浅く広くになりすぎると専門性が弱くなる,communication;media;learning;information
cancer_4h_moon_6h,Cancer,Moon,4H,6H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,共感力とケア能力で信頼関係を築く,人を支える役割で評価されやすい,感情に影響されやすく負担を抱えやすい,care;support;emotion;home
scorpio_8h_mars_10h,Scorpio,Mars,8H,10H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,極限状況でも集中力を発揮できる,再建や再構築の場で力を発揮しやすい,攻撃性や極端さが強く出やすい,crisis;transformation;intensity;execution
