Event_Type,Planet,Natal_Planet,House,Sign,Aspect_Angle,Category,Description,Priority,Active_Flag
solar_house_ingress,SUN,,1,,,,太陽が第1ソーラーハウスに入り、あなた自身の魅力や意志を堂々と打ち出せる時期です。新たな目標に向けて情熱が高まり、主体的にスタートを切るのに適しています。,10,1
solar_house_ingress,SUN,,2,,,,太陽が第2ソーラーハウスに入り、収入や所有、持っている才能に光が当たる時期です。自分の価値を着実に形にし、安定した基盤を築く行動が実を結びます。,10,1
solar_house_ingress,SUN,,3,,,,太陽が第3ソーラーハウスに入り、知的好奇心や情報発信、身近な人との交流が活性化する時期です。フットワーク軽く学んだりコミュニケーションを広げたりするのに向いています。,10,1
solar_house_ingress,SUN,,4,,,,太陽が第4ソーラーハウスに入り、家庭や住まい、心の拠り所に温かい意識が向く時期です。安心できる居場所を整え、足元をしっかりと固めるのに適しています。,10,1
solar_house_ingress,SUN,,5,,,,太陽が第5ソーラーハウスに入り、自己表現やクリエイティブな活動、恋愛への意欲が高まる華やかな時期です。自分の好きやワクワクを思い切り楽しむことで運気が高まります。,10,1
solar_house_ingress,SUN,,6,,,,太陽が第6ソーラーハウスに入り、仕事の実務や健康管理、日々のルーティン改善にスポットが当たる時期です。環境を丁寧に整え、実用的なスキルを磨くのに適しています。,10,1
solar_house_ingress,SUN,,7,,,,太陽が第7ソーラーハウスに入り、パートナーシップや対人関係が重要なテーマとなる時期です。他者との協力関係を築き、誠実な対話を通じて絆を深めるのに向いています。,10,1
solar_house_ingress,SUN,,8,,,,太陽が第8ソーラーハウスに入り、深い絆や共有財産、本質的な変容にじっくり向き合う時期です。大切な人との信頼関係を深め、根本的な変化を受け入れる好機となります。,10,1
solar_house_ingress,SUN,,9,,,,太陽が第9ソーラーハウスに入り、高い目標や専門的な探求、未知の世界へ視野が大きく広がる時期です。前向きな挑戦や学びを通じて自分を大きく成長させられます。,10,1
solar_house_ingress,SUN,,10,,,,太陽が第10ソーラーハウスに入り、仕事や社会的な立場において実績や成果が注目される時期です。リーダーシップを発揮し、目標達成に向けて力を注ぐのに適しています。,10,1
solar_house_ingress,SUN,,11,,,,太陽が第11ソーラーハウスに入り、志を共にする仲間とのつながりや未来のビジョンが広がる時期です。グループ活動や新しいネットワーク作りに積極的に参加すると良いでしょう。,10,1
solar_house_ingress,SUN,,12,,,,太陽が第12ソーラーハウスに入り、内面の整理や休息、精神的な充電を優先すべき時期です。過去を振り返り、不要な思いを手放して次のサイクルに備えるのに向いています。,10,1
natal_house_ingress,SUN,,1,,,,太陽がネイタル第1ハウスに入り、自己変革や新しい取り組みに強い追い風が吹く時期です。自分らしい魅力を前面に出し、主役として堂々と行動していきましょう。,10,1
natal_house_ingress,SUN,,2,,,,太陽がネイタル第2ハウスに入り、金銭感覚や自己価値への意識が高まる時期です。具体的な収入アップの計画を立てたり、実用的な才能を磨いたりするのに向いています。,10,1
natal_house_ingress,SUN,,3,,,,太陽がネイタル第3ハウスに入り、学習意欲や身近なやり取りがスピーディーに動く時期です。新しい知識のインプットや、周囲とのこまめな連絡が良い展開を生みます。,10,1
natal_house_ingress,SUN,,4,,,,太陽がネイタル第4ハウスに入り、プライベートや家族との関係、基盤作りにエネルギーが注がれる時期です。心からリラックスできる安心の土台を整えましょう。,10,1
natal_house_ingress,SUN,,5,,,,太陽がネイタル第5ハウスに入り、創作意欲や自己表現の喜びが最高潮に達する時期です。趣味や恋愛を心から楽しみ、情熱を持って自分らしさを発信していきましょう。,10,1
natal_house_ingress,SUN,,6,,,,太陽がネイタル第6ハウスに入り、仕事の役割や生活習慣の見直しに注力できる実直な時期です。日々の業務を丁寧に整理し、心身のコンディションを整えるのに最適です。,10,1
natal_house_ingress,SUN,,7,,,,太陽がネイタル第7ハウスに入り、重要な出会いや契約、パートナーとの深い対話が促される時期です。相手の立場を尊重しながら、心地よい協力関係を築けます。,10,1
natal_house_ingress,SUN,,8,,,,太陽がネイタル第8ハウスに入り、人との濃密な関わりや受け継ぐものに意識が向く時期です。本音で語り合い、深い信頼と変容を受け止める大切なタイミングとなります。,10,1
natal_house_ingress,SUN,,9,,,,太陽がネイタル第9ハウスに入り、精神的な冒険やスキルアップ、遠方への関心が高まる時期です。固定観念を手放し、より広い世界へ可能性を伸ばしていきましょう。,10,1
natal_house_ingress,SUN,,10,,,,太陽がネイタル第10ハウスに入り、これまでの努力が社会的に評価されやすい飛躍の時期です。責任ある立場を引き受け、誇りを持って成果を形にしていきましょう。,10,1
natal_house_ingress,SUN,,11,,,,太陽がネイタル第11ハウスに入り、友人関係やコミュニティでの役割が活性化する時期です。理想の未来像を仲間と共有し、自由な発想で共創を進めるのに適しています。,10,1
natal_house_ingress,SUN,,12,,,,太陽がネイタル第12ハウスに入り、静かに心を整えリフレッシュを図るべき重要な準備期です。一人の時間を大切にし、潜在意識の声に耳を傾けて浄化を進めましょう。,10,1
solar_house_ingress,MERCURY,,1,,,,水星が第1ソーラーハウスに入り、思考の回転が速くなりコミュニケーション能力が冴える時期です。自分の考えを分かりやすく発信し、周囲との対話を主導していきましょう。,10,1
solar_house_ingress,MERCURY,,2,,,,水星が第2ソーラーハウスに入り、お金の使い方や実用的なスキルの習得に関心が高まる時期です。収支の計画を立てたり、ビジネスのアイデアを整理するのに適しています。,10,1
solar_house_ingress,MERCURY,,3,,,,水星が第3ソーラーハウスに入り、情報収集や学習、SNS等での発信が一段と活発になる時期です。フットワーク軽く知的好奇心を広げ、身近な人との会話を楽しみましょう。,10,1
