Aspect_Logic_ID,T_Planet,N_Planet,Aspect_Angle,Category,N_House,N_Sign_Element,T_Retrograde_Flag,Orb_Status,Text_Description,Countdown_Label,Countdown_ID,Essential_Dignity_Score,Score_Impact,Priority,timeline_advise,Decision_Flag,Sync_Flag,Noise_Flag,Pressure_Score,Love_Text_Description,Work_Text_Description,Money_Text_Description,Love_Score_Impact,Work_Score_Impact,Money_Score_Impact,Love_Positive_Impact,Love_Negative_Impact,Work_Positive_Impact,Work_Negative_Impact,Money_Positive_Impact,Money_Negative_Impact,General_Positive_Impact,General_Negative_Impact
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Fire,0,Applying,あなた自身の魅力や生命力が、かつてないほど鮮やかに輝きを増そうとしています。新しい自分を世に表現するための準備や、心躍る自分磨きに最適なムードに包まれるでしょう。周囲からの注目が自然と集まる中で、自分らしさを堂々と肯定することで、至福の喜びを分かち合えるはずです。,,HOUSE_BRIGHTENING_SHORT_POS,5.0,66,8,自分のやりたいことに楽しさを見出しやすく、自己表現やクリエイティブな活動が捗ります。,1.0,1.0,0.0,-14,自然体で自分らしい魅力を爽やかに発揮でき、相手に好印象とワクワクを与えられる日です。飾らないアプローチが心地よい距離感を保ち、二人の絆を滑らかに深めます。,自分のアイデアを柔軟に実務に取り入れ、楽しく効率的に仕事を推進できる日です。前向きな変化を少しずつ試す姿勢が評価され、スムーズな協力が得られます。,自身の直感に基づき、日常を快適にする便利ツールや自分磨きへスマートに投資できる日です。無理のない範囲での買い物や挑戦が、大きな満足感と価値をもたらします。,50,40,,45,0,35,0,-,-,55,0
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Fire,1,Applying,自分自身の在り方や本来の魅力について、改めて深く問い直すような流れが訪れています。かつての趣味や懐かしい縁が再び光を取り戻すための、貴重なリバイバルの準備期間となるでしょう。一度立ち止まって自分を見つめ直す勇気を持つことで、忘れていた美しさや純粋な喜びを再発見できるはずです。,,HOUSE_BRIGHTENING_SHORT_POS,5.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Earth,0,Applying,これまでの地道な努力が、あなた自身の揺るぎない価値として目に見える形になりつつあります。自分の才能を現実的な成果に結びつけるための、具体的なブラッシュアップに最適なムードに包まれるでしょう。地に足のついた行動を重ねることで、周囲からの信頼もより確固たるものへと育っていくはずです。,,HOUSE_BRIGHTENING_SHORT_POS,-1.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Earth,1,Applying,自らの資質や「本当に大切にすべき価値観」を、改めて現実的に検証する流れが訪れています。過去に諦めた目標や、一度手放したスキルを再評価する、実り多い準備期間となるでしょう。今の自分に必要なものを丁寧に見極めることで、将来の安定に繋がる確かな指針を再発見できるはずです。,,HOUSE_BRIGHTENING_SHORT_POS,-1.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Air,0,Applying,知的な刺激や軽やかな対話を通じて、あなた自身の魅力が周囲へと拡散していく予感に満ちています。多くの人と情報を共有し、多様な視点を取り入れることで、新しい自己イメージを膨らませるのに最適なときです。あなたの言葉が光を放ち、周囲の人々を惹きつける、新しい交流の輪が広がっていくでしょう。,,HOUSE_BRIGHTENING_SHORT_POS,2.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Air,1,Applying,過去の人間関係や、かつての学びのスタイルを再考する機会が巡ってきています。以前のコミュニケーションにおける誤解を解いたり、途減していた知的な交流を再開したりするための、重要な準備期間となるでしょう。言葉の奥にある真意を丁寧に紐解くことで、今の自分に必要な知恵を再発見できるはずです。,,HOUSE_BRIGHTENING_SHORT_POS,2.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Water,0,Applying,内面的な感受性が豊かにあふれ出し、本来の優しさや慈愛が周囲を包み込むようなムードが高まっています。自分の心を満たし、他者と深い共感で繋がるための、心の準備を整えるのに最適なときです。あふれ出す感情を丁寧に扱うことで、内側から湧き上がるような、確かな生命力と幸福感を感じられるはずです。,,HOUSE_BRIGHTENING_SHORT_POS,-2.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRANSIT_VENUS_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_VENUS,NATAL_SUN,0,Love,1,Water,1,Applying,心の奥底に眠っていた古い感情や、愛にまつわる記憶と向き合う流れが巡ってきています。過去の未完了な想いを丁寧に癒やし、本来の自分を取り戻すための、大切な準備期間となるでしょう。自分の弱さを認め、ありのままの感情を許すことで、真の意味での自己受容へと近づけるはずです。,,HOUSE_BRIGHTENING_SHORT_POS,-2.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRANSIT_VENUS_NATAL_SUN_0_2_MONEY_0_Applying,TRANSIT_VENUS,NATAL_SUN,0,"Love,Money,Work",2,Fire,0,Applying,経済的な自立心や、自らの才能で豊かさを生み出すことへの情熱が、鮮やかに燃え上がろうとしています。自分のスキルを具体的な収益に結びつけるための、意欲的なアクションを計画するのに最適なムードです。自信を持って自らの価値を主張することで、新たな豊かさを引き寄せる、力強い追い風を感じられるはずです。,,MONEY_VALUE_UP_VENUS_SHORT_POS,5.0,66,8,-,1.0,1.0,0.0,-,お互いの自由な生活スタイルや好みを尊重し合い、ストレスのない穏やかな時間を共有できる日です。柔軟な金銭感覚のすり合わせが、心地よい安心感を生み出します。,得意なスキルや独自の知識を活かして、副収入や新しい仕事のルートを自然に開拓できる日です。小さな改善の積み重ねが、将来の持続可能な成果へと繋がります。,堅実な計画の中に最新のスマート運用をうまく取り入れ、手元資金を増やせる日です。無駄な出費を減らしつつ、価値ある体験へと賢く資金を流すことができます。,40,45,55,35,0,40,0,45,0,35,0
TRANSIT_VENUS_NATAL_SUN_0_2_MONEY_1_Applying,TRANSIT_VENUS,NATAL_SUN,0,"Love,Money,Work",2,Fire,1,Applying,かつての収益源や、お金に対する向き合い方を改めて検討する機会が訪れています。過去に手がけた投資案件や、中断していた金銭的な計画を再開するための、重要な準備期間となるでしょう。過去の教訓をポジティブに活かすことが、これからの経済的な成功を引き寄せるための、最短距離となるはずです。,,MONEY_VALUE_UP_VENUS_SHORT_POS,5.0,66,8,-,1.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
