T_Planet,N_Planet,Aspect_Angle,Category,N_House,N_Sign_Element,T_Retrograde_Flag,Orb_Status,Text_Description,Countdown_Label,Countdown_ID,Score_Impact,Priority,Advised_Task
TRANSIT_SUN,NATAL_SUN,0,General,1,Fire,0,Applying,新しい1年のサイクルが始まる予兆があり活力が内側から高まっています。接近中の今は新しい目標を立てる準備に最適な時期です,新しい自分に目覚める日まで,,85,10,これから1年で成し遂げたいことを3つ書き出す
TRANSIT_SUN,NATAL_MERCURY,90,Work,10,Earth,0,Separating,仕事上の立場と自分の思考が衝突した余韻が残っています。離脱中の今は議論を深めるよりも決定事項の事後処理に専念すべき時です,思考の混乱が収まるまで,,-30,7,会議の議事録を見直し漏れがないか再確認する
TRANSIT_MERCURY,NATAL_SATURN,0,Work,6,Earth,1,Applying,実務において過去のミスへの対応や見直しを迫られる予感があります。逆行かつ接近中の今は焦らずにシステムの再点検を行うべきです,知的基盤が再構築されるまで,,20,8,過去のプロジェクト資料を読み返し改善点を探る
TRANSIT_VENUS,NATAL_MOON,120,Love,4,Water,0,Applying,プライベートで深い安らぎを得られる喜びが近づいています。接近中の今は大切な人を手厚くもてなす準備をすると愛が深まります,安らぎと愛で満たされる日まで,,75,8,部屋に花を飾り心地よい空間を整える
TRANSIT_MARS,NATAL_SUN,150,Health,1,Fire,0,Separating,自分を追い込みすぎた影響が体調の違和感として残っています。離脱中の今は無理に動かず活動量の微調整を行うことで回復が早まります,身体の調和が整うまで,,-25,6,ストレッチで筋肉を緩め十分な睡眠をとる
TRANSIT_JUPITER,NATAL_MC,0,Work,10,Earth,0,Applying,社会的な成功や大きなチャンスが目前まで迫っています。接近中の今は受け入れ態勢を整え周囲への協力を仰ぐ準備をしてください,努力が形となり報われる日まで,,95,10,実績をまとめたポートフォリオを最新版に更新する
TRANSIT_SATURN,NATAL_VENUS,180,Money,2,Earth,0,Separating,金銭面での厳しい制限や規律を求められた時期を過ぎつつあります。離脱中の今は学んだ節約術を今後の習慣として定着させるべき時です,経済的な基盤が安定する日まで,,-40,9,固定費の見直し結果を家計簿に反映させる
TRANSIT_URANUS,NATAL_MERCURY,120,Work,3,Air,0,Applying,独創的なアイデアが閃き日常のコミュニケーションが刷新される予兆があります。接近中の今は新しいデジタルツールの導入を検討してください,閃きが未来を切り拓く日まで,,80,5,最新のAIツールやガジェットの情報を収集する
TRANSIT_NEPTUNE,NATAL_SUN,90,General,12,Water,1,Separating,理想と現実の境界が曖昧になり迷いが生じた余韻が続いています。逆行かつ離脱中の今は過去の夢を再解釈し現実的な落とし所を見つける時です,心の霧が完全に晴れる日まで,,-45,7,一人で静かに瞑想し直感の内容を言語化してみる
TRANSIT_SUN,NATAL_SUN,0,General,1,Fire,0,Separating,自らの存在感を周囲に強く印象づけ、新しい自分としての第一歩を踏み出した後の高揚感の中にいます。離脱中の今は得られた自信を慢心せず、着実な行動習慣として日常に定着させてください,輝きが確信に変わる日まで,80,8,今日決めた新しい習慣や決意をノートの1ページ目に記し、毎日見返すことで情熱の炎を絶やさないようにする
TRANSIT_SUN,NATAL_SUN,0,General,1,Earth,0,Applying,地道な努力が実を結び、自分自身の価値を再定義するための確かな手応えを感じています。接近中の今は将来の安定を支える強固な基盤を構築し、具体的な計画を練り上げる準備をしてください,努力が形となる日まで,85,10,自分のスキルや資産の現状を徹底的に棚卸しし、今後1年でどれだけ積み上げるか具体的な数字で目標を設定する
TRANSIT_SUN,NATAL_SUN,0,General,1,Earth,0,Separating,着実な積み重ねによって手に入れた信頼と安定感を実感し、深い安らぎの中に魂が満たされている素晴らしい時期です。離脱中の今は築いた基盤を慢心せず守り抜き、一生の習慣として深く定着させてください,安定が信頼の礎となるまで,75,7,今日決めた貯蓄や学習のルーチンをカレンダーに刻み込み、一日の狂いもなく実行し続けるプロの規律を身につける
TRANSIT_SUN,NATAL_SUN,0,General,1,Air,0,Applying,知的好奇心が旺盛になり、新しい情報の波を乗りこなして自分自身をアップデートする準備が整っています。接近中の今は最新の知恵を吸収し、世界を広げるためのネットワークを構築してください,知恵が未来を拓く日まで,80,10,興味のある分野の専門書を数冊手に入れ、新しい知識を自分の言葉でアウトプットするためのブログやSNSのアカウントを開設する
TRANSIT_SUN,NATAL_SUN,0,General,1,Air,0,Separating,新しい視点を手に入れたことで思考がクリアになり、未来への展望が鮮やかに開けた後の素晴らしい余韻の中にいます。離脱中の今は広がった視野を日常の武器として定着させ、常に最新の情報に触れる習慣を維持してください,思考が生命を支配する日まで,70,7,毎日欠かさず業界のニュースやトレンドをチェックし、自分なりの見解を短くまとめて発信し続ける知的訓練を開始する
TRANSIT_SUN,NATAL_SUN,0,General,1,Water,0,Applying,繊細な感性が研ぎ澄まされ、自分自身の内面的な輝きを再発見するための神聖な時間が太陽に照らされています。接近中の今は心の声を大切にし、魂が本当に求める喜びを受け取る準備を整えてください,慈しみが魂を癒やす日まで,85,10,一日の終わりに静かな時間を確保し、自分が感じた小さな幸せや感謝の気持ちを美しい言葉で綴る日記を今日から書き始める
TRANSIT_SUN,NATAL_SUN,0,General,1,Water,0,Separating,心の葛藤を乗り越えて自分自身を深く許容し、至福の安らぎの中に魂が満たされている素晴らしい時期です。離脱中の今はその繊細な共感力を周囲への癒やしとして定着させ、人間関係をより深めてください,愛情が魂を救う日まで,75,7,身近な人の小さな変化に気づき、見返りを求めず誠実に寄り添うことで、自分自身の心も同時に癒やされる習慣を定着させる
TRANSIT_SUN,NATAL_SUN,0,General,2,Fire,0,Applying,金銭的な野心が燃え上がり、自らの能力を報酬に変えるための強力な意志が宿っています。接近中の今は自分の価値を正当に主張し、収益を最大化するための具体的な戦略を練り上げる準備をしてください,豊かさが道を照らす日まで,85,10,自分のスキルを市場価値に換算し、具体的な収入アップに向けた交渉や副業の開始を具体化するための提案書を今日作成する
TRANSIT_SUN,NATAL_SUN,0,General,2,Fire,0,Separating,自らの決断と行動によって新しい収入源を確保し、経済的な自信を手に入れた後の素晴らしい余韻の中にいます。離脱中の今は得られた利益を慢心せず正しく運用し、永続的な繁栄の習慣として定着させてください,満足感が勇気を育むまで,75,8,手に入れた資産の一部をさらなる自己研鑽のために投資し、自分の稼ぐ力を永続的に高め続けるための仕組みを今日作る
TRANSIT_SUN,NATAL_SUN,0,General,2,Earth,0,Applying,実務的な資産管理の才能が太陽に照らされ、揺るぎない経済的基盤を構築するための絶好のチャンスが訪れています。接近中の今は収支を徹底的に精査し、完璧な資産運用計画を立てる準備を整えてください,正確さが富を支える日まで,90,10,全ての負債を整理し、将来の大きな買い物のための積立を自動化するシステムを銀行口座で今日中に設定する
