ヘッド星座,ヘッドハウス,テール星座,テールハウス,要約,解釈文,注意点,伸ばすテーマ,成長のコツ,仕事での出方,対人での出方,優先度,タグ
Aries,1,Libra,7,他者基準から自分基準へ戻る軸,他人に合わせて自分を決める傾向を手放し自分の意思で人生を始めることが成長テーマです,相手に合わせすぎること,自分で決めて動くこと,協調を失わず主体性を持つ,独立性の高い仕事で伸びやすい,対等さの中で自己主張を学ぶ,100,成長軸|自立|主体性
Aries,2,Libra,8,共有依存から自己価値形成へ向かう軸,他者との結びつきや共有資源に価値を委ねすぎず自分の力で価値を築くことが重要です,相手の評価や共有資源への依存,自力で価値と収入を育てること,関係性を保ちながら自分の足場を作る,自営業や成果主義分野で力を発揮,依存ではなく自立した結びつきが鍵,98,成長軸|価値|自立
Aries,3,Libra,9,正しさへの同調から自分の言葉へ向かう軸,整った思想や他人の正論に従うだけでなく自分の考えを率直に言葉にすることが課題です,無難で整った意見に逃げること,自分の視点を言語化すること,礼節を保ちながら率直に話す,営業や発信分野で伸びやすい,本音を言える関係が育ちやすい,96,成長軸|発信|知性
Aries,4,Libra,10,評価基準の生き方から内的基盤へ戻る軸,外からどう見られるかに振り回されず自分自身の安心できる土台を主体的に築くことが重要です,社会的評価に合わせすぎること,自分の居場所を自分で作ること,評価より安心を優先する,在宅基盤や個人事業で安定しやすい,家族関係で主体性を持つことが鍵,96,成長軸|基盤|安心
Aries,5,Libra,11,集団調和から個人表現へ向かう軸,仲間の空気や理想に合わせるだけでなく自分の情熱や創造性を前に出すことがテーマです,周囲の期待に合わせすぎること,好きなことを自分の意志で表現すること,協調の中でも個性を失わない,創作や企画分野で力を出しやすい,恋愛では率直さが魅力になる,97,成長軸|創造|自己表現
Aries,6,Libra,12,受け身の癒しから能動的実務へ向かう軸,曖昧な優しさや受け身の共感にとどまらず自分から働きかけ日常を整えることが成長につながります,曖昧さの中に逃げること,自分から改善と実行を行うこと,優しさを具体的な行動へ変える,実務や改善の仕事で成長しやすい,助け合いの中でも主体性を保つ,96,成長軸|仕事|実行
Aries,7,Libra,1,自己完結から対等な関係へ向かう軸,自分一人で進みすぎる傾向を調整しながら対等なパートナーシップの中で主体性を育てる軸です,独断的に進みすぎること,相手と向き合いながら意思を示すこと,自立と協力を両立する,共同事業や交渉で伸びやすい,対等で率直な関係が鍵,100,成長軸|対人|主体性
Aries,8,Libra,2,安定執着から深い共有へ向かう軸,自分の所有や安心だけに固執せず深い関係や共有の中で変化に飛び込むことが成長を促します,自分の安全圏に閉じること,信頼して共有と変容を受け入れること,安定を土台に深さへ進む,金融や研究分野で成長しやすい,親密さの中で勇気を学ぶ,98,成長軸|変容|信頼
Aries,9,Libra,3,情報調整から信念行動へ向かう軸,表面的な情報調整にとどまらず自分の信念を持って広い世界へ踏み出すことが重要です,無難な情報収集だけで終わること,信じるものに基づいて挑戦すること,知識を行動へ変える,教育や海外分野で力を発揮,価値観を語れる関係が育つ,97,成長軸|探求|挑戦
Aries,10,Libra,4,内向き安定から社会的自立へ向かう軸,身内や安心圏にとどまるだけでなく社会の中で自分の役割を引き受けることが人生テーマです,内輪の安心に留まること,自分の力で社会に立つこと,安心を持ちながら外へ出る,管理職や独立分野で伸びやすい,家庭と社会の両立が鍵,99,成長軸|社会|自立
