theme_id,role,label,summary,section5_text,section8_text,problem_text,growth_text,tags
node_gemini_2h_direction,direction,知識を価値に変える方向性,理想や依存に偏るのではなく知識や言葉を具体的な価値へ変えることが成長方向です。,情報収集や言語化を通じて知識を価値に変換し個人の資産として積み上げていく流れが強まります。,知識や言葉を価値と収入に結びつけ積み上げることが人生の軸として定着していきます。,理想や他者に依存しすぎると自分の基盤が不安定になります。,知識や言葉を収入や価値に変えることで安定が生まれます。,direction;node;gemini;2house;value
node_sagittarius_8h_direction,direction,真実探求と深い変容の方向性,表面的な情報ではなく本質的な理解と深い共有に向かうことが成長方向です。,深い関係や共有領域に踏み込みながら信念と理解を拡張していく方向へ引き込まれます。,深い関係や共有領域に踏み込み信念と理解を更新し続けることが人生の結論として定着していきます。,浅い理解や表面的な関係に留まりやすい傾向があります。,本質を追求し深い関係性を築くことで成長が進みます。,direction;node;sagittarius;8house;truth
node_capricorn_10h_direction,direction,社会的責任と達成の方向性,個人的感情よりも社会的役割や責任を引き受けることが成長方向です。,責任と役割を引き受けながら社会的評価と実績を積み上げていく流れが形成されます。,社会的責任を引き受け実績と地位を積み上げることが人生の到達点として明確になります。,感情や安心領域に留まりすぎると成長が止まります。,責任ある立場に挑戦することで大きく成長できます。,direction;node;capricorn;10house;career
node_aries_1h_direction,direction,自己確立と主体性の方向性,他者に合わせるのではなく自分の意思で動くことが成長方向です。,自分の意思で決断し行動を起こすことで流れが動き出します。,自分の意思で決断し行動を起こすことが人生を進める基本姿勢として確立されます。,他者優先になりすぎると自分を見失います。,自分の意思で選択することが成長につながります。,direction;node;aries;1house;self
saturn_6h_overwork_conflict,conflict,過剰な責任と疲弊の葛藤,役割や責任を背負いすぎて自分を追い込みやすいテーマです。,作業量や責任を抱え込み過ぎて負荷が偏りやすく業務配分の再調整が常に求められます。,負荷の偏りを調整し持続可能な働き方を確立することが人生の課題として残ります。,責任を背負いすぎることで慢性的な疲労やストレスが生じやすいです。,適切に力を抜き効率化することで安定した成長につながります。,conflict;saturn;6house;overwork
saturn_10h_pressure_conflict,conflict,社会的プレッシャーの葛藤,評価や成果に対するプレッシャーが強くのしかかるテーマです。,評価や成果に過度に意識が集中し外的基準に縛られやすい状態が続きます。,外的評価への依存を手放し自分基準で成果を捉えることが人生の課題として残ります。,失敗への恐れが強く挑戦を避ける傾向があります。,自分なりの基準を持つことでプレッシャーを乗り越えられます。,conflict;saturn;10house;pressure
saturn_7h_relationship_block,conflict,対人関係における距離の葛藤,人との関係で壁を作りやすく距離感に悩みやすいテーマです。,対人関係で防御が強くなり距離が固定化しやすく関係構築が停滞しやすい状態が生じます。,防御を緩め安心して関係を築くことが人生の課題として残ります。,拒絶される恐れから距離を取りすぎる傾向があります。,少しずつ信頼関係を築く経験が成長につながります。,conflict;saturn;7house;relationship
pluto_7h_control_conflict,conflict,対人関係における支配と執着の葛藤,親密な関係ほど極端さや支配欲が出やすいテーマです。,対人関係で主導権を握ろうとする力が強く働き関係のバランスが崩れやすくなります。,主導権への執着を手放し対等な関係を維持することが人生の課題として残ります。,失う恐れからコントロールしようとする傾向があります。,相手を尊重し手放すことで関係が安定します。,conflict;pluto;7house;control
pluto_8h_intensity_conflict,conflict,極端な感情と深さの葛藤,物事を極端に捉えやすく感情の振れ幅が大きくなるテーマです。,感情や関係が極端に振れやすく安定した状態を維持しにくい揺れが続きます。,極端さを統合し安定した関係と感情を扱うことが人生の課題として残ります。,白黒思考になりやすく疲弊しやすいです。,中庸を意識することで安定が生まれます。,conflict;pluto;8house;intensity
node_vs_sun_conflict,conflict,自己と成長方向のズレ,自分らしさと進むべき方向の間にズレが生じやすいテーマです。,自分の在り方と進行方向のズレが表面化し選択のたびに方向修正が必要になります。,本来の在り方と進む方向を一致させることが人生の課題として残ります。,現状維持に戻りやすい傾向があります。,違和感を受け入れ少しずつ方向へ寄せることで成長します。,conflict;node;sun;square
