planet1,planet2,aspect,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ,要約,解釈文,use_in_section,role,priority,conflict_weight,support_weight,direction_weight,section7_summary
Sun,Moon,conjunction,自分らしさと感情と安心の一体化,自分らしさと感情と安心が一体化し、感情が強まり過ぎて飲まれやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,公私を分けず自分の意思と感情をストレートに表現します,公私の境界なく自分の想いを仕事に反映させます,主観的な感情を客観的に見つめる習慣を持つこと,太陽の自分らしさと月の感情が一体化し、押しが強くなる。,自分らしさと感情と安心が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと月の感情が一体化し、押しが強くなる
Sun,Moon,sextile,自分らしさと感情と安心の協調,自分らしさと感情と安心が協力し、気持ちが落ち着きやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,自我と感情のバランスを保ち穏やかに他者と連携します,自我と感情を安定させ周囲と協調して働きます,現状の安定に甘んじず小さな変化を自ら起こすこと,太陽の自分らしさと月の感情が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと感情と安心が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと月の感情が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Moon,square,自分らしさと感情と安心の衝突,自分らしさと感情と安心がぶつかり、不安定さが増え、気分が揺れやすい。,自己葛藤による成長力,焦って動き、衝突やミスを招く,内面の葛藤を対人関係の改善や自己成長の糧にします,内面の葛藤をバネに課題を克服しながら成長します,内面的な葛藤を自己対話によって成長の糧に変えること,太陽の自分らしさと月の感情がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと感情と安心がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと月の感情がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Moon,trine,自分らしさと感情と安心の調和,自分らしさと感情と安心が自然に調和し、安心感が保ちやすい。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,自然体で裏表のない振る舞いが周囲に安心感を与えます,自然体な振る舞いでスムーズに職務を遂行します,調和のとれた状態を維持しつつ自分の才能を外へ広げること,太陽の自分らしさと月の感情が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと感情と安心が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと月の感情が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Moon,opposition,自分らしさと感情と安心の対立,自分らしさと感情と安心が向かい合い、不安定さが増え、気分が揺れやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,他者と向き合うことで自分の意思と感情を客観的に捉えます,客観的な視点を持って自分と周囲を調整します,極端な感情の揺れを自覚し中庸のバランスを学ぶこと,太陽の自分らしさと月の感情が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと感情と安心が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと月の感情が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Mercury,conjunction,自分らしさと思考と言葉の一体化,自分らしさと思考と言葉が一体化し、思考が強まり偏りやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,自分の考えに自信を持ち知的なリーダーシップを発揮します,自分の考えと言葉を一致させ強力に推進します,主観的な思い込みを排し論理的な視点を取り入れること,太陽の自分らしさと水星の思考が一体化し、押しが強くなる。,自分らしさと思考と言葉が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと水星の思考が一体化し、押しが強くなる
Sun,Mercury,sextile,自分らしさと思考と言葉の協調,自分らしさと思考と言葉が協力し、言葉が届きやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,知性と意思を調和させ円滑なコミュニケーションを図ります,知性と意思を連携させ効率的に実務をこなします,自分の考えを整理し具体的な行動計画に落とし込むこと,太陽の自分らしさと水星の思考が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと思考と言葉が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと水星の思考が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Mercury,square,自分らしさと思考と言葉の衝突,自分らしさと思考と言葉がぶつかり、考えが硬くなり、言葉が刺さりやすい。,批判的思考による深化,焦って動き、衝突やミスを招く,議論を通じて思考の癖を修正し知的な絆を深めます,深い思考で課題を掘り下げ知的な枠組みを広げます,知的な偏りを自覚し反対意見にも耳を傾けること,太陽の自分らしさと水星の思考がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと思考と言葉がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと水星の思考がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Mercury,trine,自分らしさと思考と言葉の調和,自分らしさと思考と言葉が自然に調和し、考えが通りやすい。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,豊かな表現力と論理的な思考で周囲を惹きつけます,豊かな表現力と論理を駆使して成果を広めます,豊かな知性を独り占めせず周囲の教育や支援に活かすこと,太陽の自分らしさと水星の思考が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと思考と言葉が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと水星の思考が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Mercury,opposition,自分らしさと思考と言葉の対立,自分らしさと思考と言葉が向かい合い、考えが硬くなり、言葉が刺さりやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,他者の意見を尊重しつつ多角的な視点で社交を広げます,多角的な視点を取り入れつつ対外的な交渉を担います,情報の海に溺れず自分なりの確固たる信念を持つこと,太陽の自分らしさと水星の思考が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと思考と言葉が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと水星の思考が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
