Aspect_Logic_ID,T_Planet,N_Planet,Aspect_Angle,Category,N_House,N_Sign_Element,T_Retrograde_Flag,Orb_Status,Text_Description,Countdown_Label,Countdown_ID,Essential_Dignity_Score,Score_Impact,Priority,timeline_advise,Decision_Flag,Sync_Flag,Noise_Flag,Pressure_Score
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Fire,0,Applying,知性とアイデンティティが統合され、自己表現への意欲が最高潮に達する時期です。直感的な閃きを具体的な計画に落とし込む準備に適しています。あなたの言葉が周囲に強い影響を与え、新しい可能性を切り拓くエネルギーに満ち溢れています。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,5,66,8,自分のやりたいことへの考えがまとまり、スムーズな意思表明や自己主張ができます。,1,0,0,-16
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Fire,1,Applying,知性が内向きになる中で、本来の自分自身を見つめ直す重要な時期です。逆行中の今は、過去の計画を再考し、見落としていた自分の本音を再発見するチャンスです。焦って進むよりも、内面的な対話を通じて目的意識を純化させることに時間を使ってください。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,5,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Earth,0,Applying,現実的な思考と自己の目的が合致し、目標達成に向けた具体的な道筋が見えやすくなる時期です。細部まで練り上げた計画を構築し、着実に実行するための基盤を整えるのに適しています。論理的な判断力が冴え渡り、周囲からの信頼も厚くなるでしょう。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,-1,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Earth,1,Applying,現実的な判断が慎重になる中で、過去の仕事や習慣を徹底的に見直す時期です。逆行中の今は、以前断念した計画を再考し、より堅実な形に修復する機会に恵まれます。細かな数字や手順の遅延は、将来の大きなミスを防ぐための必要な点検だと捉えてください。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,-1,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Air,0,Applying,社交性と知的好奇性が最大限に発揮され、多角的な視点で自分を表現できる時期です。新しい情報を積極的に収集し、多様な人々と対話することで、自己の可能性を広げる準備に適しています。軽やかなコミュニケーションが、未来の扉を開く鍵となるでしょう。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Air,1,Applying,言葉の重みが増す中で、過去の発言や人間関係を丁寧に見つめ直す時期です。逆行中の今は、疎遠になっていた友人との再会や、古い連絡事項の再確認が大きな発見をもたらします。誤解を解き、本質的な繋がりを再構築するための対話を大切にしてください。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Water,0,Applying,感受性と知性が融合し、心の奥底にある想いを言葉にする力が高まる時期です。自分の内面的な感情を深く見つめ、それを共感可能な表現に昇華させる準備に適しています。情緒豊かなコミュニケーションが周囲の心を動かし、深いレベルでの自己理解が進むでしょう。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,-2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_1_GENERAL_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,1,Water,1,Applying,感情の海に深く潜る中で、過去に置き去りにした記憶や想いを再発見する時期です。逆行中の今は、忘れかけていた夢や幼い頃の感性を思い出し、現在の自分を癒やすための再考を行ってください。遅延によって浮上する古い感情が、真の自己表現を呼び覚ますでしょう。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,-2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Fire,0,Applying,金銭的な可能性に対する意欲が知性と結びつき、収益拡大に向けた情熱的なアイデアが湧く時期です。自分の才能を価値に変えるための大胆な計画を練り、積極的に情報を収集するのに適しています。直感的な閃きを論理的に構成し、経済的な自立への一歩を踏み出しましょう。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,5,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Fire,1,Applying,金銭面での見直しが必要になる中で、過去の支出習慣を情熱的に再考する時期です。逆行中の今は、以前失敗した投資や無駄だった買い物を振り返り、改善策を練る絶好のチャンスです。遅延によって生じる余裕を活かし、より賢明な価値基準を自分の中に再構築してください。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,5,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Earth,0,Applying,現実的な金銭管理能力と自己の目的が合致し、長期的な資産形成の計画が具体化する時期です。収支の細部まで厳密に把握し、着実に資産を増やすための論理的な仕組みを構築するのに適しています。地に足のついた思考が、揺るぎない経済的安定を築く助けとなるでしょう。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,-1,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Earth,1,Applying,金銭面での慎重な再点検が求められる中で、古い資産や負債の問題を解決する時期です。逆行中の今は、過去の契約書類を精査し、見落としていた権利や義務を再発見するのに適しています。遅延を厭わず、細部まで徹底的に復習することが、将来の損失を未然に防ぐ鍵となります。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,-1,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Air,0,Applying,金銭に関する情報収集力と交渉力が高まり、多様な収入源の可能性が広がる時期です。市場のトレンドを分析し、新しいビジネスモデルや投資のヒントを軽やかに取り入れるのに適しています。知的なやり取りが経済的なチャンスを呼び込み、自己の価値を最大化できるでしょう。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Air,1,Applying,金銭に関するコミュニケーションに再考が促される中で、過去の契約や収益モデルを再考する時期です。逆行中の今は、以前に聞き流していた有益な情報を掘り起こし、現在の状況に合わせて調整する機会に恵まれます。遅延を活かして、より透明性の高い金銭計画を再構築してください。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Water,0,Applying,金銭に対する感受性と知性が融合し、心の満足度に基づいた経済的な直感が高まる時期です。自分の価値観に真に合致する投資や支出の形を模索し、情緒的な充足感を得るための準備に適しています。直感的な閃きを信じることで、心豊かな資産形成の道が開けるでしょう。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,-2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_2_MONEY_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,Money,2,Water,1,Applying,金銭に対する執着や記憶が浮上する中で、過去の経済的な失敗を情緒的に再考する時期です。逆行中の今は、以前抱いたお金への不安や後悔を優しく見つめ直し、現在の価値観で癒やすチャンスです。遅延によって得られる心の余裕が、真の豊かさを引き寄せるための準備となります。,,MONEY_INCOME_CHANCE_MERCURY_SHORT_POS,-2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_3_GENERAL_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,3,Fire,0,Applying,近隣関係や日常のコミュニケーションにおいて、知性とアイデンティティが力強く表現される時期です。好奇心を原動力に新しい知識を吸収し、周囲と情熱的な対話を交わす準備に適しています。あなたの言葉が新しい発見を呼び込み、日常を彩る活発なエネルギーを生み出すでしょう。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,5,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_3_GENERAL_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,3,Fire,1,Applying,身近な情報環境に再考が促される中で、過去の学習やコミュニケーションを見つめ直す時期です。逆行中の今は、以前挫折した学びを再開したり、昔の知り合いと連絡を取ったりするのに適しています。遅延によって得られる時間を活かして、知識の基礎を固め、自分自身を再定義してください。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,5,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_3_GENERAL_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,3,Earth,0,Applying,実務的な学習能力と自己の目的が合致し、日常的なタスクを効率化するための具体的な知恵が湧く時期です。手順の細部を論理的に構成し、着実な成果を上げるための準備に適しています。堅実な思考が周囲からの信頼を集め、あなたの知的な基盤を強固にする助けとなるでしょう。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,-1,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_3_GENERAL_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,3,Earth,1,Applying,日常的な手順の見直しが求められる中で、過去の仕事や習慣を徹底的に再考する時期です。逆行中の今は、以前作成したマニュアルや計画書を精査し、改善点を発見するのに適しています。遅延を厭わず、細部まで徹底的に復習することが、将来の大きなミスを未然に防ぐ鍵となります。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,-1,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_3_GENERAL_0_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,3,Air,0,Applying,知的好奇心が最大限に発揮され、日常的な交流において多彩な情報を軽やかに操れる時期です。新しい情報を積極的に収集し、多くの人々と対話することで、自己の可能性を広げる準備に適しています。多角的な視点が新しいアイデアを呼び込み、あなたの日常を活気づけるでしょう。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,2,66,8,-,1,0,0,-
TRANSIT_MERCURY_NATAL_SUN_0_3_GENERAL_1_Applying,TRANSIT_MERCURY,NATAL_SUN,0,General,3,Air,1,Applying,言葉の重みが増す中で、過去の発信や身近な人間関係を丁寧に見つめ直す時期です。逆行中の今は、疎遠になっていた友人との再会や、古い情報の再確認が大きな発見をもたらします。誤解を解き、本質的な繋がりを再構築するための対話を大切にすることで、自己の軸が再確立されます。,,GENERAL_LEARNING_OPEN_MERCURY_SHORT_POS,2,66,8,-,1,0,0,-
