ハウス,テーマ,サブテーマ1,サブテーマ2,サブテーマ3,意味,人生テーマ文,補足文,注意ニュアンス
1,自己,第一印象,生き方,スタート,自分らしさや第一印象、人生への向かい方を示す領域。,1ハウスが強い人は、自分らしさを外へ出しながら人生を切り開いていくことがテーマになりやすいです。,周囲にどう見られるかだけでなく、自分からどう動き出すかに個性が表れます。,自分を出す力が強まりすぎると、周囲との歩調よりも自己主張が先に立ちやすくなります。
2,所有,お金,才能,価値観,自分の資質や才能、安心できる基盤、現実的な価値を築く領域。,2ハウスが強い人は、自分の才能や価値観を育て、安定した土台を形にすることがテーマになりやすいです。,お金や持ち物だけでなく、自分にとって何が大切かを確かめる力に関わります。,安定を求めすぎると、変化を避けたり、手放すべきものを抱え込みやすくなります。
3,学習,言葉,身近な環境,情報,学び方や伝え方、身近な人とのやり取り、情報処理のスタイルを示す領域。,3ハウスが強い人は、言葉や学び、情報のやり取りを通して世界を広げることがテーマになりやすいです。,日常会話、学習、発信、近い距離でのコミュニケーションに個性が表れます。,情報を追いすぎると考えが散らばり、深く決める前に次へ移りやすくなります。
4,基盤,家庭,居場所,内面,心の土台や家庭環境、安心できる居場所、内面的な根を示す領域。,4ハウスが強い人は、安心できる居場所や心の土台を整えることが人生の支えになりやすいです。,家庭や住まいだけでなく、自分が落ち着ける内側の基盤に関わります。,安心を守ろうとしすぎると、外へ踏み出す力が弱まりやすくなります。
5,創造,表現,恋愛,楽しみ,自分らしさを楽しみながら表現し、創造性や喜びを外へ出す領域。,5ハウスが強い人は、創造性や楽しさを通して、自分らしさを表現することがテーマになりやすいです。,趣味、恋愛、創作、遊び心など、自分が心から楽しめることに力が宿ります。,楽しさを優先しすぎると、継続や責任が後回しになりやすくなります。
6,仕事,役割,改善,習慣,日々の仕事や習慣、健康管理、役割への貢献を通して、自分を整え成長させる領域。,6ハウスが強い人は、日々の仕事や習慣を整え、誰かの役に立つ形へ磨いていくことが人生テーマになりやすいです。,実務、改善、生活リズム、健康管理など、日々の積み重ねに力が表れます。,整えようとする力が強まりすぎると、完璧を求めすぎたり負担を抱え込みやすくなります。
7,対人,パートナー,契約,他者,一対一の関係性やパートナーシップ、契約、他者との向き合い方を示す領域。,7ハウスが強い人は、他者との関係を通して自分を知り、協力や対話の中で人生を進めることがテーマになりやすいです。,恋愛や結婚だけでなく、仕事上の相手、契約、対話の姿勢にも関わります。,相手に合わせすぎると、自分の本音や判断が見えにくくなりやすいです。
8,深い結びつき,共有,変容,継承,他者との深い関係、共有するもの、受け継ぐものを通して、価値観や生き方が変化していく領域。,8ハウスが強い人は、人との深い関わりや共有を通して、自分だけでは得られない変化や成長を経験しやすいです。,信頼、共有財産、継承、心理的な結びつきなど、表面的ではない関係性に関わります。,深く関わりすぎると、相手の問題まで背負ったり、関係が重くなりやすくなります。
9,探求,哲学,海外,専門知識,世界を広げる学びや思想、専門知識、遠くへの関心を示す領域。,9ハウスが強い人は、学びや探求を通して視野を広げ、自分なりの信念を育てることがテーマになりやすいです。,高等学問、哲学、海外、専門分野など、より大きな世界へ向かう力に関わります。,理想や正しさを追いすぎると、足元の現実や身近な人との感覚がずれやすくなります。
10,社会,達成,肩書,評価,社会的役割や到達点、仕事上の看板、周囲から評価されるテーマを示す領域。,10ハウスが強い人は、社会の中で役割を持ち、成果や責任を形にすることがテーマになりやすいです。,キャリア、肩書き、評価、責任ある立場など、公的な場での見え方に関わります。,成果を求めすぎると、肩書きや評価に縛られ、自分の休息や本音が後回しになりやすいです。
11,未来,仲間,ネットワーク,理想,仲間とのつながりや未来志向、ネットワーク、社会への広がりを示す領域。,11ハウスが強い人は、仲間やネットワークを通して、未来の理想を広げていくことがテーマになりやすいです。,友人、コミュニティ、チーム活動、共通のビジョンに関わります。,理想や仲間意識が強すぎると、個人的な感情や目の前の責任が置き去りになりやすいです。
12,無意識,癒し,見えない領域,手放し,無意識や見えない世界、癒し、浄化、手放しを示す領域。,12ハウスが強い人は、目に見えない感情や疲れを整え、内側を癒すことが人生の支えになりやすいです。,休息、夢、直感、孤独な時間、心の整理など、外から見えにくい領域に関わります。,境界が曖昧になると、他人の感情を抱え込みすぎたり、現実的な行動が遅れやすくなります。
