planet,house,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ,要約,解釈文
Sun,1,自己と存在感,人生の中心テーマが自分自身や自己表現に強く現れる,主体性 存在感 行動力,自己中心的になりやすい,自分らしさが前面に出やすい,個人の裁量が大きい場で力を発揮,他者視点を取り入れる,,
Sun,2,価値と安定,収入や自己価値、所有に人生の焦点が向く,安定感 現実性 継続力,所有や安心への執着,信頼感のある落ち着いた関わり方,資産管理 実務 継続業務に強い,内面的価値も育てる,,
Sun,3,知識と発信,学習やコミュニケーションを通じて自己を表現,学習力 発信力 柔軟性,浅く広くになりやすい,会話を通じて存在感を示す,情報発信 教育 営業で活躍,一つの分野を深める,,
Sun,4,家庭と基盤,家庭やルーツが人生の中心になる,保護力 安定志向 内面の深さ,身内意識が強くなりやすい,安心できる相手に深く心を開く,基盤づくりや長期運営に向く,自立と安心の両立を学ぶ,,
Sun,5,創造と自己表現,創造活動や自己表現で輝く,創造性 表現力 明るさ,承認欲求が強まりやすい,華やかで印象に残りやすい,企画 芸術 エンタメで輝く,結果より楽しんで表現する,,
Sun,6,仕事と実務,仕事や実務能力が人生テーマ,誠実 実務力 改善力,完璧主義 自己評価の厳しさ,役に立つことで信頼される,管理 医療 事務 改善業務に強い,自分を労わる習慣を持つ,,
Sun,7,関係と協調,人間関係やパートナーを通して自己を知る,協調性 客観性 対人感覚,相手軸になりやすい,一対一の関係で魅力が出る,交渉 接客 共同業務に向く,自分の意思も明確にする,,
Sun,8,変容と深さ,深い心理変化や人生の転機を経験,洞察力 再生力 精神的強さ,極端さ 執着,深い関係を求めやすい,調査 研究 金融 心理分野に強い,手放しと信頼を覚える,,
Sun,9,探求と拡大,哲学や海外、学問を通じて人生を広げる,探求心 理想 視野の広さ,現実感が薄くなりやすい,自由で率直な関わり方,教育 出版 海外分野で活躍,理想を現実に落とし込む,,
Sun,10,社会と達成,社会的成功やキャリアが人生テーマ,責任感 目標意識 統率力,肩書や評価に縛られやすい,頼れる存在として見られる,管理職 経営 専門職で力を発揮,成果以外の自己価値も認める,,
Sun,11,仲間と未来,コミュニティや未来志向の活動で活躍,友愛精神 発想力 ネットワーク力,距離感が淡白になりやすい,仲間の中で個性を発揮する,企画 IT コミュニティ運営に向く,理想を具体的行動に変える,,
Sun,12,精神と内面,内面や精神世界を探求する人生,共感力 想像力 受容性,自己不明瞭 受け身,静かに相手を包み込む,支援 芸術 研究の裏方で力を発揮,一人時間で自己理解を深める,,
Moon,1,感情と自己表現,感情が表に出やすく人に影響を与える,感受性 素直さ 親しみやすさ,気分が表情に出やすい,感情表現が率直でわかりやすい,接客 対人支援で親近感を生む,感情の波を客観視する,,
Moon,2,安心と所有,物質的安定が感情の安心につながる,安定感 忍耐 五感の豊かさ,変化への不安,安心感を与える関わり方,安定職 資産管理 食や美容分野に向く,安心の基準を広げる,,
