星座名,英語名,元素,区分,支配星,キーワード1,キーワード2,キーワード3,意味
牡羊座,Aries,火,活動,火星,行動,開始,突破,まっすぐに動き出し、自分で道を切り開こうとするエネルギーを持つ星座。
牡牛座,Taurus,地,不動,金星,安定,維持,感覚,安心できる基盤を作り、五感で確かめながら着実に積み上げていく星座。
双子座,Gemini,風,柔軟,水星,言葉,情報,好奇心,情報を集め、軽やかにやり取りしながら理解を広げていく星座。
蟹座,Cancer,水,活動,月,感情,保護,家庭,大切なものを守り育て、安心できる居場所を築こうとする星座。
獅子座,Leo,火,不動,太陽,表現,誇り,創造,自分らしさを堂々と表現し、人生を創造的に生きようとする星座。
乙女座,Virgo,地,柔軟,水星,分析,調整,改善,物事を丁寧に観察し、整え、より良い形へ改善しようとする星座。
天秤座,Libra,風,活動,金星,調和,対人,美意識,人との関係性や全体のバランスを見ながら調和を作る星座。
蠍座,Scorpio,水,不動,冥王星,深さ,集中,変容,表面的ではない深い結びつきや本質に向かおうとする星座。
射手座,Sagittarius,火,柔軟,木星,探求,自由,理想,広い世界へ意識を向け、意味や可能性を探し続ける星座。
山羊座,Capricorn,地,活動,土星,現実,責任,達成,現実の中で責任を果たしながら着実に形を作っていく星座。
水瓶座,Aquarius,風,不動,天王星,独自性,改革,客観性,既存の枠を超えて新しい視点や仕組みを生み出そうとする星座。
魚座,Pisces,水,柔軟,海王星,共感,境界の薄さ,癒し,境界を越えて感じ取り、共感やイメージの世界に開かれた星座。
