Template_ID,Cluster_ID,Year_ID,Event_Type,Valid_From,Peak_At,Valid_To,Carryover_Flag,Participating_Planets,Sign_Signature,Aspect_Signature,Anchor_Planet,Anchor_Solar_House,Anchor_Natal_House,Personalization_Mode,House_Token_Planets,Date_Source,Date_Key,Date_Precision,Section_Order,Priority,Title,Paragraph_Template,Tags,Active_Flag
2026_SATURN_NEPTUNE_CONJUNCTION_N01,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,1,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,自らの輪郭を再定義し、新たな生き方の基盤を築く,{event_date}頃、あなたの第1ハウスで土星と海王星が重なり合います。これまで抱いてきた曖昧な自己像や他者への過度な遠慮が薄れ、「自分は何者として生きるか」という根源的な問いに向き合う時期を迎えます。漠然とした理想を単なる憧れで終わらせず、日々の振る舞いや選択を通じて現実の形へと落とし込んでいく覚悟が定まります。周囲の期待に応えるだけの生き方から一歩踏み出し、自らの本音に根ざした規律ある生活を始めることで、これからの長い旅路を支える確固たる自己基盤が静かに立ち上がっていくでしょう。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N02,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,2,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,確固たる才能を磨き、現実的な経済基盤を整える,{event_date}頃、あなたの第2ハウスで土星と海王星が重なり合います。金銭感覚や自らの才能に対する漠然とした不安が解消され、「自らの手で何を価値に変えていくか」という現実的なテーマに光が当たります。目先の損得や一時的な収入にとらわれず、長年にわたって役立つ本物の実力や専門技術を地道に磨き上げることが大切です。手元の資産や収入の仕組みを丁寧に整理し、身の丈に合った健全な運用を心がけることで、将来にわたって揺らがない経済的な安心感が着実に築かれていきます。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N03,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,3,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,思考と対話を研ぎ澄まし、本質的な知識を深める,{event_date}頃、あなたの第3ハウスで土星と海王星が重なり合います。表面的な情報や雑多なコミュニケーションが自然と整理され、本当に学ぶべき知識や伝えるべき言葉が明確になっていきます。ただ知識を集めるだけでなく、実生活や仕事の現場で生かせる確かな知恵へと昇華させる姿勢が大切です。身近な人々との対話においても、曖昧な言い回しを避け、丁寧で誠実な言葉選びを意識してください。思考の筋道を一つずつ整えていく地道な積み重ねが、周囲との深い相互理解と揺るぎない信頼を育みます。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N04,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,4,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,心の拠り所を整え、安心できる生活基盤を再構築する,{event_date}頃、あなたの第4ハウスで土星と海王星が重なり合います。住まいや家族関係、自らの心の根底にある安心感の土台を見つめ直し、居心地の良い基盤を再構築していく流れが始まります。過去のしがらみや無理に保っていた家族間の役割を手放し、互いに無理のない距離感と暮らしのルールを整えることが肝要です。住環境の整理や生活のリズム改善にじっくりと時間をかけることで、外の世界で挑戦するための揺るぎない安心感が生まれ、内面から健やかな活力が湧き上がってくるでしょう。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N05,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,5,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,純粋な情熱と創造性を、責任を持って確かな形にする,{event_date}頃、あなたの第5ハウスで土星と海王星が重なり合います。純粋な創作意欲や趣味、自己表現のテーマにおいて、「本当に自分が心から楽しめるものは何か」を深く掘り下げる時期となります。一過性の気まぐれや他者からの承認を求める表現ではなく、長きにわたって愛せる作品や活動に腰を据えて取り組むことが大切です。好きなことだからこそ手間と時間を惜しまず、細部まで丁寧に作り込むことで、あなたの独自の感性が周囲に認められ、確固たる実績や生きがいへと結実していきます。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N06,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,6,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,日々の生活習慣を整え、持続可能な実務基盤を確立する,{event_date}頃、あなたの第6ハウスで土星と海王星が重なり合います。日々の働き方や家事、生活習慣の全般において、無理な負担や不健康な生活リズムを根本から見直す好機が訪れます。他者の仕事まで抱え込む過剰な責任感を手放し、自分の身体と心が健全でいられる作業手順を冷静に組み立て直してください。睡眠や休息を日々の予定に確実に確保し、身体のメンテナンスを丁寧に行うことが大切です。日々の小さな規律を誠実に積み重ねる姿勢が、年間を通じた安定した成果と健やかさを支えます。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N07,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,7,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,対等な関係を築き、誠実なパートナーシップを結ぶ,{event_date}頃、あなたの第7ハウスで土星と海王星が重なり合います。一対一の対人関係やパートナーシップにおいて、曖昧だった境界線や暗黙の了解を整理し、対等で誠実な関係を築き直す時期を迎えます。相手に過度な期待を押し付けたり、逆に自分を押し殺して合わせたりする関係を卒業し、お互いの自立を尊重した協力関係を築くことが大切です。大切な相手とこれからの約束事や役割分担を率直に対話することで、表面的なつながりを超えた、生涯にわたる深い信頼関係が確立されていきます。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N08,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,8,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,深い結びつきを見つめ直し、共有の資産や役割を整理する,{event_date}頃、あなたの第8ハウスで土星と海王星が重なり合います。他者との共有財産や契約関係、親密な間柄における責任の分担について、根本的な整理と再構築が促されます。感情的なしがらみや曖昧になっていた金銭の取り決めを一つずつ確認し、透明性の高いルールを定めていくことが肝要です。不要になった過去の執着や義務感を思い切って手放すことで、本当に受け継ぐべき大切な信頼や資源に集中できるようになり、精神的にも深い安定と再生の力を得ることができます。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N09,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,9,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,人生の理念を深め、確かな専門性と視野を獲得する,{event_date}頃、あなたの第9ハウスで土星と海王星が重なり合います。自らの人生観や専門分野の探求において、抽象的な理想を実践的な知識や体系へと落とし込んでいく段階に入ります。興味のおもむくままに広げるだけでなく、腰を据えて一つのテーマや資格の習得に取り組むことで、真の実力が培われます。偏見や狭い視野を脱ぎ捨て、より広い世界や普遍的な哲学を学ぶ姿勢が、あなたの思考に深みをもたらし、将来の進路を迷わず切り拓くための確固たる羅針盤となるでしょう。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N10,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,10,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,社会的な役割を再定義し、長期的なキャリアの土台を築く,{event_date}頃、あなたの第10ハウスで土星と海王星が重なり合います。仕事や社会的な立場において、「自らが社会に果たすべき本質的な責任とは何か」を深く問い直す重要な節目となります。目先の地位や他人の評価に惑わされず、自分自身の理念と良心に恥じないキャリアの道を着実に歩む決意が固まります。任された責務に誠実に向き合い、地道な実績を積み重ねていくことで、一時的な流行に左右されない確固たる社会的信用と長年の評価を確立することができるでしょう。,conjunction;saturn;neptune;aries_point;reset,1
2026_SATURN_NEPTUNE_CONJUNCTION_N11,2026_SATURN_NEPTUNE_CONJUNCTION,2026,aspect_cluster,2026-01-01T00:00:00+09:00,,2026-12-31T23:59:59+09:00,0,SATURN|NEPTUNE,SATURN:ARIES|NEPTUNE:ARIES,SATURN-NEPTUNE:0,SATURN,ANY,11,anchor_house,SATURN|NEPTUNE,transit_calendar,,exact_day,10,100,志を同じくする仲間と出会い、未来への連帯を育む,{event_date}頃、あなたの第11ハウスで土星と海王星が重なり合います。交友関係や所属するコミュニティにおいて、表面的な付き合いが淘汰され、同じ志や価値観を共有できる真の仲間との結びつきが強まります。漠然とした夢を語り合うだけでなく、現実的な社会貢献や共通の目的に向けて建設的に協力し合う関係を大切にしてください。個々の自由を尊重しながらも誠実に連帯することで、これからの未来を共に歩むかけがえのないネットワークがしっかりと構築されていきます。,conjunction;saturn;neptune;aries_point;reset,1
