sheet_name,column_name,issue_description,suggestion,ai_function
node_sign_house,要約,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", 要約)"
node_sign_house,解釈文,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 解釈文)"
node_sign_house,成長のコツ,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 成長のコツ)"
node_sign_house,仕事での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 仕事での出方)"
node_sign_house,対人での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 対人での出方)"
node_axis,要約,データが未入力（空欄またはハイフンのみ）の状態です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", 要約)"
node_axis,解釈文,データが未入力（空欄またはハイフンのみ）の状態です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 解釈文)"
node_axis,伸ばすテーマ,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 伸ばすテーマ)"
node_axis,成長のコツ,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 成長のコツ)"
node_axis,仕事での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 仕事での出方)"
node_axis,対人での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 対人での出方)"
planet_sign,核となる意味,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 核となる意味)"
