Template_ID,Month_ID,Section_Order,Planet,Event_Type,Transit_Sign_From,Transit_Sign_To,Solar_House_From,Solar_House_To,Natal_House_From,Natal_House_To,Natal_House_At_Event,Date_Source,Date_Key,Date_Precision,Paragraph_Template,Priority,Active_Flag
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N01,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,1,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ移ると、内面で静かに力を蓄えていた時期が終わり、自分自身の存在感と本音を前面に出していく段階へ切り替わります。周囲の顔色をうかがって合わせるよりも、自らの純粋な意図を堂々と示すことで、活力と前進の勢いが戻ってくるでしょう。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N02,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,2,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}を境に、水面下で思考を巡らせていた流れから、自分の資質や実力を現実的な価値や収入へ結びつける段階へ進みます。目先の損得ではなく本当に大切にしたい基準を明確にすることで、経済的な基盤と自信をしっかりと固められます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N03,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,3,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移動することで、心の中で言葉を温めていた状態から、自らの確固たる意志を対話や情報発信に乗せる時期が始まります。表面的な世間話にとどまらず、本質を突いた誠実な対話を重ねるほど、身近な人々との間に深い信頼が築かれます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N04,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,4,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,静かに心身を休めていた流れは、太陽が天秤座から蠍座へ移る{event_date}から、安心できる居場所や私生活の基盤を主体的に整える方向へシフトします。家族や同居人とこれからの暮らし方について率直に話し合い、心の拠り所を固めることが外での活動への大きな力となります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N05,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,5,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ることで、胸の内に秘めていた創作意欲や情熱が、独自の自己表現として力強く外へ現れ始めます。周囲の評価を気にしすぎず、心から情熱を注げる趣味や作品作りに没頭することで、日常に豊かな彩りと喜びが満ちていきます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N06,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,6,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}以降、静かに体調を整えていた時期から、日々の業務や生活習慣を主体的に改善する段階へ切り替わります。無理なタスクを抱え込まず、効率的な手順と健康管理のリズムを整えることで、安定した作業効率と充実感を取り戻せます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N07,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,7,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ると、内面で対人関係を見つめ直していた状態から、特定の大切な相手と深く向き合う流れへ進みます。表面的な調和を保つための妥協を避け、対等な立場で互いの本音を共有し合うことで、揺るぎないパートナーシップが確立されます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N08,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,8,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽の天秤座から蠍座への移動が起こる{event_date}から、一人で抱えていた心理的な重荷を手放し、他者との深い信頼関係や共有リソースの再統合へ向かう流れが始まります。重要な取り決めや約束事を明確に確認し合うことで、精神的な安心感と再生の活力を得られます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N09,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,9,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ると、心の中で育んできた精神的な探究や理想を、具体的な学びや行動へと昇華させる段階が始まります。抽象的な思索にとどまらず、専門的な知見を深めて視野を広げることで、将来への確固たる指針と自信がしっかりと培われます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N10,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,10,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}を境に、舞台裏で準備を重ねていた流れから、社会的な責任や仕事上の役割を堂々と引き受ける方向へ移ります。周囲の期待に応えつつも自らの信念に基づいたリーダーシップを発揮することで、確固たる実績と信用を築けます。,100,1
