Template_ID,Year_ID,Planet,Transition_Type,Natal_House_From,Natal_House_To,Transition_Timing_Key,Transition_Paragraph,Active_Flag
2026_TRANS_SATURN_H01_STAY,2026,SATURN,stay,1,1,SATURN:stay:H01,土星は今年、年間を通じてあなたの第1ハウスに腰を据えます。目まぐるしい変化を起こすことよりも、自分自身のあり方や生き方のスタンスにじっくりと向き合い、持続可能なルールを築き上げることが求められる1年です。他者の評価に過度に左右されず、自らの信念に基づいた規律ある行動を積み重ねることで、周囲からも一目置かれる揺るぎない自己信頼が育まれていくでしょう。,1
2026_TRANS_SATURN_H02_STAY,2026,SATURN,stay,2,2,SATURN:stay:H02,土星は今年、年間を通じてあなたの第2ハウスに腰を据えます。金銭感覚や自らの才能の活かし方について、堅実で現実的な見直しを徹底する1年となります。一時的な儲け話や派手な消費を控え、長年にわたって価値を生み出し続ける確かな実力や専門技能を磨いてください。手元の資産や日々の収支を丁寧に点検し、身の丈に合った健全な運用を定着させることが将来の大きな安心につながります。,1
2026_TRANS_SATURN_H03_STAY,2026,SATURN,stay,3,3,SATURN:stay:H03,土星は今年、年間を通じてあなたの第3ハウスに腰を据えます。表面的な情報収集や雑多な対話を整理し、本当に身につけるべき知識や伝えるべき言葉を厳選していく1年です。思いつきで発言するのではなく、事実を確かめながら誠実に言葉を交わすことで、身近な人々との間に深い信頼が築かれます。地道な学習や実用的なスキルの習得に腰を据えて取り組むことが、日常の確かな力となります。,1
2026_TRANS_SATURN_H04_STAY,2026,SATURN,stay,4,4,SATURN:stay:H04,土星は今年、年間を通じてあなたの第4ハウスに腰を据えます。住まいや家族関係、自らの心の根底にある安心感の土台をじっくりと再構築していく1年となります。生活空間を使いやすく整えたり、家族との間で曖昧になっていた役割分担を明確にすることで、家庭内の風通しが良くなります。プライベートの地盤をしっかりと固めることが、外の世界へ向かうための何よりの活力となります。,1
2026_TRANS_SATURN_H05_STAY,2026,SATURN,stay,5,5,SATURN:stay:H05,土星は今年、年間を通じてあなたの第5ハウスに腰を据えます。純粋な創作意欲や趣味、自己表現のテーマにおいて、楽しみながらも責任を持って確かな形へ仕上げていく1年です。一過性の思いつきで終わらせず、細部まで丁寧に作り込むことで、あなたの独自の才能が周囲に認められ、確固たる実績へと育っていきます。好きなことに真摯に向き合う姿勢が、深い充実感と誇りをもたらすでしょう。,1
2026_TRANS_SATURN_H06_STAY,2026,SATURN,stay,6,6,SATURN:stay:H06,土星は今年、年間を通じてあなたの第6ハウスに腰を据えます。日々の働き方や生活習慣全般について、無理のない持続可能なルールを確立していく1年です。過剰な抱え込みをやめて業務手順を効率化し、睡眠や食事の時間を予定にあらかじめ確保してください。身体のメンテナンスを日々の最重要事項として位置づけ、生活のリズムを整えることが、安定した実務成果を支える基盤となります。,1
2026_TRANS_SATURN_H07_STAY,2026,SATURN,stay,7,7,SATURN:stay:H07,土星は今年、年間を通じてあなたの第7ハウスに腰を据えます。一対一の人間関係やパートナーシップにおいて、対等で誠実な関係を築き直す1年となります。相手に過度な期待を押し付けたり、自分を犠牲にして合わせる関係を卒業し、お互いの境界線を尊重し合いましょう。重要な約束事や役割分担を率直に対話して確認し合うことで、生涯を通じて頼れる強固な絆が確立されます。,1
2026_TRANS_SATURN_H08_STAY,2026,SATURN,stay,8,8,SATURN:stay:H08,土星は今年、年間を通じてあなたの第8ハウスに腰を据えます。他者との共有財産や契約関係、親密な間柄における責任の所在を根本から整理する1年となります。感情的なしがらみや曖昧になっていた金銭の取り決めを透明化し、不要になった古い義務感は手放してください。本当に受け継ぐべき信頼や資源に誠実に向き合うことで、精神的にも物質的にも揺るぎない土台が築かれます。,1
2026_TRANS_SATURN_H09_STAY,2026,SATURN,stay,9,9,SATURN:stay:H09,土星は今年、年間を通じてあなたの第9ハウスに腰を据えます。自らの人生観や専門分野の探求において、抽象的な理想を実践的な知識や体系へと落とし込んでいく1年です。興味をただ広げるだけでなく、腰を据えて一つの専門領域や学びに深く取り組むことで、本物の実力が培われます。高い理念を日々の行動指針として定着させる姿勢が、将来を照らす確固たる自信となるでしょう。,1
2026_TRANS_SATURN_H10_STAY,2026,SATURN,stay,10,10,SATURN:stay:H10,土星は今年、年間を通じてあなたの第10ハウスに腰を据えます。仕事や社会的な立場において、長期的なキャリアの礎を築き、確固たる社会的責任を果たす1年となります。目先の成果に一喜一憂せず、任された役割に誠実に向き合い続けることで、周囲からの揺るぎない信用と実績が確立されます。誇りと責任を持って自らの職務を全うすることが、将来の大きな飛躍を支える基盤となります。,1
2026_TRANS_SATURN_H11_STAY,2026,SATURN,stay,11,11,SATURN:stay:H11,土星は今年、年間を通じてあなたの第11ハウスに腰を据えます。交友関係や所属するコミュニティにおいて、表面的な付き合いを整理し、同じ志を持つ真の仲間との結びつきを深める1年です。漠然とした夢を語り合うだけでなく、現実的な社会貢献や共通の目標に向けて着実に協力し合いましょう。誠実な信頼に基づく仲間との連帯が、これからの未来を切り拓く心強い支えとなります。,1
