Date,Planet,Ecliptic_Longitude,Sign_ID,Degree_In_Sign,Retrograde_Flag,Sign_Ingress_Flag,Retrograde_Start_Flag,Retrograde_End_Flag,Station_Flag,Speed
2018-01-01,SUN,281.017374,CAPRICORN,11.017374,0,0,0,0,0,1.01884574
2018-01-01,MERCURY,258.439955,SAGITTARIUS,18.439955,0,0,0,0,0,0.98853098
2018-01-01,VENUS,279.153409,CAPRICORN,9.153409,0,0,0,0,0,1.25826718
2018-01-01,MARS,224.479041,SCORPIO,14.479041,0,0,0,0,0,0.62360846
2018-01-01,JUPITER,227.019404,SCORPIO,17.019404,0,0,0,0,0,0.16797384
2018-01-01,SATURN,271.448761,CAPRICORN,1.448761,0,0,0,0,0,0.1170444
2018-01-01,URANUS,24.570804,ARIES,24.570804,1,0,0,0,0,-0.0009383
2018-01-01,NEPTUNE,341.915248,PISCES,11.915248,0,0,0,0,0,0.02197216
2018-01-01,PLUTO,288.795939,CAPRICORN,18.795939,0,0,0,0,0,0.03387529
2018-01-02,SUN,282.036227,CAPRICORN,12.036227,0,0,0,0,0,1.01885604
2018-01-02,MERCURY,259.456584,SAGITTARIUS,19.456584,0,0,0,0,0,1.04361896
2018-01-02,VENUS,280.411654,CAPRICORN,10.411654,0,0,0,0,0,1.25822185
2018-01-02,MARS,225.102543,SCORPIO,15.102543,0,0,0,0,0,0.62339258
2018-01-02,JUPITER,227.186568,SCORPIO,17.186568,0,0,0,0,0,0.1663484
2018-01-02,SATURN,271.565701,CAPRICORN,1.565701,0,0,0,0,0,0.11682919
2018-01-02,URANUS,24.570296,ARIES,24.570296,1,0,0,0,0,-7.781e-05
2018-01-02,NEPTUNE,341.937458,PISCES,11.937458,0,0,0,0,0,0.02244544
2018-01-02,PLUTO,288.829844,CAPRICORN,18.829844,0,0,0,0,0,0.03393218
2018-01-03,SUN,283.055091,CAPRICORN,13.055091,0,0,0,0,0,1.01887072
2018-01-03,MERCURY,260.525148,SAGITTARIUS,20.525148,0,0,0,0,0,1.09253187
2018-01-03,VENUS,281.669853,CAPRICORN,11.669853,0,0,0,0,0,1.2581764
2018-01-03,MARS,225.725824,SCORPIO,15.725824,0,0,0,0,0,0.62316794
2018-01-03,JUPITER,227.352089,SCORPIO,17.352089,0,0,0,0,0,0.16468778
2018-01-03,SATURN,271.682412,CAPRICORN,1.682412,0,0,0,0,0,0.11658834
2018-01-03,URANUS,24.570645,ARIES,24.570645,0,0,0,1,1,0.00077492
2018-01-03,NEPTUNE,341.960134,PISCES,11.960134,0,0,0,0,0,0.02290493
2018-01-03,PLUTO,288.863798,CAPRICORN,18.863798,0,0,0,0,0,0.03397332
2018-01-04,SUN,284.073973,CAPRICORN,14.073973,0,0,0,0,0,1.01889181
2018-01-04,MERCURY,261.639854,SAGITTARIUS,21.639854,0,0,0,0,0,1.13602532
2018-01-04,VENUS,282.928009,CAPRICORN,12.928009,0,0,0,0,0,1.25813408
2018-01-04,MARS,226.348877,SCORPIO,16.348877,0,0,0,0,0,0.622935
2018-01-04,JUPITER,227.515933,SCORPIO,17.515933,0,0,0,0,0,0.16299489
2018-01-04,SATURN,271.798871,CAPRICORN,1.798871,0,0,0,0,0,0.11632583
2018-01-04,URANUS,24.571845,ARIES,24.571845,0,0,0,0,0,0.00162435
2018-01-04,NEPTUNE,341.983265,PISCES,11.983265,0,0,0,0,0,0.02335502
2018-01-04,PLUTO,288.897787,CAPRICORN,18.897787,0,0,0,0,0,0.03400329
2018-01-05,SUN,285.09288,CAPRICORN,15.09288,0,0,0,0,0,1.01892032
2018-01-05,MERCURY,262.795631,SAGITTARIUS,22.795631,0,0,0,0,0,1.17477822
2018-01-05,VENUS,284.186125,CAPRICORN,14.186125,0,0,0,0,0,1.25809867
2018-01-05,MARS,226.971693,SCORPIO,16.971693,0,0,0,0,0,0.62269531
2018-01-05,JUPITER,227.678069,SCORPIO,17.678069,0,0,0,0,0,0.16127354
2018-01-05,SATURN,271.915058,CAPRICORN,1.915058,0,0,0,0,0,0.11604639
2018-01-05,URANUS,24.573894,ARIES,24.573894,0,0,0,0,0,0.00247587
2018-01-05,NEPTUNE,342.006843,PISCES,12.006843,0,0,0,0,0,0.02380096
2018-01-05,PLUTO,288.931804,CAPRICORN,18.931804,0,0,0,0,0,0.03402793
2018-01-06,SUN,286.111819,CAPRICORN,16.111819,0,0,0,0,0,1.01895502
2018-01-06,MERCURY,263.988044,SAGITTARIUS,23.988044,0,0,0,0,0,1.20939467
2018-01-06,VENUS,285.44421,CAPRICORN,15.44421,0,0,0,0,0,1.25807303
2018-01-06,MARS,227.594266,SCORPIO,17.594266,0,0,0,0,0,0.62244964
2018-01-06,JUPITER,227.838472,SCORPIO,17.838472,0,0,0,0,0,0.15952659
2018-01-06,SATURN,272.030959,CAPRICORN,2.030959,0,0,0,0,0,0.11575338
2018-01-06,URANUS,24.576798,ARIES,24.576798,0,0,0,0,0,0.0033334
2018-01-06,NEPTUNE,342.030866,PISCES,12.030866,0,0,0,0,0,0.02424667
2018-01-06,PLUTO,288.965844,CAPRICORN,18.965844,0,0,0,0,0,0.03405299
2018-01-07,SUN,287.130794,CAPRICORN,17.130794,0,0,0,0,0,1.01899237
2018-01-07,MERCURY,265.21323,SAGITTARIUS,25.21323,0,0,0,0,0,1.24040868
2018-01-07,VENUS,286.702276,CAPRICORN,16.702276,0,0,0,0,0,1.25805763
2018-01-07,MARS,228.21659,SCORPIO,18.21659,0,0,0,0,0,0.62219728
2018-01-07,JUPITER,227.997114,SCORPIO,17.997114,0,0,0,0,0,0.15775469
2018-01-07,SATURN,272.146561,CAPRICORN,2.146561,0,0,0,0,0,0.11544777
2018-01-07,URANUS,24.580563,ARIES,24.580563,0,0,0,0,0,0.00419838
2018-01-07,NEPTUNE,342.055336,PISCES,12.055336,0,0,0,0,0,0.02469352
2018-01-07,PLUTO,288.999913,CAPRICORN,18.999913,0,0,0,0,0,0.03408656
2018-01-08,SUN,288.149805,CAPRICORN,18.149805,0,0,0,0,0,1.01902744
2018-01-08,MERCURY,266.467828,SAGITTARIUS,26.467828,0,0,0,0,0,1.26829056
2018-01-08,VENUS,287.960328,CAPRICORN,17.960328,0,0,0,0,0,1.25804549
2018-01-08,MARS,228.838659,SCORPIO,18.838659,0,0,0,0,0,0.62193635
2018-01-08,JUPITER,228.153972,SCORPIO,18.153972,0,0,0,0,0,0.15595685
2018-01-08,SATURN,272.261851,CAPRICORN,2.261851,0,0,0,0,0,0.11512861
2018-01-08,URANUS,24.585197,ARIES,24.585197,0,0,0,0,0,0.00507007
2018-01-08,NEPTUNE,342.080254,PISCES,12.080254,0,0,0,0,0,0.02514087
2018-01-08,PLUTO,289.034028,CAPRICORN,19.034028,0,0,0,0,0,0.03414925
2018-01-09,SUN,289.168848,CAPRICORN,19.168848,0,0,0,0,0,1.01905518
2018-01-09,MERCURY,267.748915,SAGITTARIUS,27.748915,0,0,0,0,0,1.29345401
2018-01-09,VENUS,289.218364,CAPRICORN,19.218364,0,0,0,0,0,1.25802242
2018-01-09,MARS,229.460461,SCORPIO,19.460461,0,0,0,0,0,0.62166456
2018-01-09,JUPITER,228.309019,SCORPIO,18.309019,0,0,0,0,0,0.15413122
2018-01-09,SATURN,272.376814,CAPRICORN,2.376814,0,0,0,0,0,0.11479398
2018-01-09,URANUS,24.590705,ARIES,24.590705,0,0,0,0,0,0.00594666
2018-01-09,NEPTUNE,342.105618,PISCES,12.105618,0,0,0,0,0,0.02558693
2018-01-09,PLUTO,289.067926,CAPRICORN,19.067926,0,0,0,0,0,0.03352275
2018-01-10,SUN,290.187914,CAPRICORN,20.187914,0,0,0,0,0,1.01907111
2018-01-10,MERCURY,269.05396,SAGITTARIUS,29.05396,0,0,0,0,0,1.31626264
2018-01-10,VENUS,290.476369,CAPRICORN,20.476369,0,0,0,0,0,1.25798612
2018-01-10,MARS,230.081984,SCORPIO,20.081984,0,0,0,0,0,0.62137971
2018-01-10,JUPITER,228.462225,SCORPIO,18.462225,0,0,0,0,0,0.15227593
2018-01-10,SATURN,272.491433,CAPRICORN,2.491433,0,0,0,0,0,0.11444188
2018-01-10,URANUS,24.597092,ARIES,24.597092,0,0,0,0,0,0.00682603
2018-01-10,NEPTUNE,342.131427,PISCES,12.131427,0,0,0,0,0,0.02602979
