"planet1","planet2","aspect","テーマ","核となる意味","長所","注意点","対人での出方","仕事での出方","成長のコツ","要約","解釈文","use_in_section","role","priority","conflict_weight","support_weight","direction_weight","sec5_conflict","sec5_direction","sec8_conflict","sec8_direction"
"Sun","Moon","conjunction","自分らしさと感情と安心の一体化","太陽と月の自分らしさと気持ちが強く重なる関係です。","意志と感情の合致","公私の境界の曖昧さ","公私を分けず自分の意思と感情をストレートに表現します","公私の境界なく自分の想いを仕事に反映させます","狙いの言語化と感情の切り替え基準を明確にすることで、暴走を抑えやすくなります","太陽と月が密接に結びつき、方向性と気持ちが集中しやすいです。","人生全体で自分らしさと感情と安心の一体化が強く表に出やすく、長期的には集中と偏りが交互に現れやすいです。","TRUE","conflict","medium","0.6","0","0","自分の意志を優先し過ぎることを続けると、判断が偏りやすくなり、結果として決断が遅れやすいです","感情と行動の間に確認の区切りを入れることで、衝動的な判断を抑えやすくなります。","人生全体で自分らしさと感情と安心の一体化が強く表に出やすく、長期的には集中と偏りが交互に現れやすいです。","自分らしさと感情を同じ方向へ整えることで、心の納得を伴った人生の軸が定着していきます。"
"Sun","Moon","sextile","自分らしさと感情と安心の協調","太陽と月の自分らしさと気持ちが穏やかに噛み合う関係です。","精神の安定感","現状への安住","自我と感情のバランスを保ち穏やかに他者と連携します","自我と感情を安定させ周囲と協調して働きます","目的意識を明確にすることと、感情と表現の基準を整えることで、判断の遅れを減らしやすくなります","太陽と月が協力しやすく、自分らしさと安心が連携しやすいです。","自分の方針と感情が大きくずれにくく、課題に向き合う時も気持ちを整えながら進めやすい配置です。","TRUE","support","low","0","0.6","0","気分に引っ張られることを続けると、判断が緩くなりやすくなり、結果として周囲の反発を招きやすいです","感情と行動を切り分けて整理することで、安定した意思決定を維持しやすくなります。","人生全体で自分らしさと感情と安心の協調が噛み合いやすく、対外的な関わりでは橋渡しの形で出やすいです。","感情と行動を切り分けて整理する習慣を持つことで、安定した意思決定を長期的に維持しやすくなります。"
"Sun","Moon","square","自分らしさと感情と安心の衝突","太陽と月の自分らしさと気持ちがぶつかりやすい関係です。","自己葛藤による成長力","内面的不調和","内面の葛藤を対人関係の改善や自己成長の糧にします","内面の葛藤をバネに課題を克服しながら成長します","中心価値を定めることと、感情と表現の基準を整えることで、判断の乱れを抑えやすくなります","太陽と月が干渉しやすく、方向性と気持ちが揺れやすいです。","人生の節目で自分らしさと感情と安心の衝突が揺れやすく、日常の選択で行き違いが増えやすいです。","TRUE","conflict","high","0.8","0","0","自分の意志を優先し過ぎることを続けると、判断が荒れやすくなり、結果として決断が遅れやすいです","感情が高まる場面では一度立ち止まることで、判断の荒れを防ぎやすくなります。","人生の節目で自分らしさと感情と安心の衝突が揺れやすく、日常の選択で行き違いが増えやすいです。","自分の方針と感情の揺れを切り分けて扱うことで、迷いを成長材料に変えられるようになります。"
"Sun","Moon","trine","自分らしさと感情と安心の調和","太陽と月の自分らしさと気持ちが自然に調和する関係です。","自然な自己肯定感","向上心の欠如","自然体で裏表のない振る舞いが周囲に安心感を与えます","自然体な振る舞いでスムーズに職務を遂行します","狙いの基準を明確にすることと、感情と表現の基準を整えることで、精度を保ちやすくなります","太陽と月が調和し、自分らしさと安心が無理なくつながりやすいです。","自分らしさと安心感が自然につながりやすく、無理なく続けられる選択を見つけやすい配置です。","TRUE","support","low","0","0.6","0","気分に引っ張られることを続けると、確認が不足しやすくなり、結果として周囲の反発を招きやすいです","感情の流れを整えることで、安定した判断を維持しやすくなります。","自分らしさと感情と安心の調和が安定した流れとして出やすく、周囲からは滑らかな運びとして見られやすいです。","感情の流れを自然に整える習慣を持つことで、安定した判断を長期的に維持しやすくなります。"
"Sun","Moon","opposition","自分らしさと感情と安心の対立","太陽と月の自分らしさと気持ちが向かい合う関係です。","客観的視点","公私の引き裂かれ","他者と向き合うことで自分の意思と感情を客観的に捉えます","客観的な視点を持って自分と周囲を調整します","目的意識を明確にすることと、感情と表現の基準を整えることで、決断を早めやすくなります","太陽と月が向かい合い、方向性と気持ちが揺れやすいです。","自分らしさと感情と安心の対立が緊張と調整の形で出やすく、人との距離が近づき過ぎたり離れたりしやすいです。","TRUE","conflict","high","0.8","0","0","自分の意志を優先し過ぎることを続けると、判断が揺れやすくなり、結果として決断が遅れやすいです","変動が出やすい場面では基準を固定することで、判断の一貫性を保ちやすくなります。","自分らしさと感情と安心の対立が緊張と調整の形で出やすく、人との距離が近づき過ぎたり離れたりしやすいです。","自分の意志と安心したい気持ちの両方を認めることで、内側と外側のバランスが人生の課題として統合されていきます。"
"Sun","Mercury","conjunction","自分らしさと思考と言葉の一体化","太陽と水星の自分らしさと思考が強く重なる関係です。","思考の実行力","独断的傾向","自分の考えに自信を持ち知的なリーダーシップを発揮します","自分の考えと言葉を一致させ強力に推進します","目的の言語化と要点整理の基準を明確にすることで、暴走を抑えやすくなります","太陽と水星の働きが強く重なり、自分らしさと言葉が一方向にまとまりやすいです。","人生全体で自分らしさと思考と言葉の一体化が強く表に出やすく、対外的な関わりでは主導権を取りやすいです。","TRUE","conflict","medium","0.6","0","0","情報を詰め込み過ぎることを続けると、判断が偏りやすくなり、結果として周囲の反発を招きやすいです","考えた内容を整理してから伝えることで、意思疎通のズレを減らしやすくなります。","人生全体で自分らしさと思考と言葉の一体化が強く表に出やすく、対外的な関わりでは主導権を取りやすいです。","自分の考えを言葉にして整理することが、人生の方向性を明確にする軸になっていきます。"
"Sun","Mercury","sextile","自分らしさと思考と言葉の協調","太陽と水星の自分らしさと思考が穏やかに噛み合う関係です。","知的な柔軟性","主体性の欠如","知性と意思を調和させ円滑なコミュニケーションを図ります","知性と意思を連携させ効率的に実務をこなします","中心価値を定めることと、要点の基準を明確にすることで、判断の遅れを減らしやすくなります","太陽と水星が噛み合いやすく、方向性と思考の調整が進みやすいです。","自分の考えを言葉にしやすく、迷いや課題を整理して周囲に伝える助けになります。","TRUE","support","low","0","0.6","0","自分の意志を優先し過ぎることを続けると、判断が緩くなりやすくなり、結果として伝達ミスが増えやすいです","判断前に情報を整理し、自分の意図を言葉にすることで、役割や選択の迷いを減らしやすくなります。","人生全体で自分らしさと思考と言葉の協調が噛み合いやすく、判断の場面では現実的な折衷が選ばれやすいです。","自分の意図を言葉にして伝える力が、役割や選択を安定させる人生の支えになります。"
"Sun","Mercury","square","自分らしさと思考と言葉の衝突","太陽と水星の自分らしさと思考がぶつかりやすい関係です。","批判的思考による深化","知的な迷走","議論を通じて思考の癖を修正し知的な絆を深めます","深い思考で課題を掘り下げ知的な枠組みを広げます","狙いの基準を明確にすることと、要点の基準を明確にすることで、判断の乱れを抑えやすくなります","太陽と水星がぶつかりやすく、自分らしさと言葉が衝突しやすいです。","人生の節目で自分らしさと思考と言葉の衝突が揺れやすく、長期的には偏りと反動が繰り返されやすいです。","TRUE","conflict","high","0.8","0","0","情報を詰め込み過ぎることを続けると、判断が荒れやすくなり、結果として周囲の反発を招きやすいです","思考と行動の間に確認の区切りを入れることで、すれ違いを減らしやすくなります。","思考と行動の衝突が長期的に繰り返されやすく、周囲からは一貫性のなさとして受け取られやすいです。","考えすぎや言葉の行き違いを整理するほど、自分の方針を現実に伝える力が育っていきます。"
"Sun","Mercury","trine","自分らしさと思考と言葉の調和","太陽と水星の自分らしさと思考が自然に調和する関係です。","円滑な表現力","思考の浅さ","豊かな表現力と論理的な思考で周囲を惹きつけます","豊かな表現力と論理を駆使して成果を広めます","目的意識を明確にすることと、要点の基準を明確にすることで、精度を保ちやすくなります","太陽と水星が自然に通じ合い、方向性と思考の流れが滑らかになりやすいです。","自分の意図と思考がまとまりやすく、日常の判断を落ち着いて進めやすい配置です。","TRUE","support","low","0","0.6","0","自分の意志を優先し過ぎることを続けると、確認が不足しやすくなり、結果として伝達ミスが増えやすいです","情報の整理と発信を分けることで、意思決定の精度を保ちやすくなります。","自分らしさと思考と言葉の調和が安定した流れとして出やすく、日常の選択で流れに沿った動きが増えやすいです。","自分の意図と思考が自然につながり、言葉を通して人生の方向性を形にしやすくなります。"
"Sun","Mercury","opposition","自分らしさと思考と言葉の対立","太陽と水星の自分らしさと思考が向かい合う関係です。","多角的な分析力","意見の不一致","他者の意見を尊重しつつ多角的な視点で社交を広げます","多角的な視点を取り入れつつ対外的な交渉を担います","中心価値を定めることと、要点の基準を明確にすることで、決断を早めやすくなります","太陽と水星が引き合い、自分らしさと言葉が行き来しやすいです。","自分らしさと思考と言葉の対立が緊張と調整の形で出やすく、周囲からは二面性として映りやすいです。","TRUE","conflict","high","0.8","0","0","情報を詰め込み過ぎることを続けると、判断が揺れやすくなり、結果として周囲の反発を招きやすいです","対話前に要点をまとめることで、認識のズレを減らしやすくなります。","自分らしさと思考と言葉の対立が緊張と調整の形で出やすく、周囲からは二面性として映りやすいです。","対話前に要点をまとめる習慣を持つことで、認識のズレを長期的に減らしやすくなります。"
